electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3705212018B00176","6a03a547-7191-4d4a-92e1-b04dd650a816","山东省","东营市","东营市","垦利街道办新安村土地以南、山东垦利石化集团有限公司土地以北、山东垦利石化集团有限公司土地以东、新安村土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6a03a547-7191-4d4a-92e1-b04dd650a816",0.000000,0.000000,37.569980,118.532800,0
"3705212018B00237","49050210-026b-4c4d-a519-ea041dfe1b98","山东省","东营市","东营市","东营市方昱工贸有限公司土地以南、兴隆街道办黄店村土地以北、新发药业有限公司土地以西、兴隆街道办黄店村土地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=49050210-026b-4c4d-a519-ea041dfe1b98",0.000000,0.000000,37.540480,118.656536,0
"3705212017B00386","e0675343-da19-4a62-9a6d-88cd8c75ac8c","山东省","东营市","东营市","广兴路土地以南、国有土地以北、山东金辰建设集团有限公司土地以东、垦利街道办事处吴旺村土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e0675343-da19-4a62-9a6d-88cd8c75ac8c",0.000000,0.000000,37.558928,118.587696,0
"3705212018B00628","fc34ebe2-a2b5-4649-979f-2dfa0f631c61","山东省","东营市","东营市","垦利街道办吴旺村土地以北、垦利街道办吴旺村土地以东、垦利街道办吴旺村土地以西、垦利街道办吴旺村土地以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fc34ebe2-a2b5-4649-979f-2dfa0f631c61",0.000000,0.000000,37.558928,118.587696,0
"3705212014B01534","202c0247-d2d5-4e23-885d-a3775833e990","山东省","东营市","东营市","垦利县胜坨镇坨东村土地以南、胜利采油厂3-7-49井以北、东营市东青瑞华化工有限责任公司以东、宇联路以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=202c0247-d2d5-4e23-885d-a3775833e990",0.000000,0.000000,37.568220,118.522720,0
"3705212015B00647","285e00ab-3c67-4d71-ab53-f5d95ea3ce21","山东省","东营市","东营市","胜坨镇胜利路以南，胜坨镇海中村土地以北，胜坨镇海中村土地以东，胜坨镇海中村土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=285e00ab-3c67-4d71-ab53-f5d95ea3ce21",0.000000,0.000000,37.496320,118.238376,0
"3705212015B00353","c274601a-814d-4ff9-b2bd-10fcc45ab145","山东省","东营市","东营市","垦利县国有土地以北，东营区辛店街道办唐家村土地以南，东营区辛店街道办唐家村土地以东，东营区辛店街道办立新村土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c274601a-814d-4ff9-b2bd-10fcc45ab145",0.000000,0.000000,37.463000,118.455896,0
"3705212018B00187","e0b2fdeb-fb46-4576-8f92-d9adfc2bb856","山东省","东营市","东营市","垦利街道办新安村土地以南、山东垦利石化集团有限公司土地以北、山东垦利石化集团有限公司土地以东、山东垦利石化集团有限公司土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e0b2fdeb-fb46-4576-8f92-d9adfc2bb856",0.000000,0.000000,37.569980,118.532800,0
"3705212015B00429","7c211f8b-6bde-4da7-8a3e-08971f6e1100","山东省","东营市","东营市","垦利街道办利泉村土地以南，垦利街道办利泉村土地以北，山东垦利石化有限责任公司以西，垦利街道办利泉村土地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7c211f8b-6bde-4da7-8a3e-08971f6e1100",0.000000,0.000000,37.592500,118.544184,0
"3705212015B00386","2654ae19-f519-41a2-b85e-be8c8b03d3bb","山东省","东营市","东营市","山东垦利石化有限责任公司以南，垦利街道办新安村土地以北，山东垦利石化有限责任公司以东，垦利街道办新安村土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2654ae19-f519-41a2-b85e-be8c8b03d3bb",0.000000,0.000000,37.586948,118.535600,0
"3705212018B00748","80f7d80c-67a8-426f-b46c-db9c92fc46aa","山东省","东营市","东营市","郝家镇吴杨村和大务村土地以南、郝家镇吴杨村土地以西、国有土地以北、郝家镇大务村土地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=80f7d80c-67a8-426f-b46c-db9c92fc46aa",0.000000,0.000000,37.458928,118.423640,0
"3705212016B01557","774657d4-746e-48f8-abcc-70017d6be763","山东省","东营市","东营市","国有土地以北、国有土地以南、垦利国家税务局土地以东、垦利城市建设开发投资有限公司土地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=774657d4-746e-48f8-abcc-70017d6be763",0.000000,0.000000,37.569980,118.532800,0
