electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3713292013A01010","2b322f84-6976-4c2c-91d4-21467dbec8ee","山东省","临沂市","临沂市","临沭县城，冠山路东侧，西至曹村社区水浇地、东至曹村社区水浇地、北至曹村社区坑塘水面、南至临沭街道卫生院。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2b322f84-6976-4c2c-91d4-21467dbec8ee",0.000000,0.000000,34.918000,118.659696,0
"3713292013B01698","30c10e95-8916-4a17-9175-1192e63014dc","山东省","临沂市","临沂市","东至曹庄镇华桥村土地和县邮政局、南至道路、西至临沭县恒力达五金工具有限公司、北至曹庄镇华桥村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=30c10e95-8916-4a17-9175-1192e63014dc",0.000000,0.000000,34.821500,118.479088,0
"3713292013B01525","90627ca3-6670-4204-a97b-06d14c38c9d5","山东省","临沂市","临沂市","东至青云镇白莲峪街土地、南至青云镇白莲峪街土地、西至临沂惠普光电科技有限公司、北至青云镇白莲峪街土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=90627ca3-6670-4204-a97b-06d14c38c9d5",0.000000,0.000000,35.034308,118.656408,0
"3713252014B00549","2cbb26ad-e6ab-4004-a082-39aa639bfbb6","山东省","临沂市","临沂市","费城街道办事处桃园（原翟家庄）村，东至唐家山村土地，南至桃园（原翟家庄）村土地，西至兴郝路，北至沂州水泥有限公司、桃园（西翟家庄）村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2cbb26ad-e6ab-4004-a082-39aa639bfbb6",0.000000,0.000000,35.294084,117.895840,0
"3713252013B00795","52948c95-be85-41df-8be8-3969ff0d4dd5","山东省","临沂市","临沂市","费城街道办事处小安子村，东至小安子村土地，南至小安子村土地，西至小安子村土地，北至小安子村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=52948c95-be85-41df-8be8-3969ff0d4dd5",0.000000,0.000000,35.237788,118.427128,0
"3713292017B00609","64328768-0f76-48c4-bea4-2db76e80b3ea","山东省","临沂市","临沂市","临沭县大兴镇驻地，东至芦庄村土地、西至蟠龙路和大兴镇政府集体土地、南至英自松用地和大兴镇政府集体土地、北至大兴镇政府集体土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=64328768-0f76-48c4-bea4-2db76e80b3ea",0.000000,0.000000,34.928132,118.640560,0
"3713252014B00400","6f459261-09d8-44b0-b064-b53a49679886","山东省","临沂市","临沂市","费县南张庄乡国有塔山林场，东至国有塔山林场土地，南至国有塔山林场土地，西至国有塔山林场土地，北至国有塔山林场土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6f459261-09d8-44b0-b064-b53a49679886",0.000000,0.000000,35.382968,118.001664,0
"3713252013B00244","15c5c8d1-753c-4b62-8f17-760284da8cdd","山东省","临沂市","临沂市","位于费县探沂镇许由城村附近，东至许由城村土地，南至许由城村土地，西至许由城村土地，北至许由城村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=15c5c8d1-753c-4b62-8f17-760284da8cdd",0.000000,0.000000,35.209936,118.146760,0
"3713292011B01210","7405e153-7ab7-4993-8f23-4b2baedc6274","山东省","临沂市","临沂市","东至道路、南至临沭街道兴隆社区居民点、西至临沭街道兴隆社区居民点、北至临沭街道兴隆社区居民点","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7405e153-7ab7-4993-8f23-4b2baedc6274",0.000000,0.000000,35.715148,117.938000,0
"3713292015B00139","a3160cb1-3aad-479f-a995-8a493a5efba6","山东省","临沂市","临沂市","东至山东金宝诚管业有限公司、南至山东金宝诚管业有限公司、西至郑山街道张南埠子村土地、北至山东金宝诚管业有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a3160cb1-3aad-479f-a995-8a493a5efba6",0.000000,0.000000,34.934660,118.600088,0
"3713252017B01485","d4e65b1b-751b-4866-b7ae-b0ba49ba245f","山东省","临沂市","临沂市","梁邱镇费县国有老虎山林场，东至费县国有老虎山林场，南至费县国有老虎山林场，西至费县国有老虎山林场，北至费县国有老虎山林场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d4e65b1b-751b-4866-b7ae-b0ba49ba245f",0.000000,0.000000,35.320228,117.763824,0
"3713252017B01428","a031b082-6a9f-4ea8-88e2-2753a4baaa06","山东省","临沂市","临沂市","梁邱镇费县国有老虎山林场，东至费县国有老虎山林场，南至费县国有老虎山林场，西至费县国有老虎山林场，北至费县国有老虎山林场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a031b082-6a9f-4ea8-88e2-2753a4baaa06",0.000000,0.000000,35.320228,117.763824,0
"3713252017B01373","8ac18b73-a0e5-48fb-960d-54e53979203d","山东省","临沂市","临沂市","梁邱镇费县国有老虎山林场，东至费县国有老虎山林场，南至费县国有老虎山林场，西至费县国有老虎山林场，北至费县国有老虎山林场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8ac18b73-a0e5-48fb-960d-54e53979203d",0.000000,0.000000,35.320228,117.763824,0
"3713252017B01165","09f1401b-c309-4e04-83e5-c7748fda5d05","山东省","临沂市","临沂市","梁邱镇费县国有老虎山林场，东至费县国有老虎山林场，南至费县国有老虎山林场，西至费县国有老虎山林场，北至费县国有老虎山林场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=09f1401b-c309-4e04-83e5-c7748fda5d05",0.000000,0.000000,35.320228,117.763824,0
"3713252017B01548","f7f47978-5f0c-4163-a568-ad3ec5a11d94","山东省","临沂市","临沂市","石井镇黄公庄村，东至黄公庄村土地，南至黄公庄村土地，西至黄公庄村土地，北至黄公庄村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f7f47978-5f0c-4163-a568-ad3ec5a11d94",0.000000,0.000000,35.516060,117.608528,0
"3713292016B01798","e67d1b48-5188-493d-91b4-79e2a35f3e94","山东省","临沂市","临沂市","宗地四至为：东至店头镇措庄社区土地、南至店头镇措庄社区土地、西至店头镇措庄社区土地、北至山东益信源商贸有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e67d1b48-5188-493d-91b4-79e2a35f3e94",0.000000,0.000000,35.070912,118.391480,0
"3713252014B00466","6b976944-e26a-406a-917a-0cdc84a10dd9","山东省","临沂市","临沂市","县城南外环路南侧，东至规划路，南至费城街道十里铺村村路，西至规划路，北至南外环路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6b976944-e26a-406a-917a-0cdc84a10dd9",0.000000,0.000000,35.266180,117.964736,0
