electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6540002012B00128","9479378f-dbc8-4aa0-bfaf-c4455a98884a","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心配套区上海路以东、新疆瑞威兰工业有限公司用地以南、新疆曼纱针织有限公司用地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9479378f-dbc8-4aa0-bfaf-c4455a98884a",0.000000,0.000000,43.929860,81.261176,0
"6540002015B00559","04276ab7-ce2b-4874-be8d-8496aa6916fb","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心横九路以南、纵四路以西、新疆嘉联房地产公司用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=04276ab7-ce2b-4874-be8d-8496aa6916fb",0.000000,0.000000,44.207360,80.402912,0
"6540002014B01152","122bfcd2-b905-4e3e-84a2-34bad73e4ac3","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心配套区兴国路以南、北京路以西、珠海路以北、上海路以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=122bfcd2-b905-4e3e-84a2-34bad73e4ac3",0.000000,0.000000,44.207360,80.402912,0
"6540252018B00221","83816167-78d9-44b6-bb86-0c003103df4a","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","新源县书香名门小区和幼儿园以南，新源镇中学以东，新源县巩乃斯路以西，X745线以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=83816167-78d9-44b6-bb86-0c003103df4a",0.000000,0.000000,43.418300,83.264904,0
"6540002013B00579","695ae235-b546-4a38-932d-ed126d209bef","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心配套区连霍高速公路以北、南京路以东、10号路以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=695ae235-b546-4a38-932d-ed126d209bef",0.000000,0.000000,44.369668,80.987144,0
"6540002016B00381","d57099d7-af5b-43a0-b5eb-539732c053c3","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心配套区珠海路以北，上海路以西，天津路以东，兴国路以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d57099d7-af5b-43a0-b5eb-539732c053c3",0.000000,0.000000,43.929860,81.261176,0
"6540002013B00248","885e4984-2744-421e-bdd7-0e3c4542e626","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","霍尔果斯经济开发区平安路以北、霍尔果斯亚鑫贸易有限公司用地以南、霍尔果斯九鼎隆贸易有限公司用地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=885e4984-2744-421e-bdd7-0e3c4542e626",0.000000,0.000000,44.206872,80.419320,0
"6540002014B01258","78e712ac-a91a-4d1e-8c70-3aae6e14b195","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心配套区苏州路以北、霍尔果斯金福源生物科技有限公司用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=78e712ac-a91a-4d1e-8c70-3aae6e14b195",0.000000,0.000000,44.207360,80.402912,0
"6540002014A01110","171f1642-c17e-4781-9ab3-fd5d0162050a","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","新疆大地宏业有限公司用地以南、霍尔果斯经济开发区炎黄路以西、伊犁星河商贸公司用地以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=171f1642-c17e-4781-9ab3-fd5d0162050a",0.000000,0.000000,44.206872,80.419320,0
"6540002016B00269","b3fe9763-cd7c-4ac1-a8ef-76cc3ca51b0b","新疆维吾尔","伊犁哈萨克自治州","伊犁哈萨克自治州","中哈霍尔果斯国际边境合作中心配套区连霍高速公路以北、重庆路以西、发展路以南、国际客运站用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b3fe9763-cd7c-4ac1-a8ef-76cc3ca51b0b",0.000000,0.000000,43.936004,81.252264,0
