electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3601002016B00390","0d09d78d-1bdd-4fdd-8e61-cbd7e0f546cc","江西省","南昌市","南昌市","南昌临空经济区竹埠二路以南、竹埠三路以北、坛山一路以西、南昌国微产业投资有限公司用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0d09d78d-1bdd-4fdd-8e61-cbd7e0f546cc",0.000000,0.000000,28.843796,115.937640,0
"3601002016B00708","6ffa4a2f-29fc-4f79-a7c1-a062ec3fce16","江西省","南昌市","南昌市","南昌临空经济区储备用地以南、南昌市启航不动产信息管理有限公司用地以东、儒乐湖大街以北、储备用地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6ffa4a2f-29fc-4f79-a7c1-a062ec3fce16",0.000000,0.000000,28.665100,115.794904,0
"3601002016B00350","a68584c5-9ac9-4975-a6c1-ba65da88465c","江西省","南昌市","南昌市","南昌临空经济区黄堂西街以南、儒乐湖大街以北、祥和二路以东、南昌欧非显示科技有限公司用地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a68584c5-9ac9-4975-a6c1-ba65da88465c",0.000000,0.000000,28.691300,115.956416,0
"3601002011B06158-1","ca818678-bf05-4dcd-b6b1-0ed1d87941ef","江西省","南昌市","南昌市","红谷滩新区中央商务区世贸路以北、江西萍钢实业股份有限公司地块以西（B-12-1-①地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ca818678-bf05-4dcd-b6b1-0ed1d87941ef",0.000000,0.000000,28.681962,115.851000,0
"3601002016B00880","5dfca71a-8aff-41b2-bedd-90885ec52e3f","江西省","南昌市","南昌市","东至罗家大道，南至规划路，西至南昌市艳达实业有限公司，北至南昌市沈桥经贸发展有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5dfca71a-8aff-41b2-bedd-90885ec52e3f",0.000000,0.000000,28.754934,115.901448,0
"3601002010B01750","987725af-c202-456e-92f6-40cac390d2d9","江西省","南昌市","南昌市","天祥大道以南、江西赛维BEST太阳能高科技有限公司产业用地以东/天祥大道以南、江西赛维BEST太阳能高科技有限公司产业用地以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=987725af-c202-456e-92f6-40cac390d2d9",0.000000,0.000000,28.708134,116.029704,0
"3601002015B12728","95a29b95-6bde-4d20-9403-2fc74fd85518","江西省","南昌市","南昌市","南昌临空经济区金山大道以东、江西芯诚微电子有限公司用地以南、嘉和一路以西、儒乐湖大街以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=95a29b95-6bde-4d20-9403-2fc74fd85518",0.000000,0.000000,28.827404,115.941856,0
"3601212011A00047","bb9bd376-5221-4e0a-b363-11f7db9d255b","江西省","南昌市","南昌市","蒋巷镇中心公路以北，贾家自然村以东，江西新闻出版职业技术学院以西，赣江支圩堤以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bb9bd376-5221-4e0a-b363-11f7db9d255b",0.000000,0.000000,28.748830,115.951944,0
"360100000","3F82E819424B4FB4969F32DFC0613ED5","江西省","南昌市","南昌市","红谷滩新区红角洲片区控规E-11部分地块（中部），位于润溪村以北、学府大道以东、瑞林公司以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3F82E819424B4FB4969F32DFC0613ED5",0.000000,0.000000,28.662908,115.813072,0
"3601112018B00206","87c2d6bd-d6b0-4ad3-927c-2ead66ec969e","江西省","南昌市","南昌市","赣江新区经开组团储备用地以南、秀先路以西、江西江铃集团新能源汽车有限公司以北、机场大道以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=87c2d6bd-d6b0-4ad3-927c-2ead66ec969e",0.000000,0.000000,28.727800,115.843496,0
"3601002013B08110","915f15dc-fbfe-4572-b57d-c620f9a835ea","江西省","南昌市","南昌市","江西桑海经济技术开发区南昌杏林药用包装有限公司以北、南昌杏林药用包装有限公司以西导排渠以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=915f15dc-fbfe-4572-b57d-c620f9a835ea",0.000000,0.000000,28.939546,115.837568,0
"3601002011B06439-1","4180fc24-a4e9-4bc1-aea4-d88977ee93f9","江西省","南昌市","南昌市","红谷滩新区凤凰洲赣江北大道以西，凤凰洲A05-06部分地块以南（HGT105-A-06部分地块）。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4180fc24-a4e9-4bc1-aea4-d88977ee93f9",0.000000,0.000000,28.710864,115.879096,0
"3601002015B12487","6c96bd81-3e8e-4df2-8897-a32a587e3a84","江西省","南昌市","南昌市","南昌临空经济区儒乐湖大街以北、江西鹏旭信息科技有限公司用地以南、嘉和三路以西、南昌绿地申飞置业有限公司用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6c96bd81-3e8e-4df2-8897-a32a587e3a84",0.000000,0.000000,28.721960,115.986440,0
"3601002016B00637","63e807af-350b-4eb0-8c64-27b816b5d9d6","江西省","南昌市","南昌市","南昌临空经济区黄堂西街以南、祥和一路以西、南昌欧菲显示科技有限公司用地以北、南昌临空置业投资有限公司用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=63e807af-350b-4eb0-8c64-27b816b5d9d6",0.000000,0.000000,28.817120,115.945000,0
"3601002015B12176","b9ba41fe-2726-4403-a93b-d060ac215d41","江西省","南昌市","南昌市","南昌临空经济区江西鹏旭信息科技有限公司用地以西、储备用地以北、南昌绿地申飞置业有限公司用地以东、黄堂东街以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b9ba41fe-2726-4403-a93b-d060ac215d41",0.000000,0.000000,28.822440,115.939696,0
"3601112013B00014","1946a6ec-4a29-4cdd-bbcf-0b2d882f7ddc","江西省","南昌市","南昌市","南昌经济技术开发区英雄南路以南、规划路以西、景天药业公司用地以东、百盛食品公司用地以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1946a6ec-4a29-4cdd-bbcf-0b2d882f7ddc",0.000000,0.000000,28.737854,115.835944,0
"3601052016B00118","eb6da338-2290-4dfe-a5c9-420f8302667d","江西省","南昌市","南昌市","湾里区罗亭镇规划工业大道南侧、东升塑业北侧、贵源工业东侧、至马口村道西侧（控规C-01-04局部）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb6da338-2290-4dfe-a5c9-420f8302667d",0.000000,0.000000,28.905860,115.808776,0
"3601002015B12621","6e06e979-6a2a-477c-b82a-7833468a3a89","江西省","南昌市","南昌市","东至规划用地、南至广州路、西至高新大道、北至昌富路(CN305-C05地块）；东至五干渠、南至广州路、西至高新大道、北至车仆用地(CN305-C03地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6e06e979-6a2a-477c-b82a-7833468a3a89",0.000000,0.000000,28.704988,115.955984,0
"3601112016B00284","982e3623-8ed7-4600-af6a-fe66ec628a13","江西省","南昌市","南昌市","南昌经济技术开发区桑海产业园济时路以西、江西省安培食品有限公司以南、江西省益康元食品有限公司以北、江西省香诗食品有限公司及空地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=982e3623-8ed7-4600-af6a-fe66ec628a13",0.000000,0.000000,28.737854,115.835944,0
"3601002016B01366","42323f11-2b8c-48a8-96ee-b692862b26de","江西省","南昌市","南昌市","南昌临空经济区南昌与德置业发展有限公司用地以东、综保大街以南、竹埠二路以北、坛山一路以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=42323f11-2b8c-48a8-96ee-b692862b26de",0.000000,0.000000,28.843796,115.937640,0
"360100000","B2936C91FA414E77AD29BA3C128BF18F","江西省","南昌市","南昌市","红谷滩新区中央商务区B-6-1-1地块,东至规划路、南至世贸路、西至丰和西路、北至沙井村村委会","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=B2936C91FA414E77AD29BA3C128BF18F",0.000000,0.000000,28.685370,115.836168,0
"3601212011A00185","4cac95cb-2a76-4b3e-ad14-faba3c21a637","江西省","南昌市","南昌市","蒋巷镇中心公路以北，贾家自然村以东，江西新闻出版职业技术学院以西，赣江支圩堤以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4cac95cb-2a76-4b3e-ad14-faba3c21a637",0.000000,0.000000,28.748830,115.951944,0
"3601002014B11310","d3ee936d-f36f-4ee4-9091-c9235dbce73e","江西省","南昌市","南昌市","红谷滩新区九龙湖片区创业大道以西、璜溪大道以东、学院北路以北地块（03部分地块、04地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d3ee936d-f36f-4ee4-9091-c9235dbce73e",0.000000,0.000000,28.636754,115.726544,0
"3601002014B10386","ba09f6e8-7e19-4cec-845a-34cc705bf530","江西省","南昌市","南昌市","江西桑海经济技术开发区江西圣通实业发展有限公司以西、桑梓路以东、导排渠以北、新祺周二路以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ba09f6e8-7e19-4cec-845a-34cc705bf530",0.000000,0.000000,28.915342,115.831608,0
"3601002013B08726","50cf634a-b5d6-486a-8e72-70750aaf8800","江西省","南昌市","南昌市"," 江西桑海经济技术开发区新祺周西大道以南，江西引球针织服装有限公司以西，桑梓路以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=50cf634a-b5d6-486a-8e72-70750aaf8800",0.000000,0.000000,28.915342,115.831608,0
