electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3608022017B00280-1","c7fb218f-c341-4328-8d8c-b8854c4c665c","江西省","吉安市","吉安市","位于鹿鸣路以东，宜静苑小区（A05-01-1地块）以南，吉安中等职业学校以西，福临路以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c7fb218f-c341-4328-8d8c-b8854c4c665c",0.000000,0.000000,27.723444,115.386560,0
"3608302018B00016","cde5a6e3-e001-4d48-952a-cc2317273200","江西省","吉安市","吉安市","永新县城西沙尔洲片区（东临三湾大道绿廊，南为禾河北路绿廊，西为空地，北临秀水西路商住楼）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cde5a6e3-e001-4d48-952a-cc2317273200",0.000000,0.000000,26.947534,114.246208,0
"3608022016B00068","95ad31cd-f9a8-4911-82c5-74fc75e0a998","江西省","吉安市","吉安市","吉州工业园控规B9-2、B2-1地块（东至园区三路，南至B2-2地块，西至发展大道，北至B9-1地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=95ad31cd-f9a8-4911-82c5-74fc75e0a998",0.000000,0.000000,27.013214,114.283344,0
"3608022016B00367","7d744024-f334-4018-b4f6-9ffb9d381b66","江西省","吉安市","吉安市","吉州区兴桥镇绿色食品产业园控规B5-1地块以东，状元桥路以南，工业路以西，友谊路以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7d744024-f334-4018-b4f6-9ffb9d381b66",0.000000,0.000000,27.125834,114.994240,0
"3608022018B00720","248a7fb3-12c0-43f3-9575-4f8eb68e5c2d","江西省","吉安市","吉安市","吉州区城南机械装备制造产业园A1-6地块（东：君华大道；南：A1-2地块；西：A1-8地块；北：A1-3地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=248a7fb3-12c0-43f3-9575-4f8eb68e5c2d",0.000000,0.000000,27.157012,115.014544,0
"3608302017B00335","0eaad093-3aa3-48ea-a217-48643366f96c","江西省","吉安市","吉安市","县西胜路西侧(步步高商城西面)（东至西胜路，南至义山西路，西至安置区，北至安置区）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0eaad093-3aa3-48ea-a217-48643366f96c",0.000000,0.000000,26.950746,114.234360,0
"3608302017B00083","3ea5ccfb-df70-495c-9b31-5511786738c3","江西省","吉安市","吉安市","吉祥路南侧地块（吉祥苑东侧）四址：东至禾河西路，南至安置居民房，西至吉祥苑，北至吉祥路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3ea5ccfb-df70-495c-9b31-5511786738c3",0.000000,0.000000,27.081500,114.952072,0
"3608302017B00066","90b9771c-6301-4606-b5bf-1ee3cbbbf217","江西省","吉安市","吉安市","城北市场西侧（四址范围：东至城北市场，南至齐民路，西至规划安置区，北至已建安置区）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=90b9771c-6301-4606-b5bf-1ee3cbbbf217",0.000000,0.000000,27.220100,115.132496,0
"3608022015B00060","86a41f48-17bf-45da-bec5-60cf4ea968ce","江西省","吉安市","吉安市","吉州工业园控规D11-5地块（D11-3地块以东，规划路以南，园区二路以西，吉阳大道以北）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=86a41f48-17bf-45da-bec5-60cf4ea968ce",0.000000,0.000000,26.359642,114.556088,0
"3608022018B00701","1e5136b9-d52f-40eb-8641-dbad52cd7048","江西省","吉安市","吉安市","吉州区绿色食品产业园控规C2-1地块以东，兴跃路以西，金谷路（原名友谊路）以南，C2-3地块以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1e5136b9-d52f-40eb-8641-dbad52cd7048",0.000000,0.000000,27.120532,114.983808,0
"3608022016B00090","77fc9392-fa81-40e3-8230-89871034d253","江西省","吉安市","吉安市","吉州区曲濑镇至兴桥镇西四镇联网公路以西（泉塘村境内），创业二路以北、创业三路以南、规划纵五路以东、创业一路以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=77fc9392-fa81-40e3-8230-89871034d253",0.000000,0.000000,27.108070,114.864664,0
"3608022015B01125","cf5bebd2-5689-4710-982b-2b52424b8fa6","江西省","吉安市","吉安市"," 吉州区曲濑镇至兴桥镇西四镇联网公路以西（泉塘村境内），创业三路以北、创业大道以南、规划纵五路以东、规划纵四路以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf5bebd2-5689-4710-982b-2b52424b8fa6",0.000000,0.000000,27.108070,114.864664,0
"3608022014B01189","69f42aa6-d672-43b3-94f1-ba157d0238b0","江西省","吉安市","吉安市","君华大道以东、天华山山体以南第一条规划支路以南、东方医院吉安医院地块以西、吉安南大道以北。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=69f42aa6-d672-43b3-94f1-ba157d0238b0",0.000000,0.000000,27.103506,114.953160,0
"3608022018B00607","1a53312b-477c-46a9-83c9-6932fe2c3bd1","江西省","吉安市","吉安市","东以西四乡路为界，南以西四乡路通往梅塘方向024乡道为界，西以佑华山庄为界，北面以江西明耀实业有限公司为界","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1a53312b-477c-46a9-83c9-6932fe2c3bd1",0.000000,0.000000,27.125420,114.863696,0
"3608022017B00258","d9c3988d-69e2-4f00-84bd-37be7e8f6377","江西省","吉安市","吉安市","位于兴桥镇至长塘镇西四镇联网公路以西、山塘以北、武吉高速以东、袁塘村懒人树下山地块以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d9c3988d-69e2-4f00-84bd-37be7e8f6377",0.000000,0.000000,27.140828,114.874936,0
"3608022017B00271-1","999a248d-2fa7-4e10-b806-9bbfceac177a","江西省","吉安市","吉安市","位于吉安市城南专业市场吉兴大道与黄洋界大道交叉口东南角，东至A-05-3地块、南至A-05-2地块、西至黄洋界大道、北至吉兴大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=999a248d-2fa7-4e10-b806-9bbfceac177a",0.000000,0.000000,26.754050,114.283272,0
"3608022017B00164","46dc0024-474c-48f8-a9d3-103165cb245a","江西省","吉安市","吉安市","吉州工业园区控规D10-4-2地块（东至道路，南至吉阳大道，西至园区二路，北至D10-4-3地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=46dc0024-474c-48f8-a9d3-103165cb245a",0.000000,0.000000,27.154280,115.002384,0
"3608032018B00016","008e5f7a-eb08-45e4-96aa-bee894300826","江西省","吉安市","吉安市"," 位于和气路与渼陂西路交叉口东北角，东至华能电厂生活区，南至渼陂西路，西至和气路、北至居民点","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=008e5f7a-eb08-45e4-96aa-bee894300826",0.000000,0.000000,27.102686,115.003952,0
"3608022015B00099","59c246cd-6d4e-4f5e-b6ad-7a8a28d16d25","江西省","吉安市","吉安市","吉州工业园控规E7-2地块（井冈山大道北以东，E7-4地块以南，规划路以西，E7-3地块以北）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=59c246cd-6d4e-4f5e-b6ad-7a8a28d16d25",0.000000,0.000000,26.359642,114.556088,0
"3608022015B00088","8320006c-078f-4d0b-8ec2-c0bc95998b59","江西省","吉安市","吉安市","吉州工业园控规E11-9地块（E11-2地块以东，规划支路以南，E11-10地块以西，安平路以北）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8320006c-078f-4d0b-8ec2-c0bc95998b59",0.000000,0.000000,27.097786,114.809128,0
"3608022012B00137","c2176006-d619-4bde-abf0-22dfedf30f13","江西省","吉安市","吉安市","吉州大道以西，中国石油化工股份有限公司江西吉安石油分公司以东，四方园以北，英华嘉园以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c2176006-d619-4bde-abf0-22dfedf30f13",0.000000,0.000000,27.119000,114.967760,0
"3608022016B00221-1","a5e635fa-00b2-4453-9f1b-d136d494fd9f","江西省","吉安市","吉安市","吉州工业园控规B10-1、B10-3地块（东至井冈山北大道，南至吉庆路，西至园区五路，北至文化路）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a5e635fa-00b2-4453-9f1b-d136d494fd9f",0.000000,0.000000,27.380908,114.614472,0
"3608022018B00252","3bf4ea0d-09f5-4b87-9152-00942d51ce2b","江西省","吉安市","吉安市","位于吉州区绿色食品产业园控规B4-2地块以东，B4-1-1地块以南，B5-1-2地块以西，友谊路以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3bf4ea0d-09f5-4b87-9152-00942d51ce2b",0.000000,0.000000,27.120532,114.983808,0
