electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"4116242014A00446","19c27513-cc26-432f-8b61-b707919ed807","河南省","周口市","周口市","县城东环路东侧，东邻规划路，南邻原药厂路，西邻空地及公租房用地，北邻志远中学及公墓","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=19c27513-cc26-432f-8b61-b707919ed807",0.000000,0.000000,33.400390,115.112160,0
"4116242016B00176","363828c9-e192-48fb-9afa-46067f243c15","河南省","周口市","周口市","县城和谐路东段南侧，东邻SQ2016-41号宗地及于庄村建设用地、南邻沈丘县华丰工程投资有限公司、西邻规划路、北邻和谐路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=363828c9-e192-48fb-9afa-46067f243c15",0.000000,0.000000,33.410592,115.091816,0
"4116242016B00200","a075fbe9-7fa9-4919-ab1a-384f9dcba58b","河南省","周口市","周口市","县城和谐路东段南侧，东北邻世纪大道、东南邻于庄村耕地、西邻SQ2016-41号宗地及于庄村建设用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a075fbe9-7fa9-4919-ab1a-384f9dcba58b",0.000000,0.000000,34.205964,114.404872,0
"4116242018B00149","e54e7ea1-b443-4f1f-9751-a7c6555d9680","河南省","周口市","周口市","白集镇大许庄行政村境内，东邻大许庄村耕地、南邻路、西邻周口好运鞋材鞋服有限公司、北邻大许庄村耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e54e7ea1-b443-4f1f-9751-a7c6555d9680",0.000000,0.000000,33.471406,114.400024,0
"4116812007B00060","6f66ce25-8033-4101-9d98-222f2a75129a","河南省","周口市","周口市","东邻项城市总工会门面楼，西邻居民区，南邻居民区，北邻中国网通有限公司项城市分公司。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6f66ce25-8033-4101-9d98-222f2a75129a",0.000000,0.000000,33.446572,114.898696,0
"4116242018B00101","487cd54e-9e60-4227-8d2a-1d25261a81de","河南省","周口市","周口市","位于县城商务中心区内，东邻世纪大道，南邻纬一路，西邻SQ2018-02号宗地，北邻建设路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=487cd54e-9e60-4227-8d2a-1d25261a81de",0.000000,0.000000,33.648304,115.166736,0
"4116242017B00147","8e1b0e10-2fa6-441b-9e3f-d8458c42bc08","河南省","周口市","周口市","沙南产业集聚区，东邻河南三元肥业有限公司用地，南邻润达铝业北路，西邻路，北邻建设用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8e1b0e10-2fa6-441b-9e3f-d8458c42bc08",0.000000,0.000000,34.037232,114.864504,0
"4116242016B00286-1","c00e113d-4955-4eb1-9718-66b3d2e6fe97","河南省","周口市","周口市","位于沈丘县和谐路东段南侧，东邻SQ2016-42号宗地、南邻于庄村建设用地、西邻SQ2016-36号宗地、北邻和谐路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c00e113d-4955-4eb1-9718-66b3d2e6fe97",0.000000,0.000000,33.410592,115.091816,0
"4116242017B00205","ff916735-fe8c-4e8f-826f-0c8a65855a54","河南省","周口市","周口市","县城S102南侧，东邻居民点、南邻空地、西邻SQ2011-23号地块（未来城用地），北邻省道S102线路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ff916735-fe8c-4e8f-826f-0c8a65855a54",0.000000,0.000000,34.065200,114.357584,0
"4116242018B00165","68fe3d22-5c37-47eb-86cd-32e27b4d3ab3","河南省","周口市","周口市","位于沈丘县沙北产业集聚区槐园路北侧，东邻空地，南邻槐园路，西邻河南省长江环保科技有限公司及空地，北邻空地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=68fe3d22-5c37-47eb-86cd-32e27b4d3ab3",0.000000,0.000000,33.366200,115.098736,0
