electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6104312018B00148","053aa280-fb2a-484a-bfc9-e45e52711395","陕西省","咸阳市","咸阳市","位于县城邰城路东侧，西邻邰城路、武功县疾病预防控制中心；东邻弓家村预留地；北邻陕西苏绘实业有限公司；南邻武功县中医院、武功县疾病预防控制中心、王永国。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=053aa280-fb2a-484a-bfc9-e45e52711395",0.000000,0.000000,34.268280,108.205808,0
"6104312016A00018","d5b56074-a2b7-4c63-9e04-36d16092e8d3","陕西省","咸阳市","咸阳市","位于后稷东路北侧，南邻后稷东路，东邻政府储备土地，西邻上显村集体建设用地，北邻铁路专线。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d5b56074-a2b7-4c63-9e04-36d16092e8d3",0.000000,0.000000,34.263000,108.226128,0
"6104312016B00048","dbf6d112-66d5-48dc-bf89-5898a871b296","陕西省","咸阳市","咸阳市","武功县普集镇后稷东路北侧，东邻规划路，南邻后稷东路，西邻武功县后稷房地产开发有限公司宗地，北邻兴城村集体建设用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dbf6d112-66d5-48dc-bf89-5898a871b296",0.000000,0.000000,34.263000,108.226128,0
"6104002015B00782","fa70eb27-c933-4a20-971f-1a4759ebfc6c","陕西省","咸阳市","咸阳市","正平大街（原北辰大道）以南、宣明路（园区十四路）以东、陕西省空港民航产业投资有限公司（XXKG-2014-011地块）以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fa70eb27-c933-4a20-971f-1a4759ebfc6c",0.000000,0.000000,34.448448,108.767488,0
"6104002015B00779","13c61ae0-8146-4291-9848-6915c79617ce","陕西省","咸阳市","咸阳市","景平大街（原园区一路）以南、群贤路（原园区十二路）以西、陕西融盛圆通速递有限公司地块（KG-2013-014地块）以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=13c61ae0-8146-4291-9848-6915c79617ce",0.000000,0.000000,34.253724,108.219552,0
"6104312016A00092","91c0b99e-2392-40c6-9ef8-f47710f9e177","陕西省","咸阳市","咸阳市","北邻西兰铁路客运专线、兴平市桑镇苟家坡村；东邻西兰铁路客运专线、兴平市桑镇苟家坡村；南邻武功县小村镇仄楞村；西邻西兰铁路客运专线、兴平市桑镇苟家坡村。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=91c0b99e-2392-40c6-9ef8-f47710f9e177",0.000000,0.000000,34.242432,108.312760,0
"6104232015A00279","3cd4e829-8842-47fe-8a5b-62ce03c26071","陕西省","咸阳市","咸阳市","泾干镇建立村，三渠镇夏村、袁家村、武寨府村、白马杨村，云阳镇大理村、东芦村、街子村、兴隆村、滑里村，安吴镇安吴村、茹家村、雒仵村、中山村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3cd4e829-8842-47fe-8a5b-62ce03c26071",0.000000,0.000000,34.579968,108.863536,0
"6104002018B01357","81880eed-6e45-4ae1-9040-69272ddc870c","陕西省","咸阳市","咸阳市","咸阳华润纺织有限公司以东、陕西纺织品公司咸阳分公司、咸阳市印染厂以西、陇海铁路以南、第二印染厂以北区域","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=81880eed-6e45-4ae1-9040-69272ddc870c",0.000000,0.000000,34.337392,108.700600,0
"6104002015B01587","f1ff4415-1be5-424a-a5e3-afe1dac65914","陕西省","咸阳市","咸阳市","文汇路房管所以北、法院街及易俗巷以南、凤凰小区以东、市红叶制衣有限公司以西、北平街两侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f1ff4415-1be5-424a-a5e3-afe1dac65914",0.000000,0.000000,34.338248,108.724040,0
"6104312018B00040","c67d79c3-5352-4c6b-beb1-030a4ae53084","陕西省","咸阳市","咸阳市","位于武功县县城邰城北路东侧，西邻108省道，东邻储备土地，北邻曹店村集体建设用地，南邻曹店村集体建设用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c67d79c3-5352-4c6b-beb1-030a4ae53084",0.000000,0.000000,34.280052,108.198416,0
