electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"2301282009B00296","cecbabbf-88d9-4725-abb3-236ada77fa11","黑龙江省","哈尔滨市","哈尔滨市","通河县浓河镇哈肇公路北侧，北临林秋住宅，西临巷道，东临双福综合住宅楼，南临哈肇公路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cecbabbf-88d9-4725-abb3-236ada77fa11",0.000000,0.000000,45.994092,128.361984,0
"2301002013B14719","39637703-f18e-4296-bce9-5ec25a52b129","黑龙江省","哈尔滨市","哈尔滨市","香坊区公滨路与木材东街交口处，东起幸福镇信义村-南至公滨路-西至木材东街-北至兴大开发公司住宅小区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39637703-f18e-4296-bce9-5ec25a52b129",0.000000,0.000000,45.728384,126.712360,0
"2301002013B18446","91d6d989-0328-4795-90d5-b766a700d96d","黑龙江省","哈尔滨市","哈尔滨市","松北区科技创新园雪花西路以东、A-14-04-01-02号地块以南、雪花路以西、雪花南路以北地段","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=91d6d989-0328-4795-90d5-b766a700d96d",0.000000,0.000000,45.820120,126.509904,0
"2301002017B18878","73809ed4-6855-4e0d-aeff-5028862e2aee","黑龙江省","哈尔滨市","哈尔滨市","松北区B-01-13-01-05号地块以北、规划186路以南、规划214路以东、B-01-13-01-02号地块以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=73809ed4-6855-4e0d-aeff-5028862e2aee",0.000000,0.000000,45.801360,126.529064,0
"2301242010B00197","443732a9-9f39-4b78-be99-5613dc891e8d","黑龙江省","哈尔滨市","哈尔滨市","方正县方正镇城南经济开发区汉江街以北，龙孚公司以东，兴隆公司以南，开发区水厂以西之间区域","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=443732a9-9f39-4b78-be99-5613dc891e8d",0.000000,0.000000,45.832268,128.827424,0
"2301002012B08769","e48e8d70-1381-4c11-819b-49d68758ea5d","黑龙江省","哈尔滨市","哈尔滨市","迎宾路集中区哈双北线以南、青山路以西、KFQ01-ybl-02-C-04-03号地块以东、KFQ01-ybl-02-C-04-05号地块以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e48e8d70-1381-4c11-819b-49d68758ea5d",0.000000,0.000000,45.699828,126.504064,0
"2301002017B18864","d90b2232-04fc-4681-b2f8-d0182a27d197","黑龙江省","哈尔滨市","哈尔滨市","松北区规划184路以北、B-01-13-01-05号地块以南、规划214路以东、B-01-13-01-03号地块以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d90b2232-04fc-4681-b2f8-d0182a27d197",0.000000,0.000000,45.801360,126.529064,0
"2301002018B09025","a8926afc-d383-4a69-8970-6bed8ac1de37","黑龙江省","哈尔滨市","哈尔滨市","松北区B-01-13-01-03号地块以北、 B-01-13-01-06号地块以南、 B-01-13-01-01 号地块以东、B-01-13-02号地块以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a8926afc-d383-4a69-8970-6bed8ac1de37",0.000000,0.000000,45.819480,126.543832,0
"2301832010B00040","12331a81-4578-4ad4-9a1c-c3aae4e1949c","黑龙江省","哈尔滨市","哈尔滨市","尚志镇新建路东侧(电业线厂东)交通运管站院内1号楼北侧、纺织厂家属楼西侧、新规划道路南侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=12331a81-4578-4ad4-9a1c-c3aae4e1949c",0.000000,0.000000,45.789532,126.734480,0
"2301002013B17159","6b106e96-1229-4d7b-891c-760c62bd50f8","黑龙江省","哈尔滨市","哈尔滨市","科技创新园雪花西路以东、A-14-04-06号地块以南、雪花路以西、A-14-04-01-01地块以北地段","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6b106e96-1229-4d7b-891c-760c62bd50f8",0.000000,0.000000,45.901420,126.542392,0
