electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"1302002011B04979","cb2fb278-ca77-45d7-9c10-3666b4aee6ba","河北省","唐山市","唐山市","东至：华电曹妃甸重工装备有限公司地块；西至：华电曹妃甸重工装备有限公司地块；南至：曹妃甸工业区三港池海域；北至：华电曹妃甸重工装备有限公司地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cb2fb278-ca77-45d7-9c10-3666b4aee6ba",0.000000,0.000000,39.086260,118.501768,0
"1302072013B00660","3aa976c3-5308-4242-b4b5-d8f5797658e2","河北省","唐山市","唐山市","该地块位于我区小集镇，四至为：东至唐山市鑫日升钢业有限公司，西至宋家营一村、宋家营四村，南至唐山瑞丰钢铁（集团）金友钢铁有限公司，北至唐柏公路，","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3aa976c3-5308-4242-b4b5-d8f5797658e2",0.000000,0.000000,39.474516,118.242760,0
"1302072013B00237","9e2b79c9-e661-4fb2-b7da-cacb3c00f45c","河北省","唐山市","唐山市","丰南区大齐各庄镇，拟出让范围为东至坑，西至大田港村养殖场，南至坑、大田港村村址，北至大田港村耕地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9e2b79c9-e661-4fb2-b7da-cacb3c00f45c",0.000000,0.000000,39.560820,118.282640,0
"1302072013B00290","6de50e9e-ac3d-469f-a8a3-5383f1aba0d8","河北省","唐山市","唐山市","丰南经济开发区，东至百威啤酒（唐山）有限公司，西至唐山鑫开泰传送机械有限公司，南至西南环线，北至惠明街","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6de50e9e-ac3d-469f-a8a3-5383f1aba0d8",0.000000,0.000000,39.546524,118.055840,0
"1302002013B02629","ec8da0d5-606f-4952-b4d9-b88c9a1a07fa","河北省","唐山市","唐山市","东至：二号大街；南至：唐山曹妃甸发展投资集团有限公司；西至：唐山曹妃甸发展投资集团有限公司；北至：唐山曹妃甸发展投资集团有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ec8da0d5-606f-4952-b4d9-b88c9a1a07fa",0.000000,0.000000,38.967280,118.500240,0
"1302072012B00389","f311c4e8-2442-458c-845d-6d3177e9386b","河北省","唐山市","唐山市","位于丰南区小集镇，东至东刘庄村耕地，西至沟渠，南至东刘庄村耕地，北至唐山凯恒公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f311c4e8-2442-458c-845d-6d3177e9386b",0.000000,0.000000,39.458044,118.271968,0
"1302072013B00795","a80200dc-071e-4b07-90dc-7140d0c935e0","河北省","唐山市","唐山市","丰南区丰南镇南赵庄村，四至为：东至运河西路，西至国文路，南至正苑大街，北至国丰大街","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a80200dc-071e-4b07-90dc-7140d0c935e0",0.000000,0.000000,39.575716,118.093968,0
"1302072012B00668","6dc42b62-bf5e-41a8-8d34-1dce1d99b5da","河北省","唐山市","唐山市","丰南经济开发区，四至为：东至已征国有土地、西至规划迎宾路、南至规划铁西路、北至于家泊前村耕地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6dc42b62-bf5e-41a8-8d34-1dce1d99b5da",0.000000,0.000000,39.548676,118.082704,0
"1302072012B00653","ed7db841-9897-44a0-a80b-4ad3fd7dcff5","河北省","唐山市","唐山市","丰南经济开发区，四至为：东至已征国有土地、西至迎宾路、南至于家泊前村耕地、北至已征国有土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ed7db841-9897-44a0-a80b-4ad3fd7dcff5",0.000000,0.000000,39.603020,118.189688,0
"1302072012B00286","f22da703-9147-4934-a101-dda12026241c","河北省","唐山市","唐山市","位于我区王兰庄镇大麦铺村，四至为：东至大麦铺村苇地、西至大麦铺村苇地、南至规划路、北至大麦铺村苇地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f22da703-9147-4934-a101-dda12026241c",0.000000,0.000000,39.411580,118.073592,0
"1302072013B00557","367f9d07-5c80-467c-823e-3bbf497384a6","河北省","唐山市","唐山市","丰南经济开发区，东至运河东路，西至于家泊前村耕地、唐山天辰电器有限公司，南至于家泊前村耕地，北至兴工街","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=367f9d07-5c80-467c-823e-3bbf497384a6",0.000000,0.000000,39.548676,118.082704,0
"1302072011B00627","8bc51848-0db7-4eb8-8434-04dc8f2d91b8","河北省","唐山市","唐山市","位于我区王兰庄镇大麦铺村，四至为东至国有地、西至大麦铺村苇地、南至大麦铺村苇地、北至大麦铺村苇地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8bc51848-0db7-4eb8-8434-04dc8f2d91b8",0.000000,0.000000,39.411580,118.073592,0
"1302072011B00709","93edc547-5fd7-46d2-a851-36106f3840aa","河北省","唐山市","唐山市","唐山市丰南区王兰庄镇大麦铺村，四至为东至大麦铺村苇地、西至路、南至大麦铺村苇地、北至大麦铺村苇地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=93edc547-5fd7-46d2-a851-36106f3840aa",0.000000,0.000000,39.411580,118.073592,0
"1302002013B02574","384fbb92-59d7-43a5-b70a-c637fbb3f198","河北省","唐山市","唐山市","东至：空地：南至：港区大道；西至：唐山曹妃甸实业港务有限公司；北至：唐山曹妃甸实业港务有限公司、空地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=384fbb92-59d7-43a5-b70a-c637fbb3f198",0.000000,0.000000,38.922800,118.498200,0
"1302072013B00417-1","8b631098-5f28-4636-bd9a-d424f9c17956","河北省","唐山市","唐山市","丰南经济开发区，东至规划铁西路，西至运河东路，南至于家泊前村耕地，北至于家泊前村耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8b631098-5f28-4636-bd9a-d424f9c17956",0.000000,0.000000,39.548676,118.082704,0
"1302072013B00407-1","d891cdc3-5b77-4a66-8acc-93523c84c555","河北省","唐山市","唐山市","丰南经济开发区，东至丰南镇大翟庄三村建设用地，西至迎宾路，南至丰南镇大翟庄三村草地，北至西南环线","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d891cdc3-5b77-4a66-8acc-93523c84c555",0.000000,0.000000,39.546524,118.055840,0
"1302072013B00448","a576a3b7-4d4d-4c89-a9da-9b36bddb901d","河北省","唐山市","唐山市","丰南经济开发区，东至运河东路，西至河北华通线缆集团有限公司，南至于家泊前村耕地，北至于家泊前村耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a576a3b7-4d4d-4c89-a9da-9b36bddb901d",0.000000,0.000000,39.548676,118.082704,0
"1302072013B00450","0c055a4a-c1b7-41fa-9f84-7c91350834b2","河北省","唐山市","唐山市","丰南经济开发区，东至河北华通线缆集团有限公司，西至迎宾路，南至于家泊前村耕地，北至于家泊前村耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0c055a4a-c1b7-41fa-9f84-7c91350834b2",0.000000,0.000000,39.548676,118.082704,0
"1302072012B00477","29000858-297c-486a-a021-3aba614b1fa8","河北省","唐山市","唐山市","丰南经济开发区，东至杨贵庄村土地，西至杨贵庄村耕地，南至杨贵庄村耕地，北至杨贵庄村耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=29000858-297c-486a-a021-3aba614b1fa8",0.000000,0.000000,39.524548,118.093416,0
"1302072012B00498","c8950deb-f06d-40f6-ad12-047c77bfc200","河北省","唐山市","唐山市","丰南经济开发区，东至丰南区群力汽车队，西至唐山市丰南区立达物资有限公司，南至唐山西外环高速丰南出口，北至唐山西南环线","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c8950deb-f06d-40f6-ad12-047c77bfc200",0.000000,0.000000,39.546524,118.055840,0
"1302072011B00639","fcb0668f-ad4a-4763-af30-1c36bee0f31d","河北省","唐山市","唐山市","位于我区王兰庄镇大麦铺村，四至为：东至大麦铺村苇地、西至唐山强兴矿山设备制造有限公司、南至路、北至大麦铺村苇地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fcb0668f-ad4a-4763-af30-1c36bee0f31d",0.000000,0.000000,39.411580,118.073592,0
"1302072013B00101","7637c501-eab1-4ca6-b3ae-b8b9fbc5b389","河北省","唐山市","唐山市","该地块位于丰南区尖字沽乡范围内，该宗地四至为：东至李洪民养兔场，西至凤翔种鸡场，南至尖子沽村空地，北至道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7637c501-eab1-4ca6-b3ae-b8b9fbc5b389",0.000000,0.000000,39.383476,118.087040,0
"1302072011B00662","89cbee32-9a74-4451-bccb-291b5be3d583","河北省","唐山市","唐山市","位于我区小集镇小集村，四至为：东至田凤佳商居楼、西至田秋菊商居楼、南至唐柏公路、北至小集市场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=89cbee32-9a74-4451-bccb-291b5be3d583",0.000000,0.000000,39.458848,118.285264,0
"1302072011B00589","451c7938-cfa9-4aea-bd33-4c8e7a66532c","河北省","唐山市","唐山市","位于我区王兰庄镇王一村，四至为：东至王一村耕地、西至王二村耕地，南至王一村耕地，北至津唐公路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=451c7938-cfa9-4aea-bd33-4c8e7a66532c",0.000000,0.000000,39.441980,118.030776,0
"1302072013B00277","5db9a2b3-ce92-4110-882b-b02c91b6b3e7","河北省","唐山市","唐山市","该地块拟出让范围位于丰南区稻地镇桥东村庄，四至为：东至桥东村土地、中国农业银行；西至桥东村土地；南桥东村土地；北至桥东村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5db9a2b3-ce92-4110-882b-b02c91b6b3e7",0.000000,0.000000,39.536928,118.192472,0
"1302072011B00087","0cf79272-be3e-44db-83ab-bbfd2804da87","河北省","唐山市","唐山市","王兰庄镇大麦铺村，东至大麦铺村苇地、西至大麦铺村苇地、南至大麦铺村苇地、北至大麦铺村苇地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0cf79272-be3e-44db-83ab-bbfd2804da87",0.000000,0.000000,39.411580,118.073592,0
"1302072011B00714","4dd24497-a5d0-4cdf-b8c0-ffa90e2bfd7c","河北省","唐山市","唐山市","位于我区稻地镇。四至为：东至西大夫坨村耕地、乡间道，西至唐山永昌房地产开发有限公司，南至乡间道、北至乡间道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4dd24497-a5d0-4cdf-b8c0-ffa90e2bfd7c",0.000000,0.000000,39.570728,118.092232,0
"1302072011B00354","16fa9beb-e4cf-474e-a16e-2d23a4bda6a9","河北省","唐山市","唐山市","位于丰南区黄各庄镇河涧公路西侧，四至为：东至河涧公路，西至唐山市丰南区水务局陡河系管理所，南至裴振喜，北至村道。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=16fa9beb-e4cf-474e-a16e-2d23a4bda6a9",0.000000,0.000000,39.567484,118.121048,0
