electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6110242009B00088-1","38679a2f-e6c5-4f12-9bc2-cd4b2ed64ceaA","陕西省","商洛市","商洛市","山阳县杨地镇龙潭村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=38679a2f-e6c5-4f12-9bc2-cd4b2ed64ceaA",0.000000,0.000000,0.000000,0.000000,0
"6110242009B00094-1","b02819b9-ae67-4604-982c-16308c2c2e13A","陕西省","商洛市","商洛市","山阳县杨地镇龙潭村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b02819b9-ae67-4604-982c-16308c2c2e13A",0.000000,0.000000,0.000000,0.000000,0
"6110232014B00712","f7a53c65-1e6d-411c-8757-7046aad89c3e","陕西省","商洛市","商洛市","过风楼镇柳树湾村下湾组、郭山路西南侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f7a53c65-1e6d-411c-8757-7046aad89c3e",0.000000,0.000000,0.000000,0.000000,0
"6110222013B00011","826e5108-0d53-4237-a64d-9cfc9566305b","陕西省","商洛市","商洛市","县城环东路西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=826e5108-0d53-4237-a64d-9cfc9566305b",0.000000,0.000000,0.000000,0.000000,0
"6110242008B00205","31cd9496-6fdc-44b3-9676-120196b27a91","陕西省","商洛市","商洛市","山阳县银花镇上店子村韩湾组","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=31cd9496-6fdc-44b3-9676-120196b27a91",0.000000,0.000000,0.000000,0.000000,0
"6110252012B00057","3d96329a-e274-42e7-8b43-6fd7c585016f","陕西省","商洛市","商洛市","镇安县城西坡","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3d96329a-e274-42e7-8b43-6fd7c585016f",0.000000,0.000000,0.000000,0.000000,0
"6110252011B00187","4c442e7b-37f5-47f3-88db-88d77beebc96","陕西省","商洛市","商洛市","永乐镇岭南路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4c442e7b-37f5-47f3-88db-88d77beebc96",0.000000,0.000000,0.000000,0.000000,0
"6110232018B00078","39abf6dd-a2c5-4661-b2c1-da78a6379824","陕西省","商洛市","商洛市","城关街道办西关村寺沟","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39abf6dd-a2c5-4661-b2c1-da78a6379824",0.000000,0.000000,0.000000,0.000000,0
"6110262015B00035","74540667-cf6b-41f5-b6d9-f2427becf706","陕西省","商洛市","商洛市","柞水县曹坪镇钟山村二组踩玉河口","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=74540667-cf6b-41f5-b6d9-f2427becf706",0.000000,0.000000,0.000000,0.000000,0
"6110232013B00289","884d0ae5-2171-45a2-bb12-55f16c85baed","陕西省","商洛市","商洛市","过风楼镇徐家店村毛河东组","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=884d0ae5-2171-45a2-bb12-55f16c85baed",0.000000,0.000000,0.000000,0.000000,0
