electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6404002016B00181","e7f8cba9-8345-4cfb-90c1-42c290330f88","宁夏回族","固原市","固原市","西兰银物流园区I地块，四至：东至深沟街，南至兴流路，西至物流三街，北至物流横二路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7f8cba9-8345-4cfb-90c1-42c290330f88",0.000000,0.000000,36.028808,106.332952,0
"6404242016B00040","d8e10918-6374-48d2-8d91-2a913733af1f","宁夏回族","固原市","固原市","香水镇沙塬村东至污水处理厂，西至拟出让地块、南至待开发区，北至距泾华公路17.3-19.5米处","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d8e10918-6374-48d2-8d91-2a913733af1f",0.000000,0.000000,35.473000,106.355320,0
"6404242015B00088","cf5f4d9b-bbf9-4d94-a447-a3a1aadb7cb4","宁夏回族","固原市","固原市","位于原泾河源镇政府驻地，东至镇文化中心楼，西至拟开发地块，南至个人住宅及村道，北至龙潭路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf5f4d9b-bbf9-4d94-a447-a3a1aadb7cb4",0.000000,0.000000,35.559300,105.857720,0
"6404242014B00080","88f66ac8-b43d-4886-abc8-906cafea9e11","宁夏回族","固原市","固原市","轻工业产业园区，轻工业园区管委会以东，拟出让地块以西，宁夏恒辉有限责任公司以南，泾华公路绿化带以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=88f66ac8-b43d-4886-abc8-906cafea9e11",0.000000,0.000000,35.958692,106.277480,0
"6404002014B01073","0e160c91-5d63-4459-8ac3-c6eaa448f504","宁夏回族","固原市","固原市","固原西兰银综合物流园区南侧，南至规划路，西至规划路（长城西街），北至开城镇吴庄村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0e160c91-5d63-4459-8ac3-c6eaa448f504",0.000000,0.000000,35.997408,106.207472,0
"6404242016B00060","b4f95b5d-7cb6-4444-9dc6-2b0cca177d83","宁夏回族","固原市","固原市","香水镇沙塬村，东至工业园区拟出让地块，西至沙塬村道路，南至拟出让地块，北至距泾华公路19.2-20.15米处","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b4f95b5d-7cb6-4444-9dc6-2b0cca177d83",0.000000,0.000000,35.473000,106.355320,0
"6404242014B00142","7ebca625-5481-4496-895f-dcb17bdcaa24","宁夏回族","固原市","固原市","泾源县龙潭街以北，泾河路以东，东至拟开发地块，西至泾河路人行道，南至龙潭街人行道，北至县医院","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7ebca625-5481-4496-895f-dcb17bdcaa24",0.000000,0.000000,35.494184,106.325680,0
"6404002015B00589","03690461-dafa-4d32-b239-1182a482447b","宁夏回族","固原市","固原市","建业街西侧，四至：东至建业街，南至富宁路，西至羊坊村耕地，北至一级农产品批发市场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=03690461-dafa-4d32-b239-1182a482447b",0.000000,0.000000,35.996020,106.248152,0
"6404002015B00738","eeb8e216-22eb-4815-aa1b-3faccdce12aa","宁夏回族","固原市","固原市","原州区中山北街西侧，四址为：东至中山北街，南至规划开城路，西至高红四街，北至平朔路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eeb8e216-22eb-4815-aa1b-3faccdce12aa",0.000000,0.000000,36.013068,106.284504,0
"6404242018B00170","e497ae47-5cd6-4d4a-b18e-2f82963e19ab","宁夏回族","固原市","固原市","位于泾河路以西，滨河路以北，东至泾河路，西至人力资源和社会保障局，北至市场监督管理局，南至滨河路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e497ae47-5cd6-4d4a-b18e-2f82963e19ab",0.000000,0.000000,36.017992,106.268344,0
"6404002014B00906","70078a11-c1d0-4ba1-938a-a7c798f2eae8","宁夏回族","固原市","固原市","原州区东关北街，东至城郊村三组，南至福宁源药业生物工程有限公司，西至东关北街，北至城郊三组居民区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=70078a11-c1d0-4ba1-938a-a7c798f2eae8",0.000000,0.000000,36.007984,106.297216,0
