electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"1401222013B00020","d16537e2-8a6b-4a77-aafa-09a84ebbe36b","山西省","太原市","太原市","太原工业新区规划十五路以东、企业大道及10米绿化带以南、规划二十一路以及50米防护绿地以西、用地南边界以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d16537e2-8a6b-4a77-aafa-09a84ebbe36b",0.000000,0.000000,37.785192,112.521440,0
"1401002012B05104","d2127b09-ad47-4e26-bb63-9ca43b11b402","山西省","太原市","太原市","小店区真武路以东小店区高新产业园，四至真武东路以东、大运路以西、十号线以北、八号线以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d2127b09-ad47-4e26-bb63-9ca43b11b402",0.000000,0.000000,37.736484,112.569912,0
"1401002018B00452","25aa8f78-c91b-47af-8984-e399de04060d","山西省","太原市","太原市","太原市解放北路85号，东至解放北路，西至、南至太原钢铁（集团）有限公司，北至晋商银行股份有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=25aa8f78-c91b-47af-8984-e399de04060d",0.000000,0.000000,37.905392,112.556808,0
"1401002012B04506","c50c2cc6-88a3-4aa1-a45f-932508df58b3","山西省","太原市","太原市","万柏林区迎泽西大街以南、中国网通有限公司山西省分公司以东、中国人民建设银行山西省分行以北、山西省人民政府机关事务管理局以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c50c2cc6-88a3-4aa1-a45f-932508df58b3",0.000000,0.000000,37.856728,112.492376,0
"1401002013B06228","a425648c-8cda-4773-a150-c744432909ed","山西省","太原市","太原市","位于山西省通讯公司太原分公司、中国网通公司山西省分公司以东、西矿街以南、太原市建筑工程总公司以西、山西省建筑职工总医院以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a425648c-8cda-4773-a150-c744432909ed",0.000000,0.000000,37.859976,112.469992,0
"1401002010B01727","a50f6789-75d8-4aa1-8740-f0aee7cf9c29","山西省","太原市","太原市","新建路44号、窊流路以东、上庄街28号、朝阳街106号、建设南路269号、并东南三巷31号、新建南路115号、精营东边街39号、劲松路16号、古城东街3号、窊流路以西、胜利西街北侧、十里铺街100号","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a50f6789-75d8-4aa1-8740-f0aee7cf9c29",0.000000,0.000000,37.880368,112.488136,0
"1401002014B07315","8c4f11f3-3e1c-4935-a320-0c001621ba62","山西省","太原市","太原市","位于坞城南路和师范街路口西南角，四至：北至师范街、东至坞城南路、西至山西省公路局用地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8c4f11f3-3e1c-4935-a320-0c001621ba62",0.000000,0.000000,37.755524,112.579064,0
"1401002016B00652","2ffee2ff-5873-46f1-868a-a389b85e562b","山西省","太原市","太原市","位于晋源区西寨村，四至：东至省汾河一坝分局用地；南至西至南阜村改37地块用地；北至北阜村改用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ffee2ff-5873-46f1-868a-a389b85e562b",0.000000,0.000000,37.768692,112.510392,0
"1401002012B04821","547115e1-4122-4389-89f7-7643f2fe3580","山西省","太原市","太原市","小店区真武路以东小店区高新产业园四至：真武路以东、八号线以北、大运路以西；六号线以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=547115e1-4122-4389-89f7-7643f2fe3580",0.000000,0.000000,37.736484,112.569912,0
"1401002015B00842","521d5de4-2e28-4398-a0b0-5c1fb47a1ae5","山西省","太原市","太原市","位于南中环以北、西中环路以西.四至：规划路以北，规划路以西，绿化带以东，规划路以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=521d5de4-2e28-4398-a0b0-5c1fb47a1ae5",0.000000,0.000000,37.846952,112.484608,0
"1401002015B00797","7e5d3a62-e182-4780-b561-094f027e992d","山西省","太原市","太原市","万柏林区西矿街232号，四至：南至市政宿舍、西至窊流村、北至太原市通途市政工程公司、东至清光巷","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7e5d3a62-e182-4780-b561-094f027e992d",0.000000,0.000000,37.867680,112.480928,0
"1401002015B00825","288cd3c3-c5c8-4166-8533-fa2aa0b2b24a","山西省","太原市","太原市","万柏林区倒渣路以西、排洪沟以东、东社城中村改造规划地块13以南、东社城中村改造规划地块15以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=288cd3c3-c5c8-4166-8533-fa2aa0b2b24a",0.000000,0.000000,37.887792,112.484232,0
"1401082011B00047","b7166c2c-7328-4acf-ac4a-ed54d9085bf8","山西省","太原市","太原市","东至园区30米规划路，西至卫星制药厂及新兰路，南至晋东资产宿舍区及中铁十四局集团太原分公司，北至园区30米规划路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b7166c2c-7328-4acf-ac4a-ed54d9085bf8",0.000000,0.000000,37.988984,112.506992,0
"1401002018B00699","7d95ca97-a3f7-4ed7-8a69-b6f9b60ad056","山西省","太原市","太原市","杏花岭区耙儿沟村，东至耙儿沟村用地，西至、南至规划路，北至山西高远翔房地产开发有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7d95ca97-a3f7-4ed7-8a69-b6f9b60ad056",0.000000,0.000000,37.872780,112.594112,0
"1401002012B04860","7b03a5ec-577a-4c0b-bd70-9d5ca52c99ba","山西省","太原市","太原市","小店区真武路以东小店区高新产业园四至：真武路以东、八号线以北、大运路以西；六号线以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7b03a5ec-577a-4c0b-bd70-9d5ca52c99ba",0.000000,0.000000,37.736484,112.569912,0
"1401072015B00027","80cd21eb-a461-462d-b399-971af23f2c01","山西省","太原市","太原市","太原民营经济开发区范围内：西至15米规划路，东至经园路，北至郝家沟街，南至市政设施用地及15米规划路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=80cd21eb-a461-462d-b399-971af23f2c01",0.000000,0.000000,37.858224,112.596296,0
"1401002012B04493","e575e342-19d2-4f2b-8b6c-c810fc7b2e31","山西省","太原市","太原市","太原市杏花岭区大东关街以北，四至为蔬菜公司用地以东，大东关街以北，规划路以南，新源里棚户区以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e575e342-19d2-4f2b-8b6c-c810fc7b2e31",0.000000,0.000000,37.875036,112.588280,0
"1401002014B07340","b48ad7c4-85e7-43e9-a1bf-3c844dac4bd3","山西省","太原市","太原市","位于太原市解放北路161号，北至太原名都房地产开发有限公司，南至北中环街，东至规划路，西至道路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b48ad7c4-85e7-43e9-a1bf-3c844dac4bd3",0.000000,0.000000,37.898940,112.540744,0
"1401082013B00053","cfed93e9-3ab0-4c98-8443-2d1cd198e014","山西省","太原市","太原市","东至规划路的指定位置，南至太锅集团已征地块，西至园区规划3号路，北至阳兴大道用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cfed93e9-3ab0-4c98-8443-2d1cd198e014",0.000000,0.000000,38.067240,111.789440,0
"1401002016B00129","e32c2b43-7118-443a-b902-94f2c77c4b23","山西省","太原市","太原市","位于小店区东桥村、温家堡、西攒村，四至：东至大运西路，南至八号线用地，北至八号线北街","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e32c2b43-7118-443a-b902-94f2c77c4b23",0.000000,0.000000,37.702980,112.563088,0
