electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3408002013B00108-1","445606ee-e92c-4662-b804-51339c8c96f6","安徽省","安庆市","安庆市","大桥开发区芭茅路北侧，东至文苑路，南至芭茅路，西至经十四路，北至安庆长江大桥综合经济开发区建设投资有限责任公司。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=445606ee-e92c-4662-b804-51339c8c96f6",0.000000,0.000000,30.561500,117.011432,0
"3408002013B00117-2","a2d6c556-53f0-4dae-8b46-7ea049abe520","安徽省","安庆市","安庆市","大桥开发区芭茅路以南，东至文苑路，南至安庆市建桥投资有限公司，西至经十四路，北至芭茅路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a2d6c556-53f0-4dae-8b46-7ea049abe520",0.000000,0.000000,30.846992,116.852168,0
"3408002015A00048","6c62c286-9b9d-4c94-ba7d-cc6fcf25dc82","安徽省","安庆市","安庆市","大桥开发区C-6地块（东至文苑路，南至叶祠小学、白泽路，西至还建点，北至安徽远征建设投资有限公司）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6c62c286-9b9d-4c94-ba7d-cc6fcf25dc82",0.000000,0.000000,30.550768,117.077144,0
"3408022016B00018","f6a75daf-1ca6-4ae2-ad3b-20e906c7e7e8","安徽省","安庆市","安庆市","临港经济开发区，东至安徽宜源环保科技有限公司,南至环城南路，西至G2-11地块，北至华茂佰斯特科技有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f6a75daf-1ca6-4ae2-ad3b-20e906c7e7e8",0.000000,0.000000,30.546778,117.052720,0
"3408222016B00367","556a03bd-6d96-4215-b76d-0ca19d5f3c16","安徽省","安庆市","安庆市","怀宁县H01-07-2区，东至待出让地块，南至福斯特汽车配件，西至209省道，北至纬十四路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=556a03bd-6d96-4215-b76d-0ca19d5f3c16",0.000000,0.000000,30.762310,116.796096,0
"3408002015A00216","d0f746cf-43e4-4cb5-9a45-8a2d43c5566d","安徽省","安庆市","安庆市","迎江区龙狮桥乡余桥社区(东至规划红线,南至皖江大道,西至规划红线,北至：碧桂园小区围墙)","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d0f746cf-43e4-4cb5-9a45-8a2d43c5566d",0.000000,0.000000,30.518352,117.075152,0
"3408002015A00277","7dc34fc6-ce08-4a2b-8d8d-358c333afa58","安徽省","安庆市","安庆市","迎江区龙狮桥乡余桥社区（东至农田，南至沿江路，西至规划四水厂，北至长航警备码头）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7dc34fc6-ce08-4a2b-8d8d-358c333afa58",0.000000,0.000000,30.504090,117.032600,0
"3408002014B02025","2c6bf1b2-9e2c-4a8b-9b7f-2e03b7f5f63e","安徽省","安庆市","安庆市","大桥开发区C-11“学府花园”以北地块（东至区间道路，南至学府花园，西至文苑路，北至芭茅路）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2c6bf1b2-9e2c-4a8b-9b7f-2e03b7f5f63e",0.000000,0.000000,30.169150,116.115424,0
"3408002018B00126","f753cfa4-d50e-4c16-8385-619036611f6b","安徽省","安庆市","安庆市","经开区三期，东至外环北路，西至老峰新能源汽车配套产业园项目，南至元山南路，北至天柱山东路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f753cfa4-d50e-4c16-8385-619036611f6b",0.000000,0.000000,30.601534,117.128624,0
"3408002015B00241-1","39567b7a-611f-417b-be00-0f8345025393","安徽省","安庆市","安庆市","位于东部新城振风大道与辉煌路交叉口，东至辉煌路；南至振风大道；西至外国语学校；北至区间道路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39567b7a-611f-417b-be00-0f8345025393",0.000000,0.000000,30.530930,117.098048,0
