electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3213022015B00527","26FAB5941CEF5F27E055000000000001","江苏省","宿迁市","宿迁市","宿城区耿车循环经济产业园，东至科创路（32米）。南至企业用地，西至空地，北至苏州路绿化带（12米）。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=26FAB5941CEF5F27E055000000000001",0.000000,0.000000,33.906800,118.224448,0
"3213022014B00126","84173F7F87D44478B3DE64940F47A98E","江苏省","宿迁市","宿迁市","宿城区耿车镇东至建宏塑业地界，西至现状耿赵路，南至远见塑业地界，北至徐淮路20米绿化带。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=84173F7F87D44478B3DE64940F47A98E",0.000000,0.000000,33.916596,118.195520,0
"3213022011B00631","5BDEF09E2343467090874C50EF5B37C3","江苏省","宿迁市","宿迁市","宿城新区 东至通和桂园小区用地  南至成子湖路（24米）  西至北海路（46米）  北至通和桂园小区用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5BDEF09E2343467090874C50EF5B37C3",0.000000,0.000000,33.963748,118.229128,0
"3213022011B00799","EDF12AA9F0954DDA9359A8E128A5551C","江苏省","宿迁市","宿迁市","宿城经济开发区  东至运河堤路60米绿化带  南至空地  西至徐淮路中线东侧73米  北至运河三号桥中线南侧222米","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=EDF12AA9F0954DDA9359A8E128A5551C",0.000000,0.000000,33.719452,118.565632,0
"3213022011B00409","3E6A4A593CB042C981E4122B41FE72C3","江苏省","宿迁市","宿迁市","宿城经济开发区   东至运河堤路60米绿化带及空地  南至宿新高速60米绿化带及空地  西至徐淮路（46米）50米绿化带、空地、青岛啤酒（宿迁）公司用地  北至青岛啤酒（宿迁）公司用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3E6A4A593CB042C981E4122B41FE72C3",0.000000,0.000000,33.882192,118.316488,0
"3213022015B00323","2469A1A80C9F7040E055000000000001","江苏省","宿迁市","宿迁市","宿城经济开发区（西区），东至空地，南至勇进路（24米），西至科创路（32米），北至空地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2469A1A80C9F7040E055000000000001",0.000000,0.000000,33.926328,118.187680,0
"3213022016B00242","315A37A768255B93E055000000000001","江苏省","宿迁市","宿迁市","宿城经济开发区西片区，东至永富电力厂区，南至纬一路（20米），西至科兴路，北至企业。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=315A37A768255B93E055000000000001",0.000000,0.000000,33.236222,118.188688,0
"3213022011B00338","70B72BDF02964141874B8B03B0A23006","江苏省","宿迁市","宿迁市","吴中·宿城工业园   东至宿湖路（24米）  西至空地  南至吴宿路（24米)）  北至30米绿化带","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=70B72BDF02964141874B8B03B0A23006",0.000000,0.000000,33.963285,118.269989,0
"3213002018B00198","6A7FE45579392033E055000000000001","江苏省","宿迁市","宿迁市","苏宿工业园区，东至相邻地块和精科互感器，南至相邻地块和古城路，西至相邻地块，北至民便河绿化用地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6A7FE45579392033E055000000000001",0.000000,0.000000,33.986136,118.150432,0
"3213022010B00606","126FCAE016D8462E84FD651676735846","江苏省","宿迁市","宿迁市","宿城区洋河镇  北至居民点  南至徐淮路（47米）  西至西门路（30米）  东至洋河包装厂用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=126FCAE016D8462E84FD651676735846",0.000000,0.000000,33.776860,118.369152,0
"3213002015B00810","3894E21F96746653E055000000000001","江苏省","宿迁市","宿迁市","宿豫区,东至建设产业集聚区C6,南至建设产业集聚区C2,西至建设产业集聚区C7,北至建设产业集聚区支路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3894E21F96746653E055000000000001",0.000000,0.000000,33.948133,118.325080,0
"3213112015B00470","3887A96258323F8AE055000000000001","江苏省","宿迁市","宿迁市","宿豫区,东至建设产业集聚区C5,南至建设产业集聚区C4和绿化广场,西至建设产业集聚区C8,北至建设产业集聚区支路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3887A96258323F8AE055000000000001",0.000000,0.000000,33.948133,118.325080,0
"3213022011B00308","BF716016E7574715B835F7AB7BBED7D5","江苏省","宿迁市","宿迁市","宿城经济开发区   东至江苏宏运环保科技有限公司用地  西至科兴路（50米）  南至空地  北至古城路（50米）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=BF716016E7574715B835F7AB7BBED7D5",0.000000,0.000000,33.960852,118.228120,0
"3213022011B00119","5473D2DDF16E43D3894B022264763802","江苏省","宿迁市","宿迁市","宿迁经济开发区，东至宁宿徐高速公路绿化带（50米），西至项目用地，北至洋大河绿化带（20米），南至规划支路（19米）。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5473D2DDF16E43D3894B022264763802",0.000000,0.000000,33.940124,118.274472,0
