electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"4306002008B00089","102a13d0-3760-4458-99b3-06771af9c068C","湖南省","岳阳市","岳阳市","奇西路以北，东抵湖南理工学院用地，南抵奇西路，西、北抵湖南理工学院用地，西南角抵联飞养殖场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=102a13d0-3760-4458-99b3-06771af9c068C",0.000000,0.000000,29.328264,113.175712,0
"4306002008B00076","6671aeb1-2784-49e3-b5ed-e9f49710e309C","湖南省","岳阳市","岳阳市","洞庭大道以北，东邻汽车西站，南抵洞庭大道，西抵市洞庭湖大桥管理局土地，北抵市洞庭湖大桥管理局土地及东风湖","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6671aeb1-2784-49e3-b5ed-e9f49710e309C",0.000000,0.000000,29.434772,113.021952,0
"4306002015B03170","0964850a-f32e-4563-b6ad-e64654aa9d43","湖南省","岳阳市","岳阳市","岳阳经济技术开发区火峡庙路以南、十字坡路以西（岳阳京港澳连接线以南，距连接线南侧直线距离约400米）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0964850a-f32e-4563-b6ad-e64654aa9d43",0.000000,0.000000,29.368178,113.169552,0
"4306032018B00049","a96d3f1c-7426-414d-8839-660e2e695d2b","湖南省","岳阳市","岳阳市","湖南岳阳绿色化工产业园云溪片区，东抵聚成化工，西抵中展科技，南抵开源路，北抵鑫鹏化工","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a96d3f1c-7426-414d-8839-660e2e695d2b",0.000000,0.000000,29.482994,113.256016,0
"4306002008B00382","b2cded29-5daa-4cde-b2c8-5debb332abbf","湖南省","岳阳市","岳阳市","奇家岭路以西，东抵奇家岭路，南抵郭镇派出所土地，西抵郭镇乡郭镇村土地，北抵郭镇卫生院土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b2cded29-5daa-4cde-b2c8-5debb332abbf",0.000000,0.000000,29.345680,113.139816,0
"4306032018B00135","ddfda5f1-297a-481b-9dd8-ed7a57915cc5","湖南省","岳阳市","岳阳市","湖南岳阳绿色化工产业园长岭片区，东抵同心路，西抵砖桥路，南抵高家垄西路，北抵蔡家垄路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ddfda5f1-297a-481b-9dd8-ed7a57915cc5",0.000000,0.000000,28.872664,113.185696,0
"4306032017B00318","3ac3fd9c-bc40-4af6-8038-a51155481c2e","湖南省","岳阳市","岳阳市","云溪区长岭街道文桥社区、和平村（原文桥镇小桥村、和平村），南至小河沟路、西抵炼桥路，北临长炼大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3ac3fd9c-bc40-4af6-8038-a51155481c2e",0.000000,0.000000,29.553060,113.357632,0
"4306002018B03025","8374c5a6-9fea-4ffe-a248-deb6d8ece192","湖南省","岳阳市","岳阳市","五里牌路与花园南路东北角，东临市交通局，南临五里牌路，西抵花园南路，北靠市邮电小区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8374c5a6-9fea-4ffe-a248-deb6d8ece192",0.000000,0.000000,29.371228,113.130528,0
"4306002018B03443","93dc099b-7d1f-459f-8f44-003293c73066","湖南省","岳阳市","岳阳市","位于岳阳楼区三眼桥街道办事处，东临佳汇华庭小区，南临岳阳市九中，西临花板湖路，北临金鹗中路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=93dc099b-7d1f-459f-8f44-003293c73066",0.000000,0.000000,29.360180,113.116176,0
"4306002008B00176","aeeb74a1-aeba-4c0d-a6dd-866461df3768","湖南省","岳阳市","岳阳市","湖南洞庭苎麻纺织印染厂厂区内，东南西抵洞麻厂生活区，北抵湖南华升洞庭麻业有限公司生产区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aeeb74a1-aeba-4c0d-a6dd-866461df3768",0.000000,0.000000,29.393766,113.124168,0
"4306002018B03467","602ca032-cefb-4252-8757-4d03a0d1ed42","湖南省","岳阳市","岳阳市","位于岳阳楼区五里牌街道古井社区青年中路南侧，东临花板桥居委会、西靠古井社区东冲巷、南抵古井社区铁炉组、北至青年中路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=602ca032-cefb-4252-8757-4d03a0d1ed42",0.000000,0.000000,29.364230,113.124328,0
