electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6528272013B00249","bbc47855-f292-41c1-b987-e929e0c6a1ba","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","巴润哈尔莫敦镇农副产品加工区，巴润哈尔莫敦镇至21团路口北侧，G218国道线西侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bbc47855-f292-41c1-b987-e929e0c6a1ba",0.000000,0.000000,42.253244,86.129024,0
"6528272013B00165","caa7286e-56c6-45ba-a7bd-5c64f5efbd7d","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","和静县巴润哈尔莫敦镇农副产品加工区，和静融鑫辣椒科技有限责任公司用地西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=caa7286e-56c6-45ba-a7bd-5c64f5efbd7d",0.000000,0.000000,42.252672,86.129984,0
"6528222017A00079","8d416eee-5bd5-4c59-9929-202bd8f726cd","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","轮台县境内策大雅乡以北，南距G3012线约1.2公里、1.1公里、1公里、800米、600米、270米、160米、280米。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8d416eee-5bd5-4c59-9929-202bd8f726cd",0.000000,0.000000,41.984888,84.896304,0
"6528282011B00269","97788dc1-e270-49b6-ba2e-501035284d4a","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","和硕县特吾里克镇西侧，水磨西街2公里处，325省道南侧，东侧为空地、南侧为清水河渠","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=97788dc1-e270-49b6-ba2e-501035284d4a",0.000000,0.000000,42.282168,86.943744,0
"6528272017B00120","d4950b5c-ac00-493d-9246-c3c6084926b9","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","和静县哈尔莫敦镇218国道西侧，哈尔莫敦镇觉伦图尔根村村村委会南侧（前山加油站）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d4950b5c-ac00-493d-9246-c3c6084926b9",0.000000,0.000000,42.363380,86.116024,0
"6528272016B00179-1","9cfbf455-a71c-48dc-9c9c-006927fee67f","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","和静县工业园金泉综合制造加工区新兴产业区内、巴州文峰枣业有限公司用地西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9cfbf455-a71c-48dc-9c9c-006927fee67f",0.000000,0.000000,42.321876,86.381728,0
"6528272016B00039","5430db2a-aae2-4ebb-ab36-816c03d9b095","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","宗地位于和静县巴润哈尔莫敦镇巴音街，东至空地，南至程林商铺，西至巴音街，北至卢迪光商铺。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5430db2a-aae2-4ebb-ab36-816c03d9b095",0.000000,0.000000,42.252672,86.129984,0
"6528242013B00240","ad29ec37-8d32-42ea-a380-46f9128604ad","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","若羌县农副产品加工园内，若羌县羌和兴农预制厂用地以北，若羌县昊泰建材有限公司用地以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ad29ec37-8d32-42ea-a380-46f9128604ad",0.000000,0.000000,38.990056,88.167032,0
"6528242016B00096","5cf15c12-df79-4c42-808e-eefd3c5e148e","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","若羌县农副产品加工园区南面，北距若羌县城3公里。该用地北面为羌和兴农预制厂和恒升气体有限 公司，东侧、西侧、南面为空地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5cf15c12-df79-4c42-808e-eefd3c5e148e",0.000000,0.000000,39.022800,88.164496,0
"6528272013B02641","728691ad-aad9-4102-b88f-e4e021889f02","新疆维吾尔","巴音郭楞蒙古自治州","巴音郭楞蒙古自治州","和静工业园金泉综合制造加工区新兴产业区内，新疆军辉伟业新型建筑材料有限公司西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=728691ad-aad9-4102-b88f-e4e021889f02",0.000000,0.000000,42.341332,86.367816,0
