electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"4401002018B00589","af1e9fdd-9d86-4514-afa9-329960995e44","广东省","广州市","广州市","荔湾区北至龙溪大道、南至珠江水产研究所，西达花地河，东以广钢铁路支线（白鹤沙AF021920-6地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=af1e9fdd-9d86-4514-afa9-329960995e44",0.000000,0.000000,23.067010,113.216496,0
"4401162011B00075","bf2751bc-eca0-4449-a3cd-6e09965ce6df","广东省","广州市","广州市","广州国际生物岛规划C14号路以东，规划C11号路以南，螺旋路（岗头路段）以西，环岛路以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bf2751bc-eca0-4449-a3cd-6e09965ce6df",0.000000,0.000000,23.528604,113.602816,0
"4401162011B00312","a7dca01b-dcae-42a2-b804-d6fa39d4f842","广东省","广州市","广州市","广州国际生物岛螺旋路（岗头段）以东，规划C10号路以南，规划C13号路以西，环岛路以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a7dca01b-dcae-42a2-b804-d6fa39d4f842",0.000000,0.000000,23.528604,113.602816,0
"4401002009B01628-4","70e20b8a-e257-42a1-a2fb-0f86e5a05ea1","广东省","广州市","广州市","番禺区京珠高速公路、轨道交通四号线以东，清河路以南，莲花山水道、石楼涌和小浮莲山以西，规划中的长南路、轨道交通三号线以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=70e20b8a-e257-42a1-a2fb-0f86e5a05ea1",0.000000,0.000000,22.954780,113.490352,0
"4401832012B00322","d6dedd1f-bc9f-4cff-b083-234f579c6027","广东省","广州市","广州市","增城经济技术开发区创优路南侧、创业大道以北、雅瑶河以西[新塘镇（宁西）湖中村、（沙埔）上岭村、长巷村]","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d6dedd1f-bc9f-4cff-b083-234f579c6027",0.000000,0.000000,23.166770,113.658504,0
"4401832014B01545-2","cff50a4f-5a25-4e78-b639-717d9cb5fb81","广东省","广州市","广州市","增城市新塘镇汇美新村D8区东华路7号、D8区工业路8号、D8区兴业路9号、D8区工业6A号、东华D8区6B号","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cff50a4f-5a25-4e78-b639-717d9cb5fb81",0.000000,0.000000,23.012460,113.274712,0
"4401832012B00249-1","60069d70-093b-410c-a745-be8d6d46d163","广东省","广州市","广州市","增城经济技术开发区创业大道南侧、创强路以北、新建北路以西（新塘镇（永和）白水村、九如村）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=60069d70-093b-410c-a745-be8d6d46d163",0.000000,0.000000,23.177712,113.635008,0
"4401832012A00770","3d585c17-0057-43d3-8a0a-6bc991a34a90","广东省","广州市","广州市","增城市中新镇莲塘村周吓迳社、朱村街道办神岗村五社、神岗六社、神岗村七社、丰湖村八社、丰湖村九社","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3d585c17-0057-43d3-8a0a-6bc991a34a90",0.000000,0.000000,23.261652,113.691424,0
"4401152009B00055-2","2ddaa859-c87a-40fc-aaf2-12872fbb48efAA","广东省","广州市","广州市","南沙行政中心南侧，东临规划控制红线宽度60米的凤凰大道，东北临规划控制红线宽度40米的金蕉大道，南临规划控制红线宽100米的虎门高速公路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ddaa859-c87a-40fc-aaf2-12872fbb48efAA",0.000000,0.000000,22.806530,113.522272,0
"4401002015B00669-1","43d69fff-025c-4433-819d-a3e53686e5f5","广东省","广州市","广州市","荔湾区芳村大道南以西、鹤洞路以南（广钢新城AF040403、AF040404、AF040416地块之间两条规划道路地下空间地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=43d69fff-025c-4433-819d-a3e53686e5f5",0.000000,0.000000,23.072564,113.246608,0
"4401162017B00748","63c637ea-f49b-4f6e-bb86-72ea3e9f5827","广东省","广州市","广州市","中新广州知识城北起步区永久快速路北延线以东，九龙大道以西，钟太快速路以北，KN1-2号路以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=63c637ea-f49b-4f6e-bb86-72ea3e9f5827",0.000000,0.000000,23.395624,113.485488,0
"4401002015B00698-1","b2755387-904a-4b9e-a780-d45878f2ea07","广东省","广州市","广州市","海珠区广纸片区地块二AH050108、AH050114、AH050201、AH050203、AH050204、AH050316、AH050323地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b2755387-904a-4b9e-a780-d45878f2ea07",0.000000,0.000000,23.078916,113.262336,0
