electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"5101212013B00073","b1e75f38-576d-4f76-b14b-f947f7bf3d83","四川省","成都市","成都市","金堂县工业园区东区,东侧洲城大道，南侧西二横道，西侧金堂康宏明参有限公司，北侧成都金厦科技有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b1e75f38-576d-4f76-b14b-f947f7bf3d83",0.000000,0.000000,30.707190,104.533112,0
"5101212015B00476","2cc167e7-2bbc-4817-8151-8faf6131c3a2","四川省","成都市","成都市","金堂县成阿工业园内，北邻湖南路，南邻泸蓉高速公路，西邻四川韦克电缆有限公司用地，东邻成阿大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2cc167e7-2bbc-4817-8151-8faf6131c3a2",0.000000,0.000000,30.689440,104.584296,0
"5101002015B00556","73a47536-eb3f-405e-9d8e-eeb8083061fe","四川省","成都市","成都市","高新区西部园区，石院南片区（原郫县合作镇顺江村1社、6社，金牛区金泉街道淳风社区集体）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=73a47536-eb3f-405e-9d8e-eeb8083061fe",0.000000,0.000000,30.717650,103.960344,0
"5101212012B00200","4779030d-7708-4d5d-a174-ffd6664e3264","四川省","成都市","成都市","淮口镇成阿园东邻成都晟浩钢结构有限公司，南邻广东路，西邻电力通道,北邻成都德兰建筑机械设备有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4779030d-7708-4d5d-a174-ffd6664e3264",0.000000,0.000000,30.698930,104.578336,0
"5101002017B03479","6fa6cebc-bc6a-4e46-b26c-7b68fec7b262","四川省","成都市","成都市","天府新区万安街道大石社区八组、石桥村二组（天府新城范围内，成自泸高速西侧、麓山大道北侧）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6fa6cebc-bc6a-4e46-b26c-7b68fec7b262",0.000000,0.000000,30.481310,104.113216,0
"5101212016B00122","46158db8-5cb5-4506-af1e-5d51a564a5a6","四川省","成都市","成都市","金堂县工业园区东区，北临成都市同步彩色印刷制品有限公司，南临四川省金润仪器设备有限公司，西临依山路，东临成都鑫宝鞋业有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=46158db8-5cb5-4506-af1e-5d51a564a5a6",0.000000,0.000000,30.708820,104.537592,0
"5101002013B04189","429380e0-e385-4467-b2b0-c80202b0005a","四川省","成都市","成都市","成华区九寨沟路以东、沱江路以南、峨眉山路以西和湔江路以北，保和街道办事处辖区东桂社区1、2组(XS-07地块)地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=429380e0-e385-4467-b2b0-c80202b0005a",0.000000,0.000000,30.640378,104.121840,0
"5101212013B00355","100fbefc-c552-4c0b-957b-38738842fddf","四川省","成都市","成都市","金堂工业园区东区，北临四川鋈鑫能源科技有限公司、南临四川西中油橄榄有限责任公司、西临现代大道、东临科玛小镇商业用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=100fbefc-c552-4c0b-957b-38738842fddf",0.000000,0.000000,30.707954,104.541648,0
"5101212012B00660","bb4666ce-0762-4baf-b0c8-effff995f618","四川省","成都市","成都市","金堂县工业园区西区,东侧四川巨丰动物药业有限公司，南侧金川路，西侧四川新世纪线缆有限公司，北侧四川新世纪线缆有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bb4666ce-0762-4baf-b0c8-effff995f618",0.000000,0.000000,30.848494,104.392400,0
"5101002014B00574","8f803c89-630d-428d-b06b-a5285d5aec0b","四川省","成都市","成都市","金牛区驷马桥街道辖区，毗邻府南河畔，四至范围东起府青路一段，北靠马鞍东路，西至马鞍南路，南邻外曹家巷、曹家巷、星辉东路一线旧城改造土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8f803c89-630d-428d-b06b-a5285d5aec0b",0.000000,0.000000,30.673590,104.087504,0
