electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"2104232013B00082","d5fdc0be-5433-464a-b5c3-8c1e598e2606","辽宁省","抚顺市","抚顺市","清原县清原镇前进村小山城居民组，其南侧为耕地，北侧为国道202线，东侧为耕地，西侧为小山城河","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d5fdc0be-5433-464a-b5c3-8c1e598e2606",0.000000,0.000000,42.097072,124.909816,0
"2104232014B00157","ad8ad507-715b-4b7d-8c5e-ae4291156ca4","辽宁省","抚顺市","抚顺市","清原县老城区，原公安局所在地，清河路的北侧，邮政局清河路营业厅的东侧，交通局的西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ad8ad507-715b-4b7d-8c5e-ae4291156ca4",0.000000,0.000000,42.098628,124.920152,0
"2104232014B00166","501d29cf-8778-4de8-a76f-6d00555ce49b","辽宁省","抚顺市","抚顺市","位于清原县城西部，清河路的南侧，体育馆、歆海湖畔小区的北侧，规划天桥街待动迁居民区西侧，西郊街城市绿地东侧，原西粮库院内","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=501d29cf-8778-4de8-a76f-6d00555ce49b",0.000000,0.000000,42.094804,124.906176,0
"2104232012B00278","34e88799-1e03-49f5-a633-d039792e0b3c","辽宁省","抚顺市","抚顺市","河南新区前进村高丽营子自然屯，二O二国道南侧，白云街西侧，幸福家园小区东侧，峪丰植物油公司北侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=34e88799-1e03-49f5-a633-d039792e0b3c",0.000000,0.000000,42.097932,124.931736,0
"2104232012B00377","8e1e4b8f-dcfc-4c09-abe9-aa00ca746c64","辽宁省","抚顺市","抚顺市","清原县城的东部，原陶瓷厂所在地，柴河路的南侧，规划清河路的北侧，原农机公司的东侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8e1e4b8f-dcfc-4c09-abe9-aa00ca746c64",0.000000,0.000000,42.102856,124.935416,0
"2104232014B00137","4332ee57-fa6f-465a-ab14-3ca9dc66caff","辽宁省","抚顺市","抚顺市","清原县河南地区，消防队、加油站的南侧，浑河路的北侧，俪景书香苑的西侧，龙呈金湾的东侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4332ee57-fa6f-465a-ab14-3ca9dc66caff",0.000000,0.000000,42.090124,124.916968,0
"2104232018B00029","bc45a309-2665-49ff-817c-26ecf998a26c","辽宁省","抚顺市","抚顺市","原农电局、人寿保险公司所在地，清河路的南侧，柳河路的北侧，金凤街的西侧，县信用社住宅楼的东侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bc45a309-2665-49ff-817c-26ecf998a26c",0.000000,0.000000,42.096912,124.917000,0
"2104232014B00038","8789dd9d-38ce-404c-a1c7-4e01fd130978","辽宁省","抚顺市","抚顺市","清原县河南新区，浑河路南侧，高速公路动迁楼的北侧，浑河小区的东侧，勃朗服装的西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8789dd9d-38ce-404c-a1c7-4e01fd130978",0.000000,0.000000,42.091032,124.928064,0
"2104232012B00397","81ddefe0-2776-4798-918c-9bca9f36c226","辽宁省","抚顺市","抚顺市","清原县第四建筑公司、环宇特种波纹管厂地块，高速公路出口、彰恒线西侧，规划路南北两侧，彩源木材加工厂东侧，规划202线北侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=81ddefe0-2776-4798-918c-9bca9f36c226",0.000000,0.000000,41.543100,124.362872,0
"2104232014B00078","bae0e85a-b95e-4f2a-9dfb-228fc799a07d","辽宁省","抚顺市","抚顺市","位于红透山镇政府所在地，原小学所在地，其北侧为居民区，南侧废弃地，东侧为山体，西侧为一条河流。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bae0e85a-b95e-4f2a-9dfb-228fc799a07d",0.000000,0.000000,41.863880,123.888920,0
"2104232013B00076","c1c92699-8ad0-4367-91b8-3bf9df83a213","辽宁省","抚顺市","抚顺市","清原县清原镇镇西村，其南侧为山体，北侧为耕地，东侧为村民居住地，西侧为清原县园林管理处苗圃基地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c1c92699-8ad0-4367-91b8-3bf9df83a213",0.000000,0.000000,42.089920,124.899680,0
