electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"5303002018B00306","9110f9d5-19c8-4e36-8cd3-74835be40134","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）环北路以南，教苑路以北，学府路以西，靖阳路以东。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9110f9d5-19c8-4e36-8cd3-74835be40134",0.000000,0.000000,25.532938,103.745256,0
"5303262018B00041","7a9fc978-f9df-4eb3-a90d-88e57976e963","云南省","曲靖市","曲靖市","会泽县待补镇仓房村赵家村第三村民小组、野马林场、仓房村毡帽坡第四村民小组、野马村纸厂第十三村民小组;会泽县驾车乡大水村第四、五村民小组","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7a9fc978-f9df-4eb3-a90d-88e57976e963",0.000000,0.000000,26.091216,103.321600,0
"5303002015A00050","726d758f-0049-4933-a199-610454cb9722","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）南海大道东侧，曲靖市看守所以北，曲靖市消防支队以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=726d758f-0049-4933-a199-610454cb9722",0.000000,0.000000,25.487436,103.804312,0
"5303002014B00498","6c86f57d-042f-4651-9291-a5ed01a94b4f","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）翠和路以东，白石江以南，三元路以西，迎霞路以北。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6c86f57d-042f-4651-9291-a5ed01a94b4f",0.000000,0.000000,25.535604,103.747432,0
"5303002014B00337","82396234-cfb2-4814-992a-72849318f2cd","云南省","曲靖市","曲靖市","曲靖经济技术开发区（马龙县行政辖区）曲靖南海子工业园区九州大道以北，320国道以南。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=82396234-cfb2-4814-992a-72849318f2cd",0.000000,0.000000,25.386090,103.414432,0
"5303262017B00118","e7dc7569-2b15-40aa-b3d7-76025d61447a","云南省","曲靖市","曲靖市","会泽县宝云街道办事处长巧县以南、会泽县恒凯石化有限公司以西、1号路以北、会泽宏瑞生猪定点屠宰有限公司以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7dc7569-2b15-40aa-b3d7-76025d61447a",0.000000,0.000000,26.414820,103.304592,0
"5303262017B00120","18fc998c-97d2-4723-825c-d35d43c36990","云南省","曲靖市","曲靖市","会泽县宝云街道办事处长巧县以南、会泽县恒凯石化有限公司以西、1号路以北、会泽宏瑞生猪定点屠宰有限公司以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18fc998c-97d2-4723-825c-d35d43c36990",0.000000,0.000000,26.414820,103.304592,0
"5303002016B00020","9f4f6bc1-3855-498b-ac61-e0188cf97537","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）翠峰街道办事处瑞和西路以南，学府路以西，朝阳路以北，曲靖师院以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9f4f6bc1-3855-498b-ac61-e0188cf97537",0.000000,0.000000,25.520182,103.756232,0
"5303002016B00037","33d46ad8-d90f-412d-bb9d-e528e29231d9","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）翠峰街道办事处瑞和西路以南，学府路以西，朝阳路以北，曲靖师院以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=33d46ad8-d90f-412d-bb9d-e528e29231d9",0.000000,0.000000,25.520182,103.756232,0
"5303262017B00090","b4fb382e-84ed-443f-bc90-f0dcda160227","云南省","曲靖市","曲靖市","会泽县宝云街道办事处长巧县以南、会泽县恒凯石化有限公司以西、1号路以北、会泽宏瑞生猪定点屠宰有限公司以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b4fb382e-84ed-443f-bc90-f0dcda160227",0.000000,0.000000,26.414820,103.304592,0
"5303002014B00546","d1cf3ccc-694b-47f0-91a0-14493ec1c813","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）三元路以东，翠峰西路以南，宁州路以西，白石江以北。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d1cf3ccc-694b-47f0-91a0-14493ec1c813",0.000000,0.000000,25.512826,103.755200,0
"5303262017B00100","26179ca1-3736-4c19-8406-31674469a20b","云南省","曲靖市","曲靖市","会泽县宝云街道办事处长巧县以南、会泽县恒凯石化有限公司以西、1号路以北、会泽宏瑞生猪定点屠宰有限公司以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=26179ca1-3736-4c19-8406-31674469a20b",0.000000,0.000000,26.414820,103.304592,0
"5303002018B00312","9db7fd16-13c5-4730-ad55-fa5df031862f","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）环北路以南，教苑路以北，学府路以西，靖阳路以东。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9db7fd16-13c5-4730-ad55-fa5df031862f",0.000000,0.000000,25.532938,103.745256,0
"5303002016A00188","dc154b4e-163b-4989-9c92-13d754f3ce5a","云南省","曲靖市","曲靖市","北侧紧邻青龙社区11、12小组回迁房，东侧临近纵四路，西侧为金麟湾、南侧为碧桂园规划用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dc154b4e-163b-4989-9c92-13d754f3ce5a",0.000000,0.000000,25.523318,103.793216,0
"5303002016B00018","f321f4c4-a1a3-4157-a28f-a0b1a6c09ef0","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）翠峰街道办事处瑞和西路以南，学府路以西，朝阳路以北，曲靖师院以东。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f321f4c4-a1a3-4157-a28f-a0b1a6c09ef0",0.000000,0.000000,25.520182,103.756232,0
"5303002014B00557","58b2d7df-5514-4aff-9d12-a48e6e9baccc","云南省","曲靖市","曲靖市","曲靖经济技术开发区（麒麟区辖区）翠和路以东，翠峰西路以南，三元路以西，白石江以北。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=58b2d7df-5514-4aff-9d12-a48e6e9baccc",0.000000,0.000000,25.512826,103.755200,0
