electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"1406232013B00194","298fbec2-f60b-4927-ac2b-0f161997ec92","山西省","朔州市","朔州市","位于新城镇上堡村东侧，玉林东街北侧，东至2013-16-2号宗地，西至路，南至路，北至空地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=298fbec2-f60b-4927-ac2b-0f161997ec92",0.000000,0.000000,39.990652,112.475688,0
"1406212017B00119","5ba2a9ea-0484-456d-b723-8231054f2a32","山西省","朔州市","朔州市","合盛堡工作园区内东西主干道南侧；荣乌高速路北拟规划阳光路北侧；河阳大道北延线东侧；山阴县锦晔清洁能源有限公司西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5ba2a9ea-0484-456d-b723-8231054f2a32",0.000000,0.000000,39.530436,112.846816,0
"1406212011B00037","f649ec94-d8da-450d-9cb0-da651962828a","山西省","朔州市","朔州市","山阴县铁路变电站南侧、沥青油库北侧、同太路东侧、土牛沟西侧，洪涛街东西穿过木材公司原址。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f649ec94-d8da-450d-9cb0-da651962828a",0.000000,0.000000,39.531500,112.829568,0
"1406212015B00325","e07ed877-ebda-4db0-aa70-a44b432280de","山西省","朔州市","朔州市","山阴县佳联奶业公司养殖园区南侧，洗朔线北侧，山阴县公路管理段山阴城道班东侧，虎山线西侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e07ed877-ebda-4db0-aa70-a44b432280de",0.000000,0.000000,39.633768,112.661568,0
"1406212018B00156","c65423f2-90d4-4f7c-b3a8-98b3352b8255","山西省","朔州市","朔州市","位于青年西路南十九万楼南侧；山阴县公安局、山阴县国土资源局北墙规划道路北侧；同太路东侧；竣马路西侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c65423f2-90d4-4f7c-b3a8-98b3352b8255",0.000000,0.000000,39.522220,112.809984,0
"1406212012B00629","cd8d8247-37e7-4f3b-b211-7c6d8cad433c","山西省","朔州市","朔州市","山阴县古城镇古城村，虎山线牌楼西侧，古城镇环城西路东侧，蔚朔线南侧，古城镇政府北侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cd8d8247-37e7-4f3b-b211-7c6d8cad433c",0.000000,0.000000,39.489300,112.880112,0
"1406232013B00095","8baa438c-6c13-4972-b823-5a2c9b6501c5","山西省","朔州市","朔州市","位于右玉县县城南部，高家堡风电场一期工程北侧，北起庄窝坡北侧，南至刘虎狮村，东至布家村，西至右玉县与平鲁区交界处的区域范围内。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8baa438c-6c13-4972-b823-5a2c9b6501c5",0.000000,0.000000,39.776620,112.420800,0
"1406212018B00089","578f6e62-96b1-4674-a4b0-d4023926b8e4","山西省","朔州市","朔州市","山阴石星化工厂西南；天宇彩钢厂北侧；山西辈辈龙蔬菜食品公司东206省道东侧；208国道西侧，宝琛实业西北部。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=578f6e62-96b1-4674-a4b0-d4023926b8e4",0.000000,0.000000,39.528452,112.817240,0
"1406212018B00230","609b517d-ff8a-4f1c-bed7-efdd12236932","山西省","朔州市","朔州市","位于荣乌高速路南侧；七里沟村北，改线206省道（大忻线）北侧；郭家窑村东北；荣乌高速路七里沟出口引线西侧。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=609b517d-ff8a-4f1c-bed7-efdd12236932",0.000000,0.000000,39.547348,112.798664,0
"1406232013B00325-1","0c517703-9730-4dce-a468-b59d1016cda9","山西省","朔州市","朔州市","位于虎山线西侧，玉林西街南侧。东至绿化带，西至小区，南至拟供2013-32号地，北至玉林西街","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0c517703-9730-4dce-a468-b59d1016cda9",0.000000,0.000000,39.633768,112.661568,0
