electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3301812011B05826","5e5447dd-200e-409b-9777-4267170d46ce","浙江省","杭州市","杭州市","河庄街道三联村：北至规划艮山东路，东至规划滨江一路，南至一工段横路，西至观十五线。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5e5447dd-200e-409b-9777-4267170d46ce",0.000000,0.000000,30.291888,120.241688,0
"3301812011B01865","4ccec8b5-d497-48d5-98ee-e778722d14e0","浙江省","杭州市","杭州市","临江工业园区经五路西侧：东至经五路、南至规划支路、西至道路拆迁安置房三期地块、北至纬六路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4ccec8b5-d497-48d5-98ee-e778722d14e0",0.000000,0.000000,30.279482,120.594368,0
"3301812011B00461","b14b3818-fe47-47b2-b08e-11f27babdbc8","浙江省","杭州市","杭州市","钱江世纪城B-07-01地块，西南至公园东路，东北至后解放河绿化带边线，西北至钱江二路，东南至B-07-02地块。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b14b3818-fe47-47b2-b08e-11f27babdbc8",0.000000,0.000000,30.267108,120.288184,0
"3301812011B06105-1","e125bc8f-33b3-4175-823d-8e4efe716511","浙江省","杭州市","杭州市","钱江世纪城B-02-01地块，西南至后解放河绿化带边线，西北至钱江二路，东北至规划支路，东南至B-02-02地块。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e125bc8f-33b3-4175-823d-8e4efe716511",0.000000,0.000000,30.267108,120.288184,0
"3301812011B00411-1","2f7b370e-f6c2-485d-9b0c-a39adb1d27b5","浙江省","杭州市","杭州市","钱江世纪城A-07（2）地块，东北临之江东路，东南临钱江二路，西南临规划道路，西北临A-07（1）地块。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2f7b370e-f6c2-485d-9b0c-a39adb1d27b5",0.000000,0.000000,30.267108,120.288184,0
"3301102016B00330","7487151c-5af5-4da9-84b3-6ae6f122d31c","浙江省","杭州市","杭州市","余杭经济开发区新丝路东侧、东湖卫生服务中心南侧地块；东至相邻土地，南至规划道路，西至相邻土地，北至相邻土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7487151c-5af5-4da9-84b3-6ae6f122d31c",0.000000,0.000000,30.452620,120.295608,0
"3301102012A02887","7ae3da0c-ab42-40f9-b54f-ed5cd6483fda","浙江省","杭州市","杭州市","塘栖镇唐家埭村、三星村、西河村、宏畔村、莫家桥村， 崇贤镇鸭兰村、北庄村、龙旋村、沾桥村、向阳村、沿山村、大安村、崇贤村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7ae3da0c-ab42-40f9-b54f-ed5cd6483fda",0.000000,0.000000,30.429590,120.076016,0
"3301102016B00217","b8b1dc5a-6a07-46bb-9bff-380086c8d452","浙江省","杭州市","杭州市","良渚街道立新东、康良路南商住地块；东至疏港路，南至新104国道，西至立新路，北至康良路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b8b1dc5a-6a07-46bb-9bff-380086c8d452",0.000000,0.000000,30.382014,120.042336,0
"3301102015B01548","c5b83648-d902-4589-98fb-3eba9cc863d6","浙江省","杭州市","杭州市","闲林街道华丰社区商住地块（2015-2）；东至华丰社区土地，南至华丰社区土地，西至华丰社区土地，北至华丰社区土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c5b83648-d902-4589-98fb-3eba9cc863d6",0.000000,0.000000,30.342838,120.196096,0
"3301002012B04644","b91b48e9-3dd6-4265-8c21-5894ca8c0909","浙江省","杭州市","杭州市","滨江区(江南单元BJ01-R21-12地块),东至滨文小学配套支路，南至滨文路，西至规划西浦路，北至规划支路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b91b48e9-3dd6-4265-8c21-5894ca8c0909",0.000000,0.000000,30.175716,120.170632,0
