electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"4503232018B00501","75b6320f-63a3-41ba-8154-fc9dc6acae0b","广西壮族","桂林市","桂林市","灵川县八里街工业园区G东路以南、道光河以东的N2-2A2地块，东邻N2-2A1地块，南邻N2-2A1地块，西邻规划河道，北邻规划道路（具体四至范围详见宗地图）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=75b6320f-63a3-41ba-8154-fc9dc6acae0b",0.000000,0.000000,25.362900,110.305152,0
"4503002012B01477","14f3d386-18a3-49aa-be1c-5a3f1b1415fc","广西壮族","桂林市","桂林市","叠彩区中山北路、驿前横里38号、复兴里46号、芦笛路17号；七星区七星路29栋；象山区瓦窑路、中山南路257号、凯风路、南环路98号；正阳门商场解放东路39号","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=14f3d386-18a3-49aa-be1c-5a3f1b1415fc",0.000000,0.000000,0.000000,0.000000,0
"4503002018B00768","8120b0e1-cb1f-481f-b22b-1d0b8d6ccbac","广西壮族","桂林市","桂林市","雁山区地块位于大埠乡、桂阳公路以东、小水河以西、园博大道以南；七星和平片区地块位于环城南一路以南，漓江以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8120b0e1-cb1f-481f-b22b-1d0b8d6ccbac",0.000000,0.000000,25.097200,110.273800,0
"4503232018B01194","6ca4a0b5-33c2-413b-803c-2255c2f0e59d","广西壮族","桂林市","桂林市","八里街工业园区八里七路与川东三路交叉口东北角的40#A1-1地块，东邻国有存量土地、南邻八里七路、西邻规划道路、北邻灵川镇粑粑厂村委金家村民小组（具体四至范围详见宗地图）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6ca4a0b5-33c2-413b-803c-2255c2f0e59d",0.000000,0.000000,25.362900,110.305152,0
"4503002018A00883","0248e4ea-4939-47fd-8763-7c29903b621b","广西壮族","桂林市","桂林市","桂林市环城西一路113号、桂林市象山区净瓶路7号、桂林市瓦窑西路、桂林市中山南路449号、桂林市象山区中山南路52号、桂林市翠竹路、桂林市叠彩区北辰路、桂林市环城北二路18号","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0248e4ea-4939-47fd-8763-7c29903b621b",0.000000,0.000000,25.237130,110.295016,0
"4503232018B01498","ff09f27c-a66d-43c5-a3e6-13606237bc80","广西壮族","桂林市","桂林市","灵川镇甘棠村委亭子头村民小组，东邻灵青东路，南邻桂兴高速路，西邻灵川镇甘棠村委会亭子头村，北邻灵川镇甘棠村委会亭子头村（具体四至范围详见宗地图）。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ff09f27c-a66d-43c5-a3e6-13606237bc80",0.000000,0.000000,25.403842,110.318896,0
"4503002018B00871","33fbde34-adf4-417c-92d4-239ac757ad54","广西壮族","桂林市","桂林市","象山区铁西46栋1-3号房、苗圃路16号1栋2-3-2号房、苗圃路16号2栋2-2-1号房、平山瓦窑电厂路10号（平山酒家综合楼）5-4号房、平山瓦窑电厂路10号（平山酒家综合楼）5-1号房、秀峰区篦子园小区52栋1-5-1号房","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=33fbde34-adf4-417c-92d4-239ac757ad54",0.000000,0.000000,25.225564,110.277744,0
"4503232018B00601","99c552e5-4e50-4d5b-b66c-c932aa18736b","广西壮族","桂林市","桂林市","灵川镇民治村委上寺田村民小组东邻民治村委会土地，南邻民治村委会土地，西邻道路，北邻民治村委会土地（具体四至范围详见宗地图）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=99c552e5-4e50-4d5b-b66c-c932aa18736b",0.000000,0.000000,25.998598,109.800304,0
"4503232017B01356","b449985f-4a4b-4dfa-95ed-c8a7699fa62a","广西壮族","桂林市","桂林市","八里街工业园机械装备制造园,南与定江镇粟家村委秦家庄村民小组土地相邻、西与大丰西下村村民小组土地相邻D10#E地块（具体四至范围详见宗地图）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b449985f-4a4b-4dfa-95ed-c8a7699fa62a",0.000000,0.000000,25.347680,110.301448,0
"4503002017B00295","5c35df39-feda-4f7b-b24e-af90b7d164cf","广西壮族","桂林市","桂林市","雁山区大埠乡集镇区内、桂阳公路以东、小水河以西、规划东园路以北；七星区环城南一路以南，规划穿山东路以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c35df39-feda-4f7b-b24e-af90b7d164cf",0.000000,0.000000,0.000000,0.000000,0
