electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3505002015B00194-1","92962f0e-e324-4565-861b-9391d805f472","福建省","泉州市","泉州市","泉州市开发区清濛园区西片区北邻崇宏街东邻庆泰路西邻规划九号路南至崇文街并与其他用地相邻","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=92962f0e-e324-4565-861b-9391d805f472",0.000000,0.000000,24.862632,118.538528,0
"3505002009B00195","d97f8424-dec8-4f3d-8409-b5c2b25d1885","福建省","泉州市","泉州市","南俊巷北拓工程一期用地位于泉州古城东北部。米仓巷危旧房改造工程用地位于泉州古城区开元办事处米仓巷和县后街一带。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d97f8424-dec8-4f3d-8409-b5c2b25d1885",0.000000,0.000000,24.917276,118.588848,0
"3505002018B00327-1","85213313-c2ab-46f5-b442-963dbd94a9b3","福建省","泉州市","泉州市","泉州市东海片区滨海总部区，东临沿海大通道，西临东海经二十路，用地南侧、北侧均为东海片区滨海总部区其他开发地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=85213313-c2ab-46f5-b442-963dbd94a9b3",0.000000,0.000000,24.866770,118.680552,0
"3505002012B00426-2","f062daf5-9e13-4d39-80f4-b522b6b093ae","福建省","泉州市","泉州市","东海片区总部经济区北侧，东海学园南侧，东临沿海大通道，西临经二十路，南临东海综合大道。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f062daf5-9e13-4d39-80f4-b522b6b093ae",0.000000,0.000000,24.869180,118.659304,0
"3505052018B00226","00ddb462-83a7-4f4b-95ff-24eb29c1453d","福建省","泉州市","泉州市","南山片区经六路东北侧福建省三锦化工有限公司项目用地西北侧泉州兴创建材有限公司项目用地西南侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=00ddb462-83a7-4f4b-95ff-24eb29c1453d",0.000000,0.000000,24.911880,118.616784,0
"3505002018B00150-1","8092ab51-311f-46e2-b1a3-18ba1cb3f53c","福建省","泉州市","泉州市","2009-3号地块位于泉州市鲤城区江南商贸（物流）中心项目规划区内、2009-4、5号地块位于江南街道锦美社区。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8092ab51-311f-46e2-b1a3-18ba1cb3f53c",0.000000,0.000000,24.898544,118.563408,0
"3505002010B00302-1","1ae510ad-678a-4475-9854-6356c81b4980","福建省","泉州市","泉州市","东海环泉州湾的滨水区域，西南侧临东海景观东路，西北侧临东海纬五路，东侧为东海征区滨海总部区地块三其他开发地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1ae510ad-678a-4475-9854-6356c81b4980",0.000000,0.000000,25.075228,118.202784,0
"3505002010B00235-4","3767f7b7-3fbf-4684-b5bc-8b2a6cc644b1","福建省","泉州市","泉州市","泉州市东海片区滨海总部区，东临沿海大通道，西临东海经二十路，用地南侧、北侧均为东海片区滨海总部区其他开发地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3767f7b7-3fbf-4684-b5bc-8b2a6cc644b1",0.000000,0.000000,24.866770,118.680552,0
"3505002013B00365-1","d13b8387-6f2f-46a1-ab01-e4622fcecd02","福建省","泉州市","泉州市","东海片区总部经济区北侧，东海学园南侧，东临沿海大通道，西临经二十路，南临东海综合大道。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d13b8387-6f2f-46a1-ab01-e4622fcecd02",0.000000,0.000000,24.869180,118.659304,0
"3505212015A00230","95ffad71-f3b4-4e68-9cfa-121c1ce02602","福建省","泉州市","泉州市","紫山镇官溪村、尾山村、紫山村、龙石村、顶赤涂村，黄塘镇下茂村、松溪村、下坂村、苏塘村、尾园村、后店村、埔兜村，洛阳镇陈埭头村、云庄村、下星村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=95ffad71-f3b4-4e68-9cfa-121c1ce02602",0.000000,0.000000,24.981666,118.678248,0
