electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6328022017B00383","a65de9cf-07a7-4112-a096-998085634c9a","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","环城西路以东，东至青海藏地生物科技有限公司，南至规划道路，西至环城西路，北至民乐西路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a65de9cf-07a7-4112-a096-998085634c9a",0.000000,0.000000,37.335548,97.349064,0
"6328002018B00194","304ac937-dab6-4430-b190-83a370f87301","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","大柴旦行委柴旦镇黎明假日宾馆对面（东至：大华街、南至：电信公司、西至：空地、北至：建设路）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=304ac937-dab6-4430-b190-83a370f87301",0.000000,0.000000,36.384820,94.929624,0
"6328022018B00254","0c5ebb16-a40e-4c27-a336-139a6dbc1de7","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","综合产业园区，东临环城东路，南至海西冰峰矿泉水开发有限公司，西至青海柴达木开发建设投资有限公司，北临纬五路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0c5ebb16-a40e-4c27-a336-139a6dbc1de7",0.000000,0.000000,37.316540,97.388768,0
"6328022018B00373","987f841d-7ab5-4e74-9868-259233b1ed28","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","经一路五段以南，东临环城西路，南至柯柯路，西至经二东路，北临经一路五段","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=987f841d-7ab5-4e74-9868-259233b1ed28",0.000000,0.000000,37.335160,97.340656,0
"6328012015B00110","49c32aea-ec2a-4361-9134-b0cca5dae308","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","109国道以东、青藏铁路以西、曲麻莱游牧民定居点以东、距南出口收费站约400米处","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=49c32aea-ec2a-4361-9134-b0cca5dae308",0.000000,0.000000,36.368936,94.855936,0
"6328022018A00290","e69432c3-2948-4bcd-b680-f014f086baf3","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","和谐小区以北，东至和谐小区主干道，南至海西州残联康复中心项目用地，西临尕海灌渠，北至空地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e69432c3-2948-4bcd-b680-f014f086baf3",0.000000,0.000000,36.409612,94.877864,0
"6328022018A00332","72679d5d-5ba8-44fc-893b-ed69bd008999","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","规划创永路以南，东至空地、南至空地、西至德令哈市第三中学、北至规划创永路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=72679d5d-5ba8-44fc-893b-ed69bd008999",0.000000,0.000000,37.376420,97.368800,0
"6328022018A00325","61b6aefe-0212-4581-b8d5-633c4ebe021a","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","蓄集乡规划广场南侧，东至拟建德令哈市公安局柯鲁柯派出所项目用地，南至道路，西至拆迁区，北至蓄集乡规划广场","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=61b6aefe-0212-4581-b8d5-633c4ebe021a",0.000000,0.000000,37.315428,97.209320,0
"6328022018A00340","657f5452-2b2f-4fe3-ade5-00597c32f0e2","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","黄河路以西，东至黄河路、南至海西州建设监测试验有限公司和紫瑞小区、西至道路、北至道路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=657f5452-2b2f-4fe3-ade5-00597c32f0e2",0.000000,0.000000,37.369868,97.374336,0
"6328022018B00238","3b89ecc8-2bc3-47e5-a877-c2c899cef623","青海省","海西蒙古族藏族自治州","海西蒙古族藏族自治州","综合产业园区,东临经一路北段、南至空地、西至西部镁业有限公司、北临纬七路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3b89ecc8-2bc3-47e5-a877-c2c899cef623",0.000000,0.000000,37.301988,97.387768,0
