electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3303282014A00344","1233ba9d-5597-4c48-852c-81f23e0437a3","浙江省","温州市","温州市","文成县大峃镇（下徐村、上徐村、大会岭脚村、吴样村、花园村、横山村、过山村、村头村、中堡村）、百丈漈镇（新亭村、下石庄村、上石庄村、同垟村、长塘村、西里村、西段村、镇头村、湖底村、驮田村、二源村）、南田镇（三甲村、高村民族村、五源村、新南村、新岳村、九都村、南田村）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1233ba9d-5597-4c48-852c-81f23e0437a3",0.000000,0.000000,27.883258,119.983944,0
"3303812016B09502-1","9ab151ea-9075-4a2d-9c46-b3165f531d38","浙江省","温州市","温州市","安阳街道西垟村旧村改造和安置留地地块，瑞祥新区，瑞莘路以北，卓敬路以西，控规为06-22、06-23地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9ab151ea-9075-4a2d-9c46-b3165f531d38",0.000000,0.000000,27.790698,120.659568,0
"3303242009B00566","734aaf7b-cb02-442c-8d68-e0a62628824c","浙江省","温州市","温州市","瓯北镇千石村、雅林村，东临为规划金田路，南临为水田，西临永嘉县立信阀门有限公司，北临为道路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=734aaf7b-cb02-442c-8d68-e0a62628824c",0.000000,0.000000,28.073456,120.690536,0
"3303242010B00276","19e3cd35-c670-4eb9-b8ee-3db315563792","浙江省","温州市","温州市","永嘉县乌牛镇祥池村新安路的北侧，电力路的南侧，仁溪东路的东侧，祥池小学用地的西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=19e3cd35-c670-4eb9-b8ee-3db315563792",0.000000,0.000000,28.077444,120.805152,0
"3303032017B09038","ff1ba758-a302-4865-a7b5-804d9e2cee41","浙江省","温州市","温州市","温州市永强北片区龙水单元YB-04-J-08a地块(温州浙南科技城(龙湾区永中街道新联、横浃村)","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ff1ba758-a302-4865-a7b5-804d9e2cee41",0.000000,0.000000,27.969310,120.722512,0
"3303002018A00254","63202e26-ea4d-4304-8b6f-b3ba97ea0dc9","浙江省","温州市","温州市","温州经济技术开发区滨海园区海桐路(滨海十三路～滨海十五路)、滨海十四路(海桐路～滨海六道)","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=63202e26-ea4d-4304-8b6f-b3ba97ea0dc9",0.000000,0.000000,27.841534,120.805896,0
"3303002013B34235","27f49593-75b1-423f-8b25-9f814d72a26d","浙江省","温州市","温州市","温州经济技术开发区滨海园区C-505-d-6地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=27f49593-75b1-423f-8b25-9f814d72a26d",0.000000,0.000000,0.000000,0.000000,0
"3303292018B00156","17c6c6c2-a2e6-4ad0-b66d-d74a01309a9c","浙江省","温州市","温州市","泰顺县泗溪镇白粉墙村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17c6c6c2-a2e6-4ad0-b66d-d74a01309a9c",0.000000,0.000000,0.000000,0.000000,0
"3303002011B00054","5ccac287-b7cf-4fdd-a9f5-6c59d941c425","浙江省","温州市","温州市","龙湾城市中心区G-10地快","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5ccac287-b7cf-4fdd-a9f5-6c59d941c425",0.000000,0.000000,0.000000,0.000000,0
"3303812012B05507","880ee9d4-6dd2-4920-9128-c702997f3d38","浙江省","温州市","温州市","马屿镇五甲村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=880ee9d4-6dd2-4920-9128-c702997f3d38",0.000000,0.000000,0.000000,0.000000,0
"3303242011A01445","4c2a6fa3-99ad-4b38-89a5-c6d643c86ca7","浙江省","温州市","温州市","桥头镇石马岙、朱涂、新浦村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4c2a6fa3-99ad-4b38-89a5-c6d643c86ca7",0.000000,0.000000,0.000000,0.000000,0
"3303282012B00557","b546382f-0c6c-4239-ae46-6659f62964af","浙江省","温州市","温州市","文成县大峃镇珊门村龙前山","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b546382f-0c6c-4239-ae46-6659f62964af",0.000000,0.000000,0.000000,0.000000,0
"3303002012B33761","347eacc6-95a5-4b5a-89c3-4d5687a15288","浙江省","温州市","温州市","航标路仓储基地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=347eacc6-95a5-4b5a-89c3-4d5687a15288",0.000000,0.000000,0.000000,0.000000,0
"3303042011B01284","0b4d2722-1616-43a2-89e0-286ec0c2f786","浙江省","温州市","温州市","郭溪街道浦西村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0b4d2722-1616-43a2-89e0-286ec0c2f786",0.000000,0.000000,0.000000,0.000000,0
"3303042011B01090","bd646540-212c-41a0-a7c6-adfe510e277e","浙江省","温州市","温州市","郭溪街道浦西村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd646540-212c-41a0-a7c6-adfe510e277e",0.000000,0.000000,0.000000,0.000000,0
"3303242012A03145","1b9ec6d2-9db6-4b9f-b392-90bdca7aaa1e","浙江省","温州市","温州市","岩头镇五上、五下村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1b9ec6d2-9db6-4b9f-b392-90bdca7aaa1e",0.000000,0.000000,0.000000,0.000000,0
"3303282011B00087","aaa554f8-1ee2-4f6d-8efd-94dbda1179c5","浙江省","温州市","温州市","文成县西坑镇前路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aaa554f8-1ee2-4f6d-8efd-94dbda1179c5",0.000000,0.000000,0.000000,0.000000,0
"3303242010A00230","8b7897a8-91ec-447a-a337-cc12ded7c869","浙江省","温州市","温州市","上塘镇峙口村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8b7897a8-91ec-447a-a337-cc12ded7c869",0.000000,0.000000,0.000000,0.000000,0
"3303002010B31875","8f1ded4c-7e89-4f24-8c8c-da0db4ba9fb5","浙江省","温州市","温州市","温州经济技术开发区丁山垦区D09a-3号小区地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8f1ded4c-7e89-4f24-8c8c-da0db4ba9fb5",0.000000,0.000000,0.000000,0.000000,0
"3303812010A00857","0268c2d0-fdfd-4ee2-9771-2aa4a765c06b","浙江省","温州市","温州市","莘塍镇下沙塘村、红星村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0268c2d0-fdfd-4ee2-9771-2aa4a765c06b",0.000000,0.000000,0.000000,0.000000,0
"3303222015B01586-1","3082149e-afff-44c7-a322-c43f85a569bb","浙江省","温州市","温州市","洞头县杨文三期A5地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3082149e-afff-44c7-a322-c43f85a569bb",0.000000,0.000000,0.000000,0.000000,0
"3303812009B00357","690dee26-741c-43e7-b9dd-3bebb591c3f9","浙江省","温州市","温州市","经济开发区飞云新区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=690dee26-741c-43e7-b9dd-3bebb591c3f9",0.000000,0.000000,0.000000,0.000000,0
"3303272009A04007","cb66fc2d-6806-4e05-9805-32f2698894c5","浙江省","温州市","温州市","灵溪镇大浃头村，工程北起河滨东路，南至玉灵路路段","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cb66fc2d-6806-4e05-9805-32f2698894c5",0.000000,0.000000,0.000000,0.000000,0
"3303272018A00235","81fe9f60-e98c-4c2c-9fbc-a49a47e565c8","浙江省","温州市","温州市","龙港镇通港路以东、沿江大道以南、江浦路以西、龙翔南路以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=81fe9f60-e98c-4c2c-9fbc-a49a47e565c8",0.000000,0.000000,0.000000,0.000000,0
"3303272012A00450","c28de8d4-6be9-4101-b26c-f2ff14e779d5","浙江省","温州市","温州市","宜山镇谢垟底村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c28de8d4-6be9-4101-b26c-f2ff14e779d5",0.000000,0.000000,0.000000,0.000000,0
