electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3707032016B09636","fe37c4af-c1fd-40ec-916f-1e1f8604bd22","山东省","潍坊市","潍坊市","潍坊滨海经济技术开发区潍坊欢乐海投资有限公司以东、潍坊滨海新城开发建设有限公司以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fe37c4af-c1fd-40ec-916f-1e1f8604bd22",0.000000,0.000000,36.712400,119.166584,0
"3707812017B02664","1a7f5395-3539-40c0-9b59-34ef43e1c0f2","山东省","潍坊市","潍坊市","衡王府北路与北海路交叉口西北侧，东至规划衡王府北路，西至蒋七中心街，南至规划北海路，北至明祖山路南侧沿街建筑。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1a7f5395-3539-40c0-9b59-34ef43e1c0f2",0.000000,0.000000,36.694772,118.469592,0
"3707242016B00945","82d3114b-9ff1-42d8-a438-9c59fc944a05","山东省","潍坊市","潍坊市","城关街道，骈邑路交规划粟山路东北侧，东西向区间路以南。地块北侧为鲁艺红木家具有限公司土地，东侧为太平村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=82d3114b-9ff1-42d8-a438-9c59fc944a05",0.000000,0.000000,36.530268,118.546960,0
"3707242013B00344","f096f50f-bdbc-422b-b34d-d69a4c1d0e22","山东省","潍坊市","潍坊市","东城街道西竹寺沟村以东，南二环路西段南侧，东、南均邻政府储备土地，西侧为小北店村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f096f50f-bdbc-422b-b34d-d69a4c1d0e22",0.000000,0.000000,36.459992,118.564992,0
"3707242016B01085","12874c7a-f09f-4b2e-a46d-6a4cb8869a8a","山东省","潍坊市","潍坊市","东城街道，骈邑路交朐阳路东北侧，南北向区间路以东，地块北侧为临朐县军队退休干部养老院土地，东侧、南侧为朐山公园管理所土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=12874c7a-f09f-4b2e-a46d-6a4cb8869a8a",0.000000,0.000000,36.506480,118.594096,0
"3707242015B01122","8f061b21-5610-48e7-a65c-b5f86b77f97f","山东省","潍坊市","潍坊市","辛寨镇址，工业路以东，北临万宝路，南临星冠路，地块西侧为辛中村村民委员会土地和潍坊华海制冷净化设备有限公司用地，东侧为辛中村村民委员会土地和王家西圈村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8f061b21-5610-48e7-a65c-b5f86b77f97f",0.000000,0.000000,36.888472,119.380616,0
"3707242013B01157","5028e142-6c4c-412c-aae0-3235eb321cee","山东省","潍坊市","潍坊市","西临东镇路，东临冶源水利东干渠和大张家庄社区居民委员会土地，南侧为大张家庄社区居民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5028e142-6c4c-412c-aae0-3235eb321cee",0.000000,0.000000,36.863000,118.717696,0
"3707242015B01117","687295f8-5996-4000-b1cc-498dbba39bca","山东省","潍坊市","潍坊市","辛寨镇址，工业路以东，北临万宝路，南临星冠路，地块西侧为辛中村村民委员会土地和潍坊华海制冷净化设备有限公司用地，东侧为辛中村村民委员会土地和王家西圈村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=687295f8-5996-4000-b1cc-498dbba39bca",0.000000,0.000000,36.888472,119.380616,0
"3707822014A09495","948a99ee-a7c0-4c6d-9307-30f7f42c6a79","山东省","潍坊市","潍坊市","诸城市桃林镇漩沟子村、岳戈庄村、合乐子村、皇庄本、张家小庄村、下曹家沟村、下刘家沟村、南杨家庄子","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=948a99ee-a7c0-4c6d-9307-30f7f42c6a79",0.000000,0.000000,35.787488,119.573176,0
"3707812013B03623","9f687511-d0b1-4286-803c-cefc26b7fd75","山东省","潍坊市","潍坊市","王坟镇涝洼村西，东至金潮来食品厂，西至生产路，南至涝洼村农田，北至GU6乡道，原为王坟镇涝洼村农村宅基地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9f687511-d0b1-4286-803c-cefc26b7fd75",0.000000,0.000000,36.661712,118.478288,0
"3707242013B00996","d49a608a-8f79-495b-abb5-2d0d3000c2f5","山东省","潍坊市","潍坊市","兴蔡路以东，东外环路以西，北侧为冶源水库东干渠，南侧为东城街道刘迪家沟村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d49a608a-8f79-495b-abb5-2d0d3000c2f5",0.000000,0.000000,36.756088,119.235296,0
"3707812014B07550","2f3b38a8-77c3-434e-84b3-7361e20fc1f8","山东省","潍坊市","潍坊市","港天保税物流园北侧，西临羊临路公路，东起羊临铁路，南至王木匠村北，北至李家集村南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2f3b38a8-77c3-434e-84b3-7361e20fc1f8",0.000000,0.000000,36.757444,118.574896,0
"3707242018B01605","a0d3a80a-1916-470a-a9d9-ad53032525a7","山东省","潍坊市","潍坊市","辛寨镇区，辛林路南首东侧，地块北侧为辛寨村民委员会土地，东侧、南侧均为张龙村村民委员会土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a0d3a80a-1916-470a-a9d9-ad53032525a7",0.000000,0.000000,36.383664,118.618528,0
"3707242018B01567","9d2a2507-69fb-4a75-9bbc-232dc4ba4038","山东省","潍坊市","潍坊市","冶源镇区，腊山西路交龙岗路东南侧。地块南侧为国有储备土地，东侧为潍坊凝易固新型建材有限公司用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9d2a2507-69fb-4a75-9bbc-232dc4ba4038",0.000000,0.000000,36.410048,118.487240,0
"3707242013B00351","1d414d13-355c-429f-8fa0-cfb5f2f2e5f8","山东省","潍坊市","潍坊市","龙岗镇址，南邻尧山路（规划中称为工业路），北邻潍坊金泉金属制品有限公司，东、西为王家寨子村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1d414d13-355c-429f-8fa0-cfb5f2f2e5f8",0.000000,0.000000,36.559248,118.694784,0
"3707242013B00855","d6fac33e-4bf0-451d-998e-0a3cac612343","山东省","潍坊市","潍坊市","北临朐阳路，西侧、南侧均为齐家庙社区居民委员会、丛家庄村村民委员会土地，东侧为齐家庙社区居民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d6fac33e-4bf0-451d-998e-0a3cac612343",0.000000,0.000000,36.447260,119.217232,0
"3707242016B00392","85e16184-2618-4b34-a117-ac30f57c39e1","山东省","潍坊市","潍坊市","北临兴隆东路，南临朐山路，东临东外环路，西侧为吉林村村民委员会和南相家楼村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=85e16184-2618-4b34-a117-ac30f57c39e1",0.000000,0.000000,36.710352,119.212792,0
"3707242016B00229","a2b213eb-d980-46d7-8e9f-32c36fa1adbb","山东省","潍坊市","潍坊市","城关街道，骈邑路北段西侧，北环路以北，地块北侧、西侧、南侧均为南亭子村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a2b213eb-d980-46d7-8e9f-32c36fa1adbb",0.000000,0.000000,36.552708,118.552768,0
"3707242016B01229","30c51f4b-2df3-4095-87bc-3271afbe5752","山东省","潍坊市","潍坊市","城关街道，站前路交弥河路东北侧，东西向区间路以南，南北向区间路以西，地块北侧为后楼村土地，地块东侧为三友房地产开发有限公司土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=30c51f4b-2df3-4095-87bc-3271afbe5752",0.000000,0.000000,36.775780,119.259792,0
"3707242012B01608","e7fa912c-95a7-404f-9a32-878691005045","山东省","潍坊市","潍坊市","弥河路南侧，区间路西侧，东侧为临朐县建筑勘察设计院、临朐县助剂厂、西坦水电站，南侧为西坦村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7fa912c-95a7-404f-9a32-878691005045",0.000000,0.000000,36.522412,118.541000,0
"3707812018B00847","3c29f27a-2d46-4529-a5f4-04d0b01163c0","山东省","潍坊市","潍坊市","高柳镇阳河工业园，东侧为西八户地、南侧为晨盛沥青厂区及西八户村地、北侧为工业一路，西至马氏路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3c29f27a-2d46-4529-a5f4-04d0b01163c0",0.000000,0.000000,36.923732,118.532208,0
"3707242016B00525","9338f055-0642-4504-831a-72bf9121dfe3","山东省","潍坊市","潍坊市","城关街道，龙泉路交朐山路东南侧，区间路以北，地块北侧为南关村村民委员会土地和三里庄村村民委员会土地，南侧和西侧为三里庄村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9338f055-0642-4504-831a-72bf9121dfe3",0.000000,0.000000,36.709012,118.727056,0
"3707242017B01076","91837863-0483-4d7a-a49e-5938828f095a","山东省","潍坊市","潍坊市","辛寨镇区，星冠路以南，景阳河以西，地块西侧为程永生土地，南侧为辛寨村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=91837863-0483-4d7a-a49e-5938828f095a",0.000000,0.000000,36.383664,118.618528,0
"3707032016B09994","9750ce10-a62e-4bc6-92de-01cc44f643ea","山东省","潍坊市","潍坊市","潍坊滨海经济技术开发区潍坊滨海新城开发建设有限公司以东、潍坊滨海新城开发建设有限公司以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9750ce10-a62e-4bc6-92de-01cc44f643ea",0.000000,0.000000,36.712400,119.166584,0
"3707242017B01041","1070b9e4-7d30-456e-bfd8-6d3392e96f9b","山东省","潍坊市","潍坊市","城关街道，石门路交规划黄山路西南侧，西环路以东，地块南侧为山东华艺雕塑艺术有限公司土地和潍坊盈珂海洋生物材料有限公司土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1070b9e4-7d30-456e-bfd8-6d3392e96f9b",0.000000,0.000000,36.711640,119.110656,0
"3707812014B06954","dd13f9b2-a7ea-4a58-b7de-39e9f063bc0b","山东省","潍坊市","潍坊市","青州市范公亭西路1775号，原蚕厂北部区域，西至市府东巷，北至南阳河，东至青州宾馆，南至省丝绸公司。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dd13f9b2-a7ea-4a58-b7de-39e9f063bc0b",0.000000,0.000000,36.685792,118.476832,0
"3707242017B01034","5f96ad8c-7455-48cf-8550-0dac8affc4fa","山东省","潍坊市","潍坊市","辛寨镇区，冶伦路中段北侧，盛建路以西，地块西侧、东侧、北侧均为谢家营村村民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5f96ad8c-7455-48cf-8550-0dac8affc4fa",0.000000,0.000000,36.346696,119.185672,0
"3707242018B01826","c234604d-c93a-450f-9458-35c45405ae44","山东省","潍坊市","潍坊市","东城街道，东阳路交沂山路东南侧。地块北侧、南侧均为齐家庙社区与营子社区居民委员会土地，地块东侧为营子社区居民委员会土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c234604d-c93a-450f-9458-35c45405ae44",0.000000,0.000000,36.506480,118.594096,0
"3707242012B01765","7847c925-1530-4a7c-a94b-96d2dbbef849","山东省","潍坊市","潍坊市","城关街道岩头村东，南环路西段南侧，西邻山东临朐轨枕有限公司混凝土搅拌站，东临志永机电科技有限公司，南为潍坊乾成石油机械有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7847c925-1530-4a7c-a94b-96d2dbbef849",0.000000,0.000000,36.487968,118.496336,0
"3707242016B00601","f14b73b7-f73a-4f5a-953a-620285b08d8d","山东省","潍坊市","潍坊市","九山镇区，泰薛路交向阳路西北侧，地块北侧为岸头村村民委员会土地，地块西侧为政府储备土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f14b73b7-f73a-4f5a-953a-620285b08d8d",0.000000,0.000000,36.184696,118.475240,0
"3707812015B05624","ef571bb1-f868-4d20-8d6a-3355222bb873","山东省","潍坊市","潍坊市","云河路东侧，东至云门山街道北李家社区，西至涝洼社区，南至涝洼社区及山东泰丰城建发展集团有限公司，北至涝洼社区及北李家社区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ef571bb1-f868-4d20-8d6a-3355222bb873",0.000000,0.000000,36.690232,118.444504,0
