electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6204002012B00605-2","1c931d22-ad4e-4587-9f53-7e03c51d89b5","甘肃省","白银市","白银市","白银区中小企业创业基地，四至范围：东至荒山、南至银珠集团制造基地、西至创业二号路、北至甘肃信利生稀土新材料有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1c931d22-ad4e-4587-9f53-7e03c51d89b5",0.000000,0.000000,36.516192,104.101440,0
"6204002011B00839-1","eeda7b04-7896-4a0b-8c39-baae8f3c791f","甘肃省","白银市","白银市","甘肃白银高新技术产业园区范围内，东至空地、南至白银天诚康伟耐磨复合材料有限公司、西至甘肃银泰化工有限公司、北至空地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eeda7b04-7896-4a0b-8c39-baae8f3c791f",0.000000,0.000000,36.726380,104.781608,0
"6204002012B00528-1","47d3d6cd-f52f-4079-9a50-5ce1b296a3d8","甘肃省","白银市","白银市","白银市白银区气象路以东，四至范围为：东至甘肃铜城房地产开发有限公司、南至规划道路、西至白银区气象路、北至甘肃铜城房地产开发有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=47d3d6cd-f52f-4079-9a50-5ce1b296a3d8",0.000000,0.000000,36.542500,104.166368,0
"6204002015B00207","8d0cc206-2490-4055-87e4-9847551c030e","甘肃省","白银市","白银市","平川区长征东路2012014号土地，东至大水头路口、南至大水头沙河、西至金皇冠酒店、北至平川区长征东路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8d0cc206-2490-4055-87e4-9847551c030e",0.000000,0.000000,36.726740,104.826632,0
"6204002011B01509","5c133260-599e-4c1a-8fdb-f4ee11eda834","甘肃省","白银市","白银市","平川区王家山镇玩庙村庙台路南侧，四至范围：冬至煤场、南至道路、西至王家山镇政府、北至耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c133260-599e-4c1a-8fdb-f4ee11eda834",0.000000,0.000000,36.915472,104.801328,0
"6204002011B01068","27a1a740-1108-49a3-a712-6bc1dc30bb41","甘肃省","白银市","白银市","平川区建设路北侧，四至范围：东至空地，南至建设路、西区中区2号路（兴陶路）、北至平川区瑞余车辆检测中心","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=27a1a740-1108-49a3-a712-6bc1dc30bb41",0.000000,0.000000,36.731288,104.791496,0
"6204002011B01595","20bfcf52-3fa7-4084-91f0-d7920998b7ad","甘肃省","白银市","白银市","白银区北京路以南（华谊大酒店对面），四至范围为：东至白银国芳置业有限公司、南至容和小区、西至容和小区、北至北京路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=20bfcf52-3fa7-4084-91f0-d7920998b7ad",0.000000,0.000000,36.544948,104.141192,0
"6204002014B01268","ff5f7f78-5616-41c9-92bc-adff923a6e7d","甘肃省","白银市","白银市","银西工业园，东至盛年商贸公司，南至舰升汽车公司，西至金色威龙汽车公司，北至主三路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ff5f7f78-5616-41c9-92bc-adff923a6e7d",0.000000,0.000000,36.511080,104.112544,0
"6204002012B01150","7fce2187-1226-4596-8a77-cb670d3c069c","甘肃省","白银市","白银市","东至白银区五一街、南至白银市市场建设服务处、西至白银区盐业有限责任公司、北至白银区供销联合社","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7fce2187-1226-4596-8a77-cb670d3c069c",0.000000,0.000000,36.546088,104.167488,0
"6204002012B00185","3a298639-f9fd-43a2-aa7d-63a9cc8ef97a","甘肃省","白银市","白银市","白银区四龙路以北，四至范围：冬至通道、南至四龙路、西至康乐街、北至二十一冶建设有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3a298639-f9fd-43a2-aa7d-63a9cc8ef97a",0.000000,0.000000,36.550020,104.171304,0
