electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"5114002015B00607","289ddca3-e78f-48ea-ba96-8e942e3df22f","四川省","眉山市","眉山市","该宗地位于金象化工产业园区，东临金象复合肥；南临铁路专用线；西临规划道路；北临年年丰。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=289ddca3-e78f-48ea-ba96-8e942e3df22f",0.000000,0.000000,30.057720,103.784416,0
"5114002016B00140","33a1624d-ec10-43a2-aed1-2452df0e6567","四川省","眉山市","眉山市","该地块位于岷东新区，东临蟆颐村5、7组，南临蟆颐村7组，西临蟆颐村7组，北临四川城市职业学院","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=33a1624d-ec10-43a2-aed1-2452df0e6567",0.000000,0.000000,30.055950,103.891768,0
"5114002015B00781","19af646a-06fc-4ff7-b35d-577b948d4901","四川省","眉山市","眉山市","位于科工园三路，城际铁路以东，东临乐山昶宏、竣峰房产，南临白玉村6组，西临白玉村6组，北临科工园三路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=19af646a-06fc-4ff7-b35d-577b948d4901",0.000000,0.000000,30.092664,103.835808,0
"5114002017B00209-1","c17159fc-5ac7-43a4-b0af-8c5f129f3872","四川省","眉山市","眉山市","该宗地位于岷东中学以南，富牛大道以东，岷东大道以西。东临桐坡村三组，南临富牛镇国有土地，西临富牛镇国有土地，北临桐坡村三组。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c17159fc-5ac7-43a4-b0af-8c5f129f3872",0.000000,0.000000,30.095720,103.903672,0
"5114002016B00028","e97ea274-c75c-44ac-a88c-3faf7d241d10","四川省","眉山市","眉山市","地位于眉山铝硅产业园区，东临园区储备土地；南临机耕道；西临园区储备土地；北临眉修路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e97ea274-c75c-44ac-a88c-3faf7d241d10",0.000000,0.000000,29.997630,103.752112,0
"5114002014B00096","d53a8679-e985-4c87-ba3d-264414add215","四川省","眉山市","眉山市","位于岷东新区，东临群乐街（在建），南临青神路（在建），西临富牛镇松林村1组，北临滴水街（在建）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d53a8679-e985-4c87-ba3d-264414add215",0.000000,0.000000,29.837460,103.835704,0
"5114002015B00776","b5af923d-a13d-493c-969f-6908b439a28b","四川省","眉山市","眉山市","位于玉屏街西侧，科工园二路以北，东临玉屏街，南临眉州通讯器材、眉山市金属回收有限公司，西临白玉村1组，北临白玉村1组","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b5af923d-a13d-493c-969f-6908b439a28b",0.000000,0.000000,30.084290,103.850520,0
"5114002015B00517","c52bcd42-15db-431d-bdbf-4bf039579674","四川省","眉山市","眉山市","该宗地位于修文镇铝城村，东临园区储备土地；南临工业环线；西临原眉修路；北临创越恒信公司。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c52bcd42-15db-431d-bdbf-4bf039579674",0.000000,0.000000,30.008834,103.739776,0
"5114002015B00520","453ed8d4-73cf-4ead-a6aa-dedc861fd54b","四川省","眉山市","眉山市","该宗地位于修文镇铝城村，东临眉修路；南临华澳铝业、启明星公司；西临高压走廊；北临眉修路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=453ed8d4-73cf-4ead-a6aa-dedc861fd54b",0.000000,0.000000,30.008834,103.739776,0
"5114002016B00106","bd55fda9-cfef-416f-b05e-db766d183e58","四川省","眉山市","眉山市","该宗地位于修文镇铝城村，东临园区储备土地；南临园区储备土地；西临工业环线；北临园区储备土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd55fda9-cfef-416f-b05e-db766d183e58",0.000000,0.000000,30.008834,103.739776,0
"5114002015B00499","5c257c9b-190c-4fa8-ae16-adba68402b13","四川省","眉山市","眉山市","该宗地位于修文镇铝城村，东临科龙达公司；南临园区储备土地；西临园区储备土地；北临眉修路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c257c9b-190c-4fa8-ae16-adba68402b13",0.000000,0.000000,30.008834,103.739776,0
"5114002018B00037","bff613ad-f458-4858-9129-fd63a1287d87","四川省","眉山市","眉山市","该宗地位于齐通路与文定街交叉口东南角，东临储备土地，南临阜成路，西临文定街，北临齐通路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bff613ad-f458-4858-9129-fd63a1287d87",0.000000,0.000000,30.072800,103.855976,0
"5114002017B00164","5a26c115-e664-4e85-b752-dd2e7a0fc3eb","四川省","眉山市","眉山市","该宗地位于醴泉河以西，通济堰以东，东临储备土地，南临规划道路，西临通济堰，北临醴泉河。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5a26c115-e664-4e85-b752-dd2e7a0fc3eb",0.000000,0.000000,30.143234,103.727672,0
"5114002010B00147","da2ff0ca-4942-43d4-8350-92f570687f33","四川省","眉山市","眉山市","东临通义路，南临上水康郡项目、郑许兵用地和通惠河绿地，西临通惠河绿地，北临岷江大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=da2ff0ca-4942-43d4-8350-92f570687f33",0.000000,0.000000,30.064530,103.830448,0
