electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"1301072015B00028","573b2116-97df-40f6-a6b8-4b4b4a3aa48e","河北省","石家庄市","石家庄市","涧底居委会。四至：东至涧底居委会地，西至涧底居委会地，南至涧底居委会地，北至涧底居委会地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=573b2116-97df-40f6-a6b8-4b4b4a3aa48e",0.000000,0.000000,38.086540,114.045768,0
"1301072015B00042-1","b19a1fdd-2d07-4a28-a953-2c23d3d1500c","河北省","石家庄市","石家庄市","刘赵村居委会。四至：东至刘赵村居委会地，西至刘赵村居委会地，南至刘赵村居委会地，北至刘赵村居委会地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b19a1fdd-2d07-4a28-a953-2c23d3d1500c",0.000000,0.000000,38.073728,114.071672,0
"1301242011B00103","292b385a-8e26-4baf-ac3f-b87f5bfd4dc7","河北省","石家庄市","石家庄市","石家庄装备制造基地窦妪村东，东至栾城县惠源建材有限责任公司（县水泥厂），南至元氏县马村乡泉村集体土地，西至中国工商银行栾城县支行、栾城县惠源建材有限责任公司、石家庄杰克化工有限公司，北至富城路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=292b385a-8e26-4baf-ac3f-b87f5bfd4dc7",0.000000,0.000000,37.880124,114.498512,0
"1301232018B00239","8e50fe45-2798-4107-aba4-41bde0faaa10","河北省","石家庄市","石家庄市","石家庄综合保税区围网内，中央大街以东，守谦路以北，空港北大街以西，宗明路以南。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8e50fe45-2798-4107-aba4-41bde0faaa10",0.000000,0.000000,37.640772,114.258592,0
"1301822016B01215","b7f1026c-d6c1-470c-b4b2-15bb3b2643b2","河北省","石家庄市","石家庄市","东临国税局税苑小区，西临河北联泰房地产开发有限公司，南临河北联泰房地产开发有限公司，北临工业路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b7f1026c-d6c1-470c-b4b2-15bb3b2643b2",0.000000,0.000000,37.918920,115.238616,0
"1301082014B00015","1f3c518c-739f-41dd-a251-225493d19d62","河北省","石家庄市","石家庄市","东至天山房地产开发有限公司、西至国有储备地、南至天山房地产开发有限公司、北至国有储备地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1f3c518c-739f-41dd-a251-225493d19d62",0.000000,0.000000,37.999160,114.549432,0
"1301072014B00160","b8fdea84-c8bb-4b80-b8c1-c8f446cbe7c3","河北省","石家庄市","石家庄市","文兴路北。四至：东至矿区2006年第一批城镇建设用地地块四、矿区聚鑫源大酒店，南至文兴路，西至横北居委会地，北至横北居委会。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b8fdea84-c8bb-4b80-b8c1-c8f446cbe7c3",0.000000,0.000000,38.060396,114.061848,0
"1301242017B00446","1f460584-9775-450e-a1cd-244eaaf13958","河北省","石家庄市","石家庄市","栾城镇焦家庄村东、丰泽大街西侧，东至石家庄市经济技术开发公司栾城联营公司、南至道路、西至栾城县宏雪花园工程处、北至西关村土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1f460584-9775-450e-a1cd-244eaaf13958",0.000000,0.000000,37.883156,114.635248,0
"1301242017B00550","46c4829b-f3ca-4d9c-bc5b-4a358b79fe78","河北省","石家庄市","石家庄市","城区柴武大街西侧、宏达路北侧，东至柴武大街、南至宏达路、西至规划道路、北至寺下村土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=46c4829b-f3ca-4d9c-bc5b-4a358b79fe78",0.000000,0.000000,37.876100,114.640312,0
"1301242016B00028","beb5df55-7b64-44bc-b02e-12499b68f185","河北省","石家庄市","石家庄市","东至楼底村土地，南至楼底路（楼底村土地），西至裕翔街，北至规划仓宁路（楼底村土地）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=beb5df55-7b64-44bc-b02e-12499b68f185",0.000000,0.000000,37.957128,114.524664,0
