electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"5103002018A00606","dbe40f0c-1849-4b3e-8850-109e9051fa6c","四川省","自贡市","自贡市","自贡市东部新城区范围内，釜溪河以北，规划汇兴路延长线以南，东环线以西，市规划展览馆以东。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dbe40f0c-1849-4b3e-8850-109e9051fa6c",0.000000,0.000000,29.343820,104.806896,0
"5103222013B00157","da867e7a-812e-48a5-9fb2-c5338f5d0b2d","四川省","自贡市","自贡市","富州大道以南、宋渡路以西（属富州大道以南、钟秀路以北、宋渡路以西规划地块43.69亩的组成部分）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=da867e7a-812e-48a5-9fb2-c5338f5d0b2d",0.000000,0.000000,29.174944,104.950936,0
"5103222016A00073","f6313ebd-2db3-4866-b1a2-fcb2c425ae88","四川省","自贡市","自贡市","富世镇光灯村11、12、13、14、15、16组（西苑路以东、光灯路以南、B-02地块以西、文体中心一期地块以北）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f6313ebd-2db3-4866-b1a2-fcb2c425ae88",0.000000,0.000000,29.190902,104.968144,0
"5103002018A00038","0a6d54d1-a5e1-4dd4-be15-b5050a32c370","四川省","自贡市","自贡市","舒坪镇柏林村2、3、4组，上阳村1、8组，白阳村2组，狮湾村6、8组，磨刀岭村1、2、3、4、12、13，舒坪镇镇政府，柏林村村委会，磨刀岭村村委会","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0a6d54d1-a5e1-4dd4-be15-b5050a32c370",0.000000,0.000000,29.291900,104.714040,0
"5103002017A01231","4097ebfd-4b0d-4af6-8415-a1e0eb5f4e5c","四川省","自贡市","自贡市","自贡市卧龙湖国际旅游度假区S305线以南，彩灯大世界以北（原自流井区高峰乡双院村3、4社）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4097ebfd-4b0d-4af6-8415-a1e0eb5f4e5c",0.000000,0.000000,29.284730,104.796248,0
"5103002017A01202","478d0d35-a3e7-4b55-83c9-f522edd68730","四川省","自贡市","自贡市","自贡市南湖生态城紫荆街以东、S305以北、东临南湖变电站、西邻东区邻里中心（原自流井区高峰乡考举村6组）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=478d0d35-a3e7-4b55-83c9-f522edd68730",0.000000,0.000000,29.307446,104.778160,0
"5103002018A00010","f403e358-6fdf-494e-ac36-859a36c3afc0","四川省","自贡市","自贡市","舒坪镇柏林村2、3、4组，上阳村1、8组，白阳村2组，狮湾村6、8组，磨刀岭村1、2、3、4、12、13，舒坪镇镇政府，柏林村村委会，磨刀岭村村委会","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f403e358-6fdf-494e-ac36-859a36c3afc0",0.000000,0.000000,29.291900,104.714040,0
"5103002016A00660","a0ffebed-d70c-4751-9cdf-567672a615ba","四川省","自贡市","自贡市","自贡市高新技术产业开发区卧龙湖国际旅游区（原高峰乡双院村3、4社、高峰村8社和河山村3社）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a0ffebed-d70c-4751-9cdf-567672a615ba",0.000000,0.000000,29.191680,104.993800,0
"5103002009B00396-1","dcd0917d-fd1b-4550-a8a0-ceb7f8864861A","四川省","自贡市","自贡市","沿滩区卫坪镇卫里村1组、11组，尖山村7组、8组，半仓工业集中区（一期）B1—10、11、12、13号地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dcd0917d-fd1b-4550-a8a0-ceb7f8864861A",0.000000,0.000000,29.321258,104.804712,0
"5103002015A00296","cf19bf6f-daca-4b56-9c60-958b99dbbc77","四川省","自贡市","自贡市","自贡市板仓工业园区S305线至北二环东路（原沿滩区卫坪镇桔香村7、8、11、14、15组，蔡市村9组、瑶湾村7组的53661.18平方米","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf19bf6f-daca-4b56-9c60-958b99dbbc77",0.000000,0.000000,29.306684,104.845936,0
"5103002016A00308","e08b4885-f987-41ea-b651-a6d0a9bd38d7","四川省","自贡市","自贡市","自贡市S305省道北侧南湖生态城B-19-1地块（原自贡市自流井区高峰乡龙神村3、9社，高峰村1社）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e08b4885-f987-41ea-b651-a6d0a9bd38d7",0.000000,0.000000,29.316784,104.759856,0
"5103222013B00140","3b1212f5-6389-4bcf-a58a-5fc0d2253f9d","四川省","自贡市","自贡市","富州大道以南、宋渡路以东、安和西路以西（属钟秀路以北、富州大道以南、安和西路以西、宋渡以东规划地块约115.34亩的组成部分）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3b1212f5-6389-4bcf-a58a-5fc0d2253f9d",0.000000,0.000000,29.181322,104.949408,0
