electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3402222018B00196","3964c6f8-bf96-4c9e-b9f1-ed50d7fca03c","安徽省","芜湖市","芜湖市","孙村经济开发区。东至金贸流体科技股份有限公司，南至金贸流体科技股份有限公司，西至芜湖市金帆机电技术有限公司，北至山北路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3964c6f8-bf96-4c9e-b9f1-ed50d7fca03c",0.000000,0.000000,31.067868,118.136824,0
"3402212015B01920","f6d767e9-a3e0-41fc-aa4b-2f8c793adb37","安徽省","芜湖市","芜湖市","安徽新芜经济开发区，利丰汽配以西，金科缘特种材料以南，芜湖三元机械制造有限公司以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f6d767e9-a3e0-41fc-aa4b-2f8c793adb37",0.000000,0.000000,31.161364,118.640128,0
"3402002014B04956","35bc419a-17e2-4cd9-967a-99cd1641ca4e","安徽省","芜湖市","芜湖市","东至中山北路与银湖南路交叉口，南至银湖南路与长江中路交叉口，西至长江中路，北至中山北路与长江中路交叉口","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=35bc419a-17e2-4cd9-967a-99cd1641ca4e",0.000000,0.000000,31.349830,118.359504,0
"3402002012B00999","058efa80-f20d-40d2-a323-c608d3091322","安徽省","芜湖市","芜湖市","东至弋江北路汽车园扩大区 4号店、西至公共绿地、南至弋江北路汽车园扩大区8号店、北至弋江北路汽车园扩大区7号店","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=058efa80-f20d-40d2-a323-c608d3091322",0.000000,0.000000,31.371530,118.367456,0
"3402222012B00487","53965766-c513-4682-9b97-69f794a4a77e","安徽省","芜湖市","芜湖市","荻港新型建材工业园。东至朗邦厨卫芜湖有限公司，南至空地，西至芜湖市鹏磊新材料有限公司，北至园区道路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=53965766-c513-4682-9b97-69f794a4a77e",0.000000,0.000000,31.080372,118.037056,0
"3402222010B00625","18f1a676-c81d-4041-9271-3fe48191d9cc","安徽省","芜湖市","芜湖市","繁昌县繁阳镇三元村。东至经三路，南至中环电器厂区，西至天安纳米厂区，北至园区中心路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18f1a676-c81d-4041-9271-3fe48191d9cc",0.000000,0.000000,31.167880,118.179712,0
"3402222014B00732","4ba93af1-9828-4195-b346-edc26f11a556","安徽省","芜湖市","芜湖市","孙村镇铁路西与军事铁路交叉口西北侧。东至军事用地，南至村庄，西至兴园路，北至军事用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4ba93af1-9828-4195-b346-edc26f11a556",0.000000,0.000000,31.055858,118.118976,0
"3402222010B00409","822e77f9-f491-41a8-9b59-51d91a719014","安徽省","芜湖市","芜湖市","繁昌县孙村镇龙华村。东至繁昌县华阳服饰公司，南至芜铜公路，西至工业园S5路，北至h5路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=822e77f9-f491-41a8-9b59-51d91a719014",0.000000,0.000000,31.054594,118.112032,0
"3402222010B00455","a4924ca8-5512-4806-86d9-63180e5ad277","安徽省","芜湖市","芜湖市","繁昌县孙村轻纺服装工业园。东至中晖辅料公司，南至工业园h5道路，西至工业园规划用地，北至园区规划用地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a4924ca8-5512-4806-86d9-63180e5ad277",0.000000,0.000000,31.082032,118.089360,0
"3402222015B00045","da62fc7a-d740-49cd-ba91-4fd8dee7f62c","安徽省","芜湖市","芜湖市","孙村经济开发区芜铜路与荻马路交叉口东北侧。东至金顶铸造厂，南至黄浒植物油厂，西至荻马路，北至芜铜公路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=da62fc7a-d740-49cd-ba91-4fd8dee7f62c",0.000000,0.000000,31.062138,118.100736,0
"3402002017B01347","3917e695-7bf0-46ea-954e-38e82652d45f","安徽省","芜湖市","芜湖市","恒大北侧A地块：北至芜宣高速、南至规划二支路、西至鸠江北路、东至自然水面；恒大北侧B地块：北至规划二支路、南至涌金路、西至规划一支路、东至自然水面","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3917e695-7bf0-46ea-954e-38e82652d45f",0.000000,0.000000,31.362840,118.422448,0
"3402222015B00026","fe6fd16b-470d-4953-bca3-f4a9cd88843f","安徽省","芜湖市","芜湖市","繁阳镇戴店村。东至空地，南至空地，西至芜湖福昌石业有限责任公司地块，北至芜湖浩宇石雕有限公司地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fe6fd16b-470d-4953-bca3-f4a9cd88843f",0.000000,0.000000,31.127604,118.204976,0
"3402222010B00445","8524df1b-cf1b-43f5-8472-ab33b248f2be","安徽省","芜湖市","芜湖市","繁昌县孙村镇龙华村。东至恒杰双语学校，南至芜铜公路，西至军用铁路，北至龙华村荒地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8524df1b-cf1b-43f5-8472-ab33b248f2be",0.000000,0.000000,31.054594,118.112032,0
