electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6301002018B00319","6901e117-15fe-4993-922e-ce4f63158c18","青海省","西宁市","西宁市","东川工业园区(宁湖路以东、青海诺德新材料有限公司以南、青海黄河上游水电开发有限责任公司新能源分公司以西、昆仑东路以北的用地范围内)","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6901e117-15fe-4993-922e-ce4f63158c18",0.000000,0.000000,36.544360,101.670432,0
"6301002015B01046","966389ff-1a4a-4686-9d36-c49637d961d3","青海省","西宁市","西宁市","东川工业园区泉景路以北、金桥路以东、青海新力房地产开发有限公司以南、乐都中煦商贸有限公司以西的范围内","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=966389ff-1a4a-4686-9d36-c49637d961d3",0.000000,0.000000,36.577280,101.836696,0
"6301002016B00413","80ebfb17-f449-4745-a420-0fef6b26bd4c","青海省","西宁市","西宁市","城北区大堡子规划四号路西侧，东至丹拉高速公路、西至青海邮政仓库用地、南至40米规划路、北至美宁置换地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=80ebfb17-f449-4745-a420-0fef6b26bd4c",0.000000,0.000000,36.658700,101.600768,0
"6301002016B00458","af3c0d61-70ae-4b03-a4bb-8f41e95973ce","青海省","西宁市","西宁市","东川工业园区（铁骑沟以东、青海女子戒毒所以南、青海福音房地产开发有限公司以西、昆仑东路以北的用地范围内）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=af3c0d61-70ae-4b03-a4bb-8f41e95973ce",0.000000,0.000000,36.636532,101.718680,0
"6301002016B00449","cd669982-ea21-473c-af1a-e3da1f701dd8","青海省","西宁市","西宁市","东川工业园区（西宁康泰房地产开发有限公司以东、西宁鹏鹞污水处理有限公司以南、西宁佳汇房地产开发有限公司以西、八一路以北的用地范围内）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cd669982-ea21-473c-af1a-e3da1f701dd8",0.000000,0.000000,36.622748,101.767648,0
"6301002013B00363","4b0cb9fd-0017-44ce-a08e-a3992f56469d","青海省","西宁市","西宁市","东川工业园区峡口路以东、青海铬盐高新科技股份有限公司以南、杨沟湾村泄洪渠以西、以北的用地范围内。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4b0cb9fd-0017-44ce-a08e-a3992f56469d",0.000000,0.000000,36.555860,101.892600,0
"6301002016B00122","fc6eaed5-033e-47b8-8615-81d3a1a61765","青海省","西宁市","西宁市","金源路以东、西宁旺旺食品有限公司以南、以西、青海雪域龙生物科技有限公司以北的用地范围内","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fc6eaed5-033e-47b8-8615-81d3a1a61765",0.000000,0.000000,36.564900,101.862168,0
"6301002015B01278","34bbe0a3-4ccd-497e-b0de-f10f12b951a4","青海省","西宁市","西宁市","青海中小企业创业发展有限责任公司以东、乐家湾村以南、乐家湾以西、昆仑东路以北的用地范围内","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=34bbe0a3-4ccd-497e-b0de-f10f12b951a4",0.000000,0.000000,36.566072,101.879800,0
"6301002017B00182","1f68eaaf-f5fa-4078-8f3e-d9535aefdff5","青海省","西宁市","西宁市","东川工业园区（规划路以东、昆仑东路以南、金畅路以西、兰州军区军交训练基地以北的用地范围内）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1f68eaaf-f5fa-4078-8f3e-d9535aefdff5",0.000000,0.000000,36.576468,101.834744,0
"6301002016B01170","6374c6fb-c9b0-4af9-84db-ab282f52deac","青海省","西宁市","西宁市","建设巷48号，东至西宁原田房地产开发有限公司、西至西宁市公安局城北公安分局、南至建设北巷、北至西宁原田房地产开发有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6374c6fb-c9b0-4af9-84db-ab282f52deac",0.000000,0.000000,36.705140,101.747192,0
