electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"6101002012B10530","9bda3c6d-8181-426c-9aa6-27052ddfb2eb","陕西省","西安市","西安市","西安供电局以东，文景路以西，公安经开分局南侧，汇景国际（西安）信息科技有限公司北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9bda3c6d-8181-426c-9aa6-27052ddfb2eb",0.000000,0.000000,34.357460,108.978368,0
"6101002012B10988","ca2ddc93-86eb-4566-9467-0301c266fcd4","陕西省","西安市","西安市","西至规划路（仁义路），北至陇海线、规划路，东至LH9-14-271号宗地，南至规划路（立信路）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ca2ddc93-86eb-4566-9467-0301c266fcd4",0.000000,0.000000,34.249892,108.945512,0
"6101002009B03760","04a3e5ea-0f3e-4f1a-9cb8-adbea6bb9417","陕西省","西安市","西安市","东至劳动北路，西至未央宫街道办大白杨西村，南至黄河水利委员会勘测规划设计研究院地质勘探三队，北至梨园路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=04a3e5ea-0f3e-4f1a-9cb8-adbea6bb9417",0.000000,0.000000,34.294276,108.903008,0
"6101002014B03162","0044678b-ec26-4a82-b446-a1ba04593bc1","陕西省","西安市","西安市","航创路以北、陕西博赛房地产开发公司以南、西安富华实业有限公司和西安金古置业有限公司以东、信息产业电子第十一设计研究院科技工程股份有限公司以西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0044678b-ec26-4a82-b446-a1ba04593bc1",0.000000,0.000000,34.259072,108.928176,0
"6101002013B10618","5b698e96-3727-4fd0-9ccb-19ea3cb2c453","陕西省","西安市","西安市","西安恒辉工贸有限公司东侧，陕西省种子管理站西侧，陕西长城投资置业有限公司南侧，陕西长城投资置业有限公司北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5b698e96-3727-4fd0-9ccb-19ea3cb2c453",0.000000,0.000000,34.266272,108.951032,0
"6101002014B01110","18b2059d-0297-48de-a65a-59017f1a6a2b","陕西省","西安市","西安市","西安出口加工区B区内经二十二路以东、西安高新区基础设施配套建设开发有限责任公司以南","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18b2059d-0297-48de-a65a-59017f1a6a2b",0.000000,0.000000,34.375488,109.225272,0
"6101002016B01387","9988d001-1312-4223-8453-994c09b9a878","陕西省","西安市","西安市","东邻岳家沟村十组耕地及村庄、南邻LT4-(55)-8号宗地、北邻岳家沟十组耕地、西邻LT4-(55)-6号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9988d001-1312-4223-8453-994c09b9a878",0.000000,0.000000,34.345848,109.144160,0
"6101002012B06603-1","9b39375b-30f5-4d44-957e-5e09cedd401b","陕西省","西安市","西安市","大白杨南路以东、永全路以西、西安市大兴新区土地储备交易中心储备地块和西安坤龙置业有限公司用地以南，规划路（永安路）以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9b39375b-30f5-4d44-957e-5e09cedd401b",0.000000,0.000000,34.290356,108.913168,0
"6101002012B09319","8da2ca67-9210-411e-affa-f18fbe4488d3","陕西省","西安市","西安市","东至陕西储备物资管理局五三三处（仓库）用地，西至桃园北路西侧规划路，南至西安市大兴路地区城市综合改造工作协调领导小组办公室储备地，北至西安市大兴路地区城市综合改造工作协调领导小组办公室储备地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8da2ca67-9210-411e-affa-f18fbe4488d3",0.000000,0.000000,34.272820,108.971552,0
"6101002011B08059","05cc867d-b153-477a-a100-e688fcfeabcb","陕西省","西安市","西安市","东至红庙坡村、西安化工原料批发公司用地、西安市国土资源局大兴新区管理办公室储备地块，西至规划绿地，南至规划绿地，北至西安市第一市政公司、西安融辉房地产开发有限公司用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=05cc867d-b153-477a-a100-e688fcfeabcb",0.000000,0.000000,34.344140,108.943608,0
