electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"1408022013B00048","550e49b1-f39b-47f5-875d-27e352691f87","山西省","运城市","运城市","北邻运城经济开发区海鑫瑞狮运达房地产开发有限公司，东邻运城市圣泰隆房地产开发有限公司，南邻机场大道，西邻丰喜研发基地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=550e49b1-f39b-47f5-875d-27e352691f87",0.000000,0.000000,35.077224,111.029944,0
"1408302012B00370","a8364c47-2d08-441a-9773-d24a93d33044","山西省","运城市","运城市","芮城县南卫乡街道南侧，北邻南卫乡农机配件厂，西邻桃园村土地，南邻桃园村居民，东邻道路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a8364c47-2d08-441a-9773-d24a93d33044",0.000000,0.000000,34.703304,110.716808,0
"1408302014B00497","5ea0d929-c058-4a2b-b131-b5d6b26d03ed","山西省","运城市","运城市","芮城县永乐北路东侧（卫生局旧址），北邻小区通道，东邻卫生局家属楼，南邻东茂商业街，西邻永乐北路。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5ea0d929-c058-4a2b-b131-b5d6b26d03ed",0.000000,0.000000,34.699400,110.688000,0
"1408302013B00522","18aa8e6b-c480-4e95-9e07-b9ad884a4444","山西省","运城市","运城市","芮城县农业开发办小区北侧，北邻小区巷道南侧，东邻道路，南邻农业开发办，西邻山西天茂房地产开发有限公司待开发小区。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18aa8e6b-c480-4e95-9e07-b9ad884a4444",0.000000,0.000000,34.692920,110.679736,0
"1408302013B00497","02eea436-7c19-4c7d-83ce-50b85b9ce4a9","山西省","运城市","运城市","芮城县学府西街南侧，北邻学府西街，东、南均邻山西天茂房地产开发有限公司住宅用地，西邻令花村五组土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=02eea436-7c19-4c7d-83ce-50b85b9ce4a9",0.000000,0.000000,34.709824,110.684008,0
"1408302015B00027","9abb1149-ca14-4f4f-be10-b41ff2250b87","山西省","运城市","运城市","芮城县工业西街南侧（金丰瑞对面），北邻工业西街绿化带，东、南均邻公园绿地，西邻西矿南路绿化带。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9abb1149-ca14-4f4f-be10-b41ff2250b87",0.000000,0.000000,34.676868,110.668664,0
"1408302016B00032","f4d5150b-4254-48f7-a99d-92c9cabcd89c","山西省","运城市","运城市","芮城县平风线西侧（天之润枣业公司西墙对面），北邻西任三组居民区，西邻空地，南邻西任村土地和永康家具城，东邻杨建杰商住楼。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f4d5150b-4254-48f7-a99d-92c9cabcd89c",0.000000,0.000000,34.663300,110.424888,0
"1408302014B00016","ad111c7d-9205-4bc4-8471-fb209cc5ad36","山西省","运城市","运城市","芮城县人社局新址北侧，北邻农路，东邻名都嘉园小区，南邻人社局新址，西邻古魏镇令花村五组土地。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ad111c7d-9205-4bc4-8471-fb209cc5ad36",0.000000,0.000000,34.711832,110.681864,0
"1408302014B00487","d70ae5d8-13dd-4c1c-926b-6416b42261aa","山西省","运城市","运城市","芮城县陌南镇陈张村，北邻平坡五权乾塔顶，东邻凹口路边，南邻平坡村北300米，西邻杜家坡半坡。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d70ae5d8-13dd-4c1c-926b-6416b42261aa",0.000000,0.000000,34.808688,110.877848,0
"1408022010B00020","0f7ee9d3-4086-42f5-97fb-50f23eba9fed","山西省","运城市","运城市","北至GL-(01)-04号宗地；南至GL-(01)-02宗地；东至东王村；西至邑东路（详见附图红线内）；","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f7ee9d3-4086-42f5-97fb-50f23eba9fed",0.000000,0.000000,35.064184,111.042376,0
