electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"4101222011B00555","194c1480-1f05-4ef1-86c1-d34d67f207ce","河南省","郑州市","郑州市","郑州航空港区郑港六路北侧、东至规划道路、南至大河刘村土地、北至大河刘村土地、西至大河刘村土地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=194c1480-1f05-4ef1-86c1-d34d67f207ce",0.000000,0.000000,34.570032,113.845344,0
"4101222011B00467","ce977ea2-bb1d-4d7a-bd80-fecb48d2e8ea","河南省","郑州市","郑州市","郑州航空港区郑港六路北侧、东至大河刘村土地、南至大河刘村土地、西至规划道路、北至大河刘村土地、","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ce977ea2-bb1d-4d7a-bd80-fecb48d2e8ea",0.000000,0.000000,34.568856,113.864896,0
"4101222011B00477","7539e416-f7a2-4410-9c46-4f15dc9b09de","河南省","郑州市","郑州市","郑州航空港区郑港六路北侧、东至规划道路、南至大河刘村土地、西至大河刘村土地、北至大河刘村土地、","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7539e416-f7a2-4410-9c46-4f15dc9b09de",0.000000,0.000000,34.570032,113.845344,0
"4101222011B00485","c2c29192-f849-4342-80ff-3937fc0a31f0","河南省","郑州市","郑州市","郑州航空港区郑港六路北侧、东至大河刘村土地、南至大河刘村土地、西至规划道路、北至大河刘村土地、","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c2c29192-f849-4342-80ff-3937fc0a31f0",0.000000,0.000000,34.568856,113.864896,0
"4101852013B00596","64fda1ad-a2a9-4f1e-a986-88d0bb6d6281","河南省","郑州市","郑州市","(嵩阳街道办事处嵩山村、少林街道办事处马庄村、西十里村)东邻底盘厂、西邻规划河道、南邻207国道、北邻自然村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=64fda1ad-a2a9-4f1e-a986-88d0bb6d6281",0.000000,0.000000,34.469920,112.986352,0
"4101002017B08689","fef0191e-fb3a-486b-8cb1-ffae44a527c5","河南省","郑州市","郑州市","浔江东路（规划路名九龙大道）以南、龙兴南街（规划路名龙腾街）以西、竹韵西路（规划路名竹韵路）以北、芦医庙大街以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fef0191e-fb3a-486b-8cb1-ffae44a527c5",0.000000,0.000000,34.668932,113.838776,0
"4101222012B01861","ec3a451c-0140-4fb0-81d8-8f60c8bb9568","河南省","郑州市","郑州市","花马东街（暂命名）以东、牟兴大街（暂命名）以西、寿达路（暂命名）以南、喜达路（暂命名）以北；","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ec3a451c-0140-4fb0-81d8-8f60c8bb9568",0.000000,0.000000,34.787484,113.362512,0
"4101222012B02058","15ca7850-a4b4-4ffb-ad0c-b24908e6112c","河南省","郑州市","郑州市","白石西街（暂命名）以西、杨桥大街（暂命名）以东、菊芳路（暂命名）以北、竹韵路（暂命名）以南；","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=15ca7850-a4b4-4ffb-ad0c-b24908e6112c",0.000000,0.000000,34.642224,113.503352,0
"4101852013B00588","5d946f9b-b179-4948-8696-cce07689cb1f","河南省","郑州市","郑州市","(嵩阳街道办事处嵩山村、少林街道办事处马庄村、西十里村)东邻规划河道、西邻空地、南邻207国道、北邻耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5d946f9b-b179-4948-8696-cce07689cb1f",0.000000,0.000000,34.469920,112.986352,0
"4101852012B00345","d31e8d1b-92bd-42c3-a21c-7307f177e17d","河南省","郑州市","郑州市","登封市产业集聚区卢店西村、卢南村，东邻第二职业高中、西邻产业集聚区发展区西环路、南邻S316省道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d31e8d1b-92bd-42c3-a21c-7307f177e17d",0.000000,0.000000,34.456940,113.116360,0
"410100000","F42F3554D9764C0BB9689FA09418D012","河南省","郑州市","郑州市","①五里堡北路南、紫荆山路东；②陇海西路南、华山路西；③冉屯东路西、冉屯北路南；④郑上路北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=F42F3554D9764C0BB9689FA09418D012",0.000000,0.000000,34.748374,113.619301,0
"4101002017B04209","d1d1894d-8d68-4038-82a8-cf3fa99359d7","河南省","郑州市","郑州市","凤栖街（规划路名凤凰大街）以东、安达路（规划路名九曲一街）以南、航海东路（规划路名航海大道）以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d1d1894d-8d68-4038-82a8-cf3fa99359d7",0.000000,0.000000,34.722036,113.751768,0
