electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"5001122015B01704","723d0bc0-a9cb-4b8b-a044-cd9d1cc411a6","重庆市","重庆市","重庆市","北部新区礼嘉组团A标准分区A69-7/05、A69-8/04、A69-11/04、礼嘉组团B标准分区B21-2/04号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=723d0bc0-a9cb-4b8b-a044-cd9d1cc411a6",0.000000,0.000000,29.693120,106.472088,0
"5001052010B00134","9dff08a4-0c21-4ca3-a202-300f131deeb8","重庆市","重庆市","重庆市","江北区江北城组团A分区A06-1/03、A06-2/03、A06-3/03、A06-4/03，B分区B01-1/03，观音桥组团O分区O03-1/04号","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9dff08a4-0c21-4ca3-a202-300f131deeb8",0.000000,0.000000,29.584780,106.565784,0
"5001192012B00410","c021dc1b-4c56-46cb-930c-140e399c128c","重庆市","重庆市","重庆市","重庆市南川区东城街道东金华居委东胜组团E08分区1/02、E09分区1/02地块（五金建材市场）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c021dc1b-4c56-46cb-930c-140e399c128c",0.000000,0.000000,29.150284,107.109448,0
"5001062016B00568","fe70793d-0d28-4d9e-8c72-5bc9152a19ec","重庆市","重庆市","重庆市","沙坪坝区西永组团L标准分区L75-1/01、L79-1/01、L79-2/01、L79-3/01、L84-1/01、L82-3/01号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fe70793d-0d28-4d9e-8c72-5bc9152a19ec",0.000000,0.000000,29.594450,106.372192,0
"5001122014B01686","9d1f1565-9e71-4ee7-8c7d-d4ea423a7b70","重庆市","重庆市","重庆市","渝北区两路组团F标准分区F98-1、F98-2、F99-1、F99-2、F100-2、F101-1、F102-1、F103-1、F104-1号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9d1f1565-9e71-4ee7-8c7d-d4ea423a7b70",0.000000,0.000000,29.725810,106.623000,0
"5001132013B00200","9031dc84-e827-4359-9621-740c126fb1a7","重庆市","重庆市","重庆市","巴南区李家沱组团I、K标准分区I04-3/01、I04-2/01、I04-10/01、I04-11/01、I04-4/01、I04-5/01、I04-6/01、I06-3/01地块				","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9031dc84-e827-4359-9621-740c126fb1a7",0.000000,0.000000,29.454592,106.539112,0
"5001192014B00130","2ae45ec7-5db5-481b-b4e6-a8ea7b4b3b1a","重庆市","重庆市","重庆市","重庆市南川区水江镇大燕居委3组和兴盛居委3组（【水江】组团【D】分区【10-2】地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2ae45ec7-5db5-481b-b4e6-a8ea7b4b3b1a",0.000000,0.000000,29.265190,107.289616,0
"5001052013B00489","338a0a61-cbc9-495e-acf5-b69e6e022af1","重庆市","重庆市","重庆市","两江新区鱼嘴组团P标准分区P15-1/01、P15-3/01、P18-1/01、P20-1/01、P19-4/01、P23-1/01、P22-1/01号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=338a0a61-cbc9-495e-acf5-b69e6e022af1",0.000000,0.000000,29.716902,106.459552,0
"5001062016B00162","6a3c2c3d-dd4e-4df4-b518-eff5d5b0e6a2","重庆市","重庆市","重庆市","沙坪坝区西永组团L标准分区L02-1/04、L02-3/04、L02-2/04、L02-4/04、L02-5/04、L02-6/04、L03-1/04、L03-2/04、L03-3/04、L05-2/04号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6a3c2c3d-dd4e-4df4-b518-eff5d5b0e6a2",0.000000,0.000000,29.594450,106.372192,0
"5001122012B01300","68f2774a-231c-43bc-a63a-663dfb0d77ce","重庆市","重庆市","重庆市","北部新区礼嘉组团A标准分区A28-15/03、A28-9/03、A28-10/03、A28-11/03、A28-5/03、A28-7/03地块  ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=68f2774a-231c-43bc-a63a-663dfb0d77ce",0.000000,0.000000,29.693120,106.472088,0
"5001122010A01032-1","cbafcea0-7093-483d-ba80-c72521afcf56","重庆市","重庆市","重庆市","渝北区大盛镇、茨竹镇、大湾镇、龙兴镇、洛碛镇、木耳镇、古路镇、玉峰山镇、石船镇、统景镇、双凤桥街道、双龙湖街道等12个镇（街）23个村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cbafcea0-7093-483d-ba80-c72521afcf56",0.000000,0.000000,29.859080,106.843240,0
"500105000","6E6A1D95390840F5A1629EB96C4F8B2E","重庆市","重庆市","重庆市","江北区五里店街道刘家台地区肖家坪、五江支路处（观音桥组团O分区28－4/02、28－2/02）号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6E6A1D95390840F5A1629EB96C4F8B2E",0.000000,0.000000,29.582766,106.554904,0
"5001132018B00121","75cbe24b-7d82-4159-91ef-2b6e75c586ef","重庆市","重庆市","重庆市","巴南区李家沱组团K分区K12-6/03、K13-12/03、K13-13/03、K14-3/03、K14-4/03、K14-6/05、K14-7-1/07号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=75cbe24b-7d82-4159-91ef-2b6e75c586ef",0.000000,0.000000,29.470960,106.537064,0
"5001192013B01191","ed8d49aa-40f3-47ed-a0b4-25ebe708b718","重庆市","重庆市","重庆市","重庆市南川区南川区西城街道东方红二社、西大街一社（【隆化】组团【地产】分区27-2地块）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ed8d49aa-40f3-47ed-a0b4-25ebe708b718",0.000000,0.000000,41.311765,117.732277,0
"5001062016B00089","55cca0f3-a1fa-4876-9c03-61ef8835019a","重庆市","重庆市","重庆市","沙坪坝区西永组团L标准分区L15-1/04、L15-2/04、L15-3/04、L15-4/04、L15-5/04、L15-6/04号宗地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55cca0f3-a1fa-4876-9c03-61ef8835019a",0.000000,0.000000,29.594450,106.372192,0
