electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3307842009B00195","2efb9b51-cb59-41fb-a6a1-bce05a3af6b3","浙江省","金华市","金华市","城西新区","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2efb9b51-cb59-41fb-a6a1-bce05a3af6b3",0.000000,0.000000,0.000000,0.000000,0
"3307822012B03353","e87b9a55-4b2e-43e0-b27e-87f5b1d70f54","浙江省","金华市","金华市","义乌市建设二村85幢2号","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e87b9a55-4b2e-43e0-b27e-87f5b1d70f54",0.000000,0.000000,0.000000,0.000000,0
"3307822012B03428","cc3f96bb-ffb6-4fa7-96e6-e6dcc4667e83","浙江省","金华市","金华市","廿三里街道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cc3f96bb-ffb6-4fa7-96e6-e6dcc4667e83",0.000000,0.000000,0.000000,0.000000,0
"3307832009B01853","d4c6681a-64ec-4767-b8b6-3fd3014be62a","浙江省","金华市","金华市","湖溪镇夏黄村","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d4c6681a-64ec-4767-b8b6-3fd3014be62a",0.000000,0.000000,0.000000,0.000000,0
"3307832009B01867","6bbadf93-acc4-47ad-bb52-abc31d2e3d0c","浙江省","金华市","金华市","湖溪镇湖溪村3号地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6bbadf93-acc4-47ad-bb52-abc31d2e3d0c",0.000000,0.000000,0.000000,0.000000,0
"3307832009B01876","1594df88-bb3b-431c-b481-891b4f080485","浙江省","金华市","金华市","陈氏塑胶有限公司西","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1594df88-bb3b-431c-b481-891b4f080485",0.000000,0.000000,0.000000,0.000000,0
"3307822009B00571-1","0812abd7-7b78-4313-b944-9e9655b07a31A","浙江省","金华市","金华市","上溪镇馨苑小区百安街27号楼7-9号地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0812abd7-7b78-4313-b944-9e9655b07a31A",0.000000,0.000000,0.000000,0.000000,0
"3307822009B00529","05d0045f-59cf-41b4-bea2-4d00e85767e1","浙江省","金华市","金华市","上溪镇馨苑小区百安街27号楼17-20号地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=05d0045f-59cf-41b4-bea2-4d00e85767e1",0.000000,0.000000,0.000000,0.000000,0
"3307832011B01931","e3a4b0b9-6889-412a-b432-92d0516aac3f","浙江省","金华市","金华市","甘溪路H7地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e3a4b0b9-6889-412a-b432-92d0516aac3f",0.000000,0.000000,0.000000,0.000000,0
"3307822009B00384","4af250b4-63e1-4a45-98b1-993bddcd3692","浙江省","金华市","金华市","上溪镇馨苑小区百安街22号楼7-8号地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4af250b4-63e1-4a45-98b1-993bddcd3692",0.000000,0.000000,0.000000,0.000000,0
"3307822009B00391","76802f79-2055-4df7-9ce8-c4c4f68e98ef","浙江省","金华市","金华市","上溪镇馨苑小区百安街22号楼9-14号地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=76802f79-2055-4df7-9ce8-c4c4f68e98ef",0.000000,0.000000,0.000000,0.000000,0
"3307822011B00161","121ec8c4-4f2d-4fae-adc4-0cfc1191fbeb","浙江省","金华市","金华市","义亭镇2010-001地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=121ec8c4-4f2d-4fae-adc4-0cfc1191fbeb",0.000000,0.000000,0.000000,0.000000,0
