electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"2201002015B01427","eb6002f0-9f78-4251-86b7-0c2d1c10fba8","吉林省","长春市","长春市","长江路经济开发区：东至凯旋路以东196米、西至凯旋路、南至高压线控制线、北至广惠中小学营养餐","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb6002f0-9f78-4251-86b7-0c2d1c10fba8",0.000000,0.000000,43.903700,125.334400,0
"2201002016B00684","2e63b673-02b1-4b9c-85e8-172701211199","吉林省","长春市","长春市","长春高新开发区，东至硅谷大街、南至吉林盛荣汽车贸易有限公司、西至富强小区C区、北至西越达路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2e63b673-02b1-4b9c-85e8-172701211199",0.000000,0.000000,43.802924,125.236920,0
"2201822014B01252","c553ff67-07e0-463f-83d3-cf9eeac50ef4","吉林省","长春市","长春市","正阳街道兴隆村；东至兴隆村、西至榆山公路、南至兴隆村、北至榆树市合金商品混凝土有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c553ff67-07e0-463f-83d3-cf9eeac50ef4",0.000000,0.000000,44.815540,126.547200,0
"2201002016B00839","00bab162-4b05-40d1-9ad0-a114bdcddd29","吉林省","长春市","长春市","长春高新技术产业开发区，东至规划街、西至高新储备中心用地、南至长春长光宇航复合材料有限公司、北至高新储备中心用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=00bab162-4b05-40d1-9ad0-a114bdcddd29",0.000000,0.000000,43.789820,125.258160,0
"2201002016B01757","1ec455a9-8b74-40a3-82f2-9c3eef10692c","吉林省","长春市","长春市","长春市净月高新技术开发区、东至其他规划用地、西至其他规划用地、南至规划丙一路、北至其他规划用地、 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1ec455a9-8b74-40a3-82f2-9c3eef10692c",0.000000,0.000000,43.937260,125.173072,0
"2201822016B00491","df7d7e06-6c69-477f-aa5e-f45698677bb5","吉林省","长春市","长春市","五棵树镇榆陶公路北侧，东至：爱国村，西至：华民节能灯饰有限公司，南至：榆陶公路，北至:爱国村。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=df7d7e06-6c69-477f-aa5e-f45698677bb5",0.000000,0.000000,30.099069,117.022361,0
"2201822016B00662","aba7de90-7f6c-454c-a759-2fdd4902783c","吉林省","长春市","长春市","榆树市城郊街道北门村科铁公路:东至中心街规划路，西至工农大街，南至规划路，北至科铁公路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=aba7de90-7f6c-454c-a759-2fdd4902783c",0.000000,0.000000,44.819100,126.535184,0
"2201002014B16423","faa19b57-ebf1-4fa2-9025-890040673819","吉林省","长春市","长春市","长春净月高新技术开发区，东至其他规划用地、南至其他规划用地、西至其他规划用地、北至其他规划用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=faa19b57-ebf1-4fa2-9025-890040673819",0.000000,0.000000,43.799456,125.516856,0
"2201002015B00991","cc0e76a0-4d51-4718-80f4-f19fd532e76b","吉林省","长春市","长春市","（高新区）东至高新储备中心用地、西至高新储备中心用地、南至光机路、北至高新储备中心用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cc0e76a0-4d51-4718-80f4-f19fd532e76b",0.000000,0.000000,44.562152,125.924760,0
"2201002015B00938","894fa600-aed4-4062-82d7-1327ff317a88","吉林省","长春市","长春市","（高新区）东至高新储备中心用地、西至高新储备中心用地、南至高新储备中心用地、北至雅安路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=894fa600-aed4-4062-82d7-1327ff317a88",0.000000,0.000000,43.985412,125.396328,0
"2201002016B00456","d4b4b5d0-4d19-45b6-aca3-39b625bc8598","吉林省","长春市","长春市","宽城区（棚户区），东至吉林阳光橡塑有限公司西墙，南至规划路，西至养正高中及规划路，北至丙二十二路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d4b4b5d0-4d19-45b6-aca3-39b625bc8598",0.000000,0.000000,44.032552,125.195192,0
"2201822015B00736","43e4e9b4-9491-4df1-b8a3-3477b476c8be","吉林省","长春市","长春市","华昌街道丙四街东侧：东至吉林省瑞达房地产集团有限公司、西至丙四街、南至榆树市融兴城市开发有限公司、北至吉林省瑞达房地产集团有限公司。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=43e4e9b4-9491-4df1-b8a3-3477b476c8be",0.000000,0.000000,44.825700,126.549504,0
"2201002017B03810-1","86cc87bc-76dd-41fe-9a13-44ccfed55dcb","吉林省","长春市","长春市","净月区，东至金宝街、南至吉林天景食品有限公司用地、西至其他规划用地、北至延长高速（浦左高速）路由预留用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=86cc87bc-76dd-41fe-9a13-44ccfed55dcb",0.000000,0.000000,43.825740,125.377472,0
"2201002016B00642","c530447e-9a50-4218-95b4-76c467bda9b7","吉林省","长春市","长春市","长春高新技术开发区(北区)，东至高新储备中心用地、西至高新储备中心用地、南至光机路、北至高新储备中心用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c530447e-9a50-4218-95b4-76c467bda9b7",0.000000,0.000000,44.562152,125.924760,0
"2201002016B00679","67bc829b-f9d3-4e26-9317-a4f0a3888bc2","吉林省","长春市","长春市","长春高新技术产业开发区内，东至高新储备中心用地、西至滨河路、南至龙湖大路、北至高新储备中心用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=67bc829b-f9d3-4e26-9317-a4f0a3888bc2",0.000000,0.000000,43.789820,125.258160,0
"2201002018B09461","083118af-1264-4ae4-9991-3fad1e716b4c","吉林省","长春市","长春市","北湖区，东至储备中心用地、南至储备中心用地、西至吉林省同仁国药医药有限责任公司、北至宝成路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=083118af-1264-4ae4-9991-3fad1e716b4c",0.000000,0.000000,43.856048,125.379208,0
"2201002016B01821","315bf8ee-04c0-4822-bdc8-af07f9dc4828","吉林省","长春市","长春市","长春净月高新技术开发区内，东至樱花街、西至其他规划用地、南至丙三十路、北至其他规划用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=315bf8ee-04c0-4822-bdc8-af07f9dc4828",0.000000,0.000000,43.799456,125.516856,0
"2201002015B01484-1","2b055d19-5df4-4f39-af66-6969ec15eec1","吉林省","长春市","长春市","长春朝阳经济开发区内，东至一汽四环特必克制动有限公司、西至村道、南至 长春市汇铖工贸有限公司、北至一汽四环特必克制动有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2b055d19-5df4-4f39-af66-6969ec15eec1",0.000000,0.000000,43.800160,125.201584,0
"2201822014B01308","90200d99-f831-4b69-ba93-3228a67cad2b","吉林省","长春市","长春市","华昌街道港榆社区：东至榆西大街、西至吉林省亿晟房地产开发有限公司、南至健康路、北至环城乡政府","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=90200d99-f831-4b69-ba93-3228a67cad2b",0.000000,0.000000,44.834128,126.524832,0
"2201822016B00771","89547c78-ab26-4cbb-a2eb-e4a238dc9059","吉林省","长春市","长春市","城郊街道榆三公路北侧：东至龙祥花园住宅楼、西至龙祥花园住宅楼、南至龙祥花园住宅楼、北至龙祥花园住宅楼。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=89547c78-ab26-4cbb-a2eb-e4a238dc9059",0.000000,0.000000,44.811320,126.566448,0
"2201002015B01682-1","a63b21bc-a1e2-4b07-a494-0b2efc2fdc61","吉林省","长春市","长春市","长春净月高新技术产业开发区，东至金河街，南至水系绿带，西至其他规划用地，北至丙一路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a63b21bc-a1e2-4b07-a494-0b2efc2fdc61",0.000000,0.000000,43.841660,125.467312,0
"2201002011B14046","a7148860-d69a-46da-bdf8-3347d0ea0ef8","吉林省","长春市","长春市","宽城区，东至基隆路、南至柳江路南侧绿化带、西至宽城区2009年廉价住宅用地、北至宽城国税局","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a7148860-d69a-46da-bdf8-3347d0ea0ef8",0.000000,0.000000,43.941080,125.320180,0
"2201002009B07317","f2c68737-96ab-4bb2-b1f5-97f8604104b8","吉林省","长春市","长春市","长春市朝阳区永安街以东、西安大路以南、中国建设银行吉林省分行以西、吉林省工商银行宿舍楼以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f2c68737-96ab-4bb2-b1f5-97f8604104b8",0.000000,0.000000,43.885824,125.314456,0
"2201002016B00400","7317d5a6-0fe5-4050-8108-91e17025d221","吉林省","长春市","长春市","长春高新技术开发区，东至高新储备中心用地、西至盛北大街、南至雅安路、北至高新储备中心用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7317d5a6-0fe5-4050-8108-91e17025d221",0.000000,0.000000,43.985412,125.396328,0
"2201002017B10105","2bb5b51c-ca00-45ef-8d2d-e126ebfc12b6","吉林省","长春市","长春市","长德开发区，东至吉林鑫源蛋品发展有限公司，南至吉林省吉百吉实业有限公司，西至德隆街，北至长春市意达丰科技有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2bb5b51c-ca00-45ef-8d2d-e126ebfc12b6",0.000000,0.000000,43.865400,125.294832,0
"2201002016B00988","81562956-2abb-40ad-90af-fa4dc1559c55","吉林省","长春市","长春市","长春高新技术开发区东至高新储备中心用地、西至高新储备中心用地、南至光机路、北至高新储备中心用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=81562956-2abb-40ad-90af-fa4dc1559c55",0.000000,0.000000,44.562152,125.924760,0
"2201002018B09446","17d96a85-e012-4cc0-abb0-e80e14a5894d","吉林省","长春市","长春市","高新区，东至超强街、南至规划工业用地、西至规划工业用地、北至吉林省世纪青山实业有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17d96a85-e012-4cc0-abb0-e80e14a5894d",0.000000,0.000000,43.611380,125.374544,0
