electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3412222017B01010","68c0b03c-f878-4b12-ae46-8422664c0de8","安徽省","阜阳市","阜阳市","太和县城关镇TH[2017]-60号宗地东侧，TH[2017]-62号宗地西侧，工三路南侧，红丝沟北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=68c0b03c-f878-4b12-ae46-8422664c0de8",0.000000,0.000000,33.230308,115.642520,0
"3412222018B01345","c1fde6cf-2400-4610-bf83-4333463b78f9","安徽省","阜阳市","阜阳市","太和县城关镇悦康药业集团安徽美景房地产有限公司西侧，规划幸福路北侧，太和大道东侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c1fde6cf-2400-4610-bf83-4333463b78f9",0.000000,0.000000,33.194972,115.611312,0
"3412222017B00403","47c10a4c-d414-4229-b52c-dde6e20428b0","安徽省","阜阳市","阜阳市","太和县马集乡港集工业园，东邻TH[2015]-205号宗地，西邻环发路，南邻港集村委会耕地，北邻发源大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=47c10a4c-d414-4229-b52c-dde6e20428b0",0.000000,0.000000,33.353946,115.590544,0
"3412222017B00416","18c722c3-f407-4cb9-a62a-b82f8a6683f0","安徽省","阜阳市","阜阳市","太和县马集乡港集工业园，南邻港集村委会耕地，北邻发源大道，西邻 TH[2015]-204号宗地，东邻港集村委会耕地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=18c722c3-f407-4cb9-a62a-b82f8a6683f0",0.000000,0.000000,33.353946,115.590544,0
"3412222018B02569","8abe9ce1-6032-4400-951d-a869078b1d96","安徽省","阜阳市","阜阳市","地块A位于太和县城关镇莲蒲路南侧，太和县国有资产投资运营有限公司东侧；地块B位于文明路北侧，太和县国有资产投资运营有限公司东侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8abe9ce1-6032-4400-951d-a869078b1d96",0.000000,0.000000,33.162204,115.616584,0
"3412222018B01192","8499b5ef-a8d9-40a0-b6bb-af4eda1e450e","安徽省","阜阳市","阜阳市","太和县税镇镇政府储备土地东侧，政府储备土地西侧，纬三路南侧，税镇镇十里沟村土地北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8499b5ef-a8d9-40a0-b6bb-af4eda1e450e",0.000000,0.000000,33.213902,115.511920,0
"3412222017B01005","5b7f4e39-cb38-489e-b590-cdebcae00e4e","安徽省","阜阳市","阜阳市","太和县城关镇TH[2017]-61号宗地东侧，TH[2017]-63号宗地西侧，工三路南侧，红丝沟北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5b7f4e39-cb38-489e-b590-cdebcae00e4e",0.000000,0.000000,33.230308,115.642520,0
"3412222017B00967","93035143-29bc-4b50-954c-a8f91bb8831c","安徽省","阜阳市","阜阳市","太和经济开发区TH[2017]-66号宗地东侧，太和经济开发区友谊村土地西侧，胜利东路南侧，太和经济开发区友谊村土地北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=93035143-29bc-4b50-954c-a8f91bb8831c",0.000000,0.000000,32.890510,115.813800,0
"3412212015B00586-1","2cfa750c-9f2c-4db6-8e89-446ec58c3822","安徽省","阜阳市","阜阳市","县工业园区内科技路南侧、临泉县瑞鸿申扬电子发展有限公司西侧、南园居委会北侧、安徽新泉投资管理有限公司东侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2cfa750c-9f2c-4db6-8e89-446ec58c3822",0.000000,0.000000,33.055728,115.248352,0
"3412222017B00710","42fbfe9b-9fad-43ba-9bdd-211690b8b5a4","安徽省","阜阳市","阜阳市","太和县税镇马庙村，东邻马庙村委会采矿用地，西邻洼张南路，南邻苍沟，北邻马庙村委会采矿用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=42fbfe9b-9fad-43ba-9bdd-211690b8b5a4",0.000000,0.000000,33.259292,115.438984,0
