electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3702002013B03168-4","dc4d3b37-7c9d-40b8-89f8-916504b53741","山东省","青岛市","青岛市","红岛经济区红岛街道华强南路南、跨海大桥红岛连接线辅路西、东大洋安置社区北、绿化间隔带以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dc4d3b37-7c9d-40b8-89f8-916504b53741",0.000000,0.000000,36.214960,120.264080,0
"3702002011B01731","36febc50-d53f-498e-a4c8-ec2d81e23ee3","山东省","青岛市","青岛市","棘洪滩街道高列配套2号线以西、高列配套1号线以北、规划东28号线以东、高列配套5号线以南。","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=36febc50-d53f-498e-a4c8-ec2d81e23ee3",0.000000,0.000000,36.341408,120.270544,0
"3702002013B03127-4","725a0119-2a44-4435-b1de-235cf94073e2","山东省","青岛市","青岛市","红岛经济区红岛街道华强南路南、跨海大桥红岛连接线辅路西、东大洋安置社区北、绿化间隔带以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=725a0119-2a44-4435-b1de-235cf94073e2",0.000000,0.000000,36.214960,120.264080,0
"3702002017B00690","5e24a2a1-eaed-43e7-b18f-ad40c28d3ab9","山东省","青岛市","青岛市","市北区华清及吉上地块以东、规划路及长沙路38号人才公寓以南、宁乡路以西原大山监狱以北区域B地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5e24a2a1-eaed-43e7-b18f-ad40c28d3ab9",0.000000,0.000000,36.123676,120.394040,0
"3702832013A04718","a7b046e5-5809-46bd-8883-59c7b4517aff","山东省","青岛市","青岛市","平度市辖区范围内，沿途经过兰底镇、万家镇、蓼兰镇、同和街道、门村镇、田庄镇、张舍镇、灰埠镇、新河镇等9个镇（街道）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a7b046e5-5809-46bd-8883-59c7b4517aff",0.000000,0.000000,36.740084,119.930328,0
"3702002013B03189-4","1e38fdf8-b43a-496a-8e79-57c7a8a43f83","山东省","青岛市","青岛市","红岛经济区红岛街道华强南路南、跨海大桥红岛连接线辅路西、东大洋安置社区北、绿化间隔带以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1e38fdf8-b43a-496a-8e79-57c7a8a43f83",0.000000,0.000000,36.214960,120.264080,0
"3702002017B00262","f1f597e9-6c43-4a30-8adb-4ef0b1f54acd","山东省","青岛市","青岛市","红岛经济区高新区利源路以东、南车青岛四方机车车辆股份有限公司以南、青岛新诚志卓客车配件有限公司以北","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f1f597e9-6c43-4a30-8adb-4ef0b1f54acd",0.000000,0.000000,36.329848,120.286168,0
"3702002013B02085","0419afbf-e4b2-413e-89d2-ee6907580e00","山东省","青岛市","青岛市","市北区颐和广厦、西吴路、鞍山一路、杭鞍快速路围合区域海伯河遗留片区改造项目21号地块（台柳路煤店片）","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0419afbf-e4b2-413e-89d2-ee6907580e00",0.000000,0.000000,36.093604,120.359440,0
"3702812017B00356-1","5fedf52c-1cb3-4dbe-863a-05e4779f3655","山东省","青岛市","青岛市","胶州经济技术开发区环湾高速、青连高铁、湘江路、跃进河围和区域内湘江路北侧、规划道路东侧南侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5fedf52c-1cb3-4dbe-863a-05e4779f3655",0.000000,0.000000,36.285876,120.022984,0
"3702002013B03177-4","1c8d984e-2b14-4b29-ae94-26feb9e00573","山东省","青岛市","青岛市","红岛经济区红岛街道华强南路南、跨海大桥红岛连接线辅路西、东大洋安置社区北、绿化间隔带以东","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1c8d984e-2b14-4b29-ae94-26feb9e00573",0.000000,0.000000,36.214960,120.264080,0
