electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3405212012B01888","1fa2c19a-da23-4e47-aa98-15f00546115b","安徽省","马鞍山市","马鞍山市"," 当涂县护河镇工业集中区（护河村），东至恒达冶金材料有限公司、南至太感西路、西至临河路、北至水田","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1fa2c19a-da23-4e47-aa98-15f00546115b",0.000000,0.000000,31.506480,118.576360,0
"3405212012B01866","c5a7d465-1e47-48b3-904d-1102491535a5","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至水塘、南至水塘、西至围乌路、北至鑫叶混凝土有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c5a7d465-1e47-48b3-904d-1102491535a5",0.000000,0.000000,31.511140,118.589824,0
"3405212012B01491","bd4dbacf-fc8d-400f-8ae8-1d1e54f15fbd","安徽省","马鞍山市","马鞍山市","当涂综合经济开发区姑孰工业园，东至徽铝公司、南至鸿翮公司一期用地、北至新鑫公司、西至长山路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bd4dbacf-fc8d-400f-8ae8-1d1e54f15fbd",0.000000,0.000000,31.571534,118.597664,0
"3405212012B01631","e7e0a0c0-e413-4245-9d9c-b0dee1c29b2d","安徽省","马鞍山市","马鞍山市","当涂综合经济开发区姑孰工业园，东至中心水系、南至纬四路、北至中心水系、西至义源公司 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7e0a0c0-e413-4245-9d9c-b0dee1c29b2d",0.000000,0.000000,31.571534,118.597664,0
"3405212012B02639","a2ff55d5-3e73-4212-934f-7d2b8857a309","安徽省","马鞍山市","马鞍山市","当涂县经济开发区秦河区，东至环宇铝业厂房、西至秦河路、南至台州博力胶业厂房、北至威铭材料厂房","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a2ff55d5-3e73-4212-934f-7d2b8857a309",0.000000,0.000000,31.505848,118.423152,0
"3405002008B00044","299710bb-e080-4201-9170-56d0711f3255","安徽省","马鞍山市","马鞍山市","原金家庄石灰窑洞地块东至交警二大队办公基地，南至围墙，西至天门大道，北至幸福路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=299710bb-e080-4201-9170-56d0711f3255",0.000000,0.000000,31.512972,118.623664,0
"3405212012B01825","afc2a517-252e-401b-b6ec-7b373e53e2c9","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至国林建材公司、南至太感西路、西至海峰耐磨材料有限公司、北至志和铸件有限公司 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=afc2a517-252e-401b-b6ec-7b373e53e2c9",0.000000,0.000000,31.501984,118.577880,0
"3405212012B01896","f7071f58-c081-43ef-9297-3eca40f9b61c","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至围乌路、南至胡夏路、西至永创机械制造有限公司、北至太感西路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f7071f58-c081-43ef-9297-3eca40f9b61c",0.000000,0.000000,31.505384,118.582104,0
"3405212012B01817","167b6475-2f58-4bb4-94d9-831750d278e8","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至护石路、南至太感西路、西至国林建材有限公司、北至拓锐公司 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=167b6475-2f58-4bb4-94d9-831750d278e8",0.000000,0.000000,31.505384,118.582104,0
"3405002013B04864","4807356c-bb1c-4df0-9016-b10713c37771","安徽省","马鞍山市","马鞍山市","梅山路北部（红旗南路-湖西路段）	0.44821	2013-12-21	1290	中华人民共和国安徽省马鞍山市国土资源局	安徽省马鞍山市印山路与太白大道交叉口西北角	马鞍山市城发集团置业有限责任公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4807356c-bb1c-4df0-9016-b10713c37771",0.000000,0.000000,31.637890,118.486576,0
"3405212012B01934","f85bac43-0ddc-47a0-b555-71ce49dc6ef4","安徽省","马鞍山市","马鞍山市"," 当涂县护河镇工业集中区（护河村），东至空地、南至胡夏路、西至合普热陶瓷有限公司、北至太感西路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f85bac43-0ddc-47a0-b555-71ce49dc6ef4",0.000000,0.000000,31.505384,118.582104,0
"3405212016B00705","1db9b6e8-de68-4856-94a4-d7d7a07410eb","安徽省","马鞍山市","马鞍山市","太白镇西至奋进北路、北至远洋混凝土有限公司、东至现状空地、南至华特生物油脂科技有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1db9b6e8-de68-4856-94a4-d7d7a07410eb",0.000000,0.000000,31.480626,118.429928,0
"3405212012B01847","5d81cb53-b8c4-4685-95bf-268b95135df3","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至皖南彩砖厂、南至胡夏机耕路、西至浩马机械制造有限公司、北至太感西路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5d81cb53-b8c4-4685-95bf-268b95135df3",0.000000,0.000000,31.526676,118.465032,0
"3405212012B01856","bddfedfe-48f7-47e2-abaa-b91d0f68fb83","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至合普热陶瓷有限公司（一期），南至胡夏路，西至胡夏机耕路，北至太感西路 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bddfedfe-48f7-47e2-abaa-b91d0f68fb83",0.000000,0.000000,31.505384,118.582104,0
"3405212012B01801","8692e7d6-2efa-4526-849f-9467144124f6","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至旭升传动机械设备制造有限公司、南至太感西路、西至健阳机械厂、北至水田 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8692e7d6-2efa-4526-849f-9467144124f6",0.000000,0.000000,31.505384,118.582104,0
"3405212012B01835","05d6e5bd-4b9e-4703-a5ad-39b2defc7dee","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至水塘、南至华夏地基有限公司、西至围乌路、北至水塘 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=05d6e5bd-4b9e-4703-a5ad-39b2defc7dee",0.000000,0.000000,31.503396,118.586336,0
"3405212012B01918","fb6f95af-001d-4990-a46b-1203496280b9","安徽省","马鞍山市","马鞍山市","当涂经济开发区新桥区，东北至大城坊西路（即红太阳路），东南至205国道，西北、西南至规划道路 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fb6f95af-001d-4990-a46b-1203496280b9",0.000000,0.000000,31.587692,118.472272,0
"3405212012B02607","9199b1be-c5bd-434d-89c6-4e50158078d3","安徽省","马鞍山市","马鞍山市","当涂综合经济开发区姑孰工业园，东至龙华路、南至中心水系、北至科润公司、西至中心水系 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9199b1be-c5bd-434d-89c6-4e50158078d3",0.000000,0.000000,31.571534,118.597664,0
"3405212012B02305","b4551cf9-759b-41f2-92c5-68c46a17e369","安徽省","马鞍山市","马鞍山市","黄池镇，S1地块位于黄池镇石塘组，北至沟叉；S2地块位于黄池镇胜利组，西至新城大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b4551cf9-759b-41f2-92c5-68c46a17e369",0.000000,0.000000,31.309768,118.600968,0
"3405212012B01667","f9f017d8-a80d-42da-a35f-37456e215698","安徽省","马鞍山市","马鞍山市","当涂综合经济开发区姑孰工业园，东至中心水系、南至义源公司、北至兴鑫公司、西至长山路 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f9f017d8-a80d-42da-a35f-37456e215698",0.000000,0.000000,31.571534,118.597664,0
"3405212015B00196","cc6d7b37-9adf-4c18-a9a1-126baecc5c4e","安徽省","马鞍山市","马鞍山市","姑孰工业集中区，东至长山路、南邻沈阳东大冶金材料股份有限公司、西邻水塘、北至马鞍山华彩粉体材料有限公司","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cc6d7b37-9adf-4c18-a9a1-126baecc5c4e",0.000000,0.000000,31.578204,118.598128,0
"3405212012B02597","d96f33be-fc52-4b09-8b62-3f16b788855c","安徽省","马鞍山市","马鞍山市","当涂综合经济开发区姑孰工业园，东至龙华村村通、南至建诚公司一期用地、北至空地、西至龙华路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d96f33be-fc52-4b09-8b62-3f16b788855c",0.000000,0.000000,31.571534,118.597664,0
"3405212012B01872","4d86feca-8479-4d21-8538-87aa8db6c927","安徽省","马鞍山市","马鞍山市","当涂县护河镇工业集中区（护河村），东至皖南彩砖厂、南至胡夏机耕路、西至浩马机械制造有限公司、北至太感西路 ","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4d86feca-8479-4d21-8538-87aa8db6c927",0.000000,0.000000,31.526676,118.465032,0
"3405002015B00522","ae0a7521-f35b-4101-8b3a-2173012eae35","安徽省","马鞍山市","马鞍山市","经十路与新314省道交叉口东南角，东至东中环路，西至经十路，南至中支十一路，北至新314省道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ae0a7521-f35b-4101-8b3a-2173012eae35",0.000000,0.000000,31.680352,118.503704,0
"3405212012B02611","73e62586-f376-49e4-b31e-9fd1de3bb59d","安徽省","马鞍山市","马鞍山市","当涂综合经济开发区姑孰工业园， 东至长山路、南至鸿瑞公司、北至东大当涂公司、西至农田","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=73e62586-f376-49e4-b31e-9fd1de3bb59d",0.000000,0.000000,31.571534,118.597664,0
"3405212014B03737","6624de97-5192-414a-ac76-74543e684f6c","安徽省","马鞍山市","马鞍山市","太白镇大陇乡青大路北侧，东至金泰耐磨，南至青大路，西至圣达体育用品有限公司，北至水塘","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6624de97-5192-414a-ac76-74543e684f6c",0.000000,0.000000,31.434950,118.703752,0
