electr_supervise_no,id,province,city,right_city,location,data_source_url,bd_lat,bd_lon,tdt_lat,tdt_lonflag
"3410002013B01558","3356aaed-c367-4109-b6ca-03f8c3dd426d","安徽省","黄山市","黄山市","黄山经济开发区B-4(3)地块，东至枫树路，南至黄山市质量技术监督局用地，西至梅林大道，北至引充路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3356aaed-c367-4109-b6ca-03f8c3dd426d",0.000000,0.000000,29.796562,118.262480,0
"3410002011B00612","c6dc1c8f-d03f-4e21-897c-af34b06e5284","安徽省","黄山市","黄山市","屯溪区黄山东路78号，黄山市机关房地产公司用地东侧、百川财富广场南侧、深华公司用地西侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c6dc1c8f-d03f-4e21-897c-af34b06e5284",0.000000,0.000000,29.720276,118.324448,0
"3410002016B00408","cd359804-3066-4fe2-b3be-18f318818131","安徽省","黄山市","黄山市","黄山经济开发区A-7-1（1）地块，东至永佳新城壹号，南至永新股份，西至翰林路，北至歙州路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cd359804-3066-4fe2-b3be-18f318818131",0.000000,0.000000,29.792326,118.253336,0
"3410002016B00355","6d2e30a3-5a28-465b-9c41-6af2ba120002","安徽省","黄山市","黄山市","社屋前路与前湖路交叉口东北角地块，屯溪区屯光镇，东至上海云峰（集团）有限公司用地界，南至前湖路，西至社屋前路，北至黄山大众汽车黄山销售服务有限公司用地界和上海云峰（集团）有限公司用地界","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6d2e30a3-5a28-465b-9c41-6af2ba120002",0.000000,0.000000,29.722434,118.336624,0
"3410002016B00136","3c6c5c65-a851-4be9-9a21-51393d7182ff","安徽省","黄山市","黄山市","东至黄山海迦生物科技有限公司用地，南至黄山海迦生物科技有限公司用地，西至梅林大道，北至朱泓户","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3c6c5c65-a851-4be9-9a21-51393d7182ff",0.000000,0.000000,29.796562,118.262480,0
"3410002009B00011","fae5d05f-6e3f-42a6-ade2-bd3444a87ef7","安徽省","黄山市","黄山市","屯溪区新潭镇，东关路西侧，黄山市丰盛工贸有限公司用地北侧，齐云大道北侧汽修B地块","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fae5d05f-6e3f-42a6-ade2-bd3444a87ef7",0.000000,0.000000,29.720276,118.324448,0
"3410002014B00104","bdd39349-c1eb-4c93-b410-78ba73f63107","安徽省","黄山市","黄山市","徽州大道南侧、洽阳路东侧地块,洽阳路东侧、徽州大道南侧、黄山盛华物御泉湾项目用地西北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=bdd39349-c1eb-4c93-b410-78ba73f63107",0.000000,0.000000,29.699692,118.312648,0
"3410002017B00204","5bd1f38d-f253-4258-b4b5-273933c5557a","安徽省","黄山市","黄山市","黄山九龙低碳经济园区（01-08-9地块），翠薇路东侧，银翠路南侧，黄山市昌臣食品有限公司用地北侧","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5bd1f38d-f253-4258-b4b5-273933c5557a",0.000000,0.000000,29.730410,118.240504,0
"3410002016B00362","5f375aaf-8067-4293-a73f-bcbd38189f3d","安徽省","黄山市","黄山市","黎阳镇率水桥西侧D地块，屯溪区黎阳镇，东至规划一号路、南至老屯五公路、西至黎山农民安置小区用地、北至黄山市地震台用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5f375aaf-8067-4293-a73f-bcbd38189f3d",0.000000,0.000000,29.720276,118.324448,0
"3410002017B00217","82c620a1-1501-4e6a-8d9f-def2649bf469","安徽省","黄山市","黄山市","黄山经济开发区（战略性新兴产业园C-1地块），东至战兴三路，北至规划用地，西至规划用地，南至百川路","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=82c620a1-1501-4e6a-8d9f-def2649bf469",0.000000,0.000000,29.790854,118.254880,0
"3410002017B00226","8c6a5b9e-d8f2-4f00-8757-a3dd7c4f3a6f","安徽省","黄山市","黄山市","黄山经济开发区高铁片区B-1地块，东至西递大道，南至区间路，西至岩寺路，北至梅林大道","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8c6a5b9e-d8f2-4f00-8757-a3dd7c4f3a6f",0.000000,0.000000,29.810764,118.270888,0
"3410002018B00088","ed19e6a4-0971-4b5d-b7a2-4740ff3ad209","安徽省","黄山市","黄山市","黄山经济开发区B-7-1（11）地块，东至丹霞路、北至规划用地界、西至梅林大道、南至小罐茶一期用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ed19e6a4-0971-4b5d-b7a2-4740ff3ad209",0.000000,0.000000,29.796562,118.262480,0
"3410002016B00387","a1ce6311-b716-428d-b986-1b09b23d5098","安徽省","黄山市","黄山市","黎阳镇率水桥西侧E地块，屯溪区黎阳镇，东至西海路、南至老屯五公路、西至规划一号路、北至黄山茶博园投资有限公司用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a1ce6311-b716-428d-b986-1b09b23d5098",0.000000,0.000000,29.717750,118.320248,0
"3410002017B00272","390d7a63-da4f-428c-a041-6a2366978706","安徽省","黄山市","黄山市","位于黄山经济开发区，东至菲英公司用地，北至百川路，西至规划用地界，南至润成石材用地","http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=390d7a63-da4f-428c-a041-6a2366978706",0.000000,0.000000,29.790854,118.254880,0
