electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"1410232012B01262-2","3e6dafa7-544a-442e-a20b-9d34881b2005","山西省","临汾市","尧都区","振兴路西侧",35.955114,111.587681,36.088044,111.512728,1
"1410242013B00839","a286eeb3-917d-4c09-bd5b-aa9a464610ac","山西省","临汾市","洪洞县","大槐树镇梗壁村",36.257005,111.704794,36.246220,111.695896,1
"1410292015B00059","fded11ed-64c4-4e4a-99c9-f64a0f3d08f5","山西省","临汾市","乡宁县","乡宁县昌宁镇营里村委",35.997478,110.897230,35.970944,110.841048,1
"1410292015B00115","11ff973f-93ea-4a54-84bf-d1dbf2ea0b93","山西省","临汾市","乡宁县","乡宁县昌宁镇营里村委",35.997478,110.897230,35.970944,110.841048,1
"1410292015B00043","a92e2689-1c9c-4c2f-adc8-bc87841b8e83","山西省","临汾市","乡宁县","乡宁县昌宁镇幸福湾村委",35.984541,110.870739,35.983060,110.866984,1
"1410292013B00175","c6ed2dfa-731c-437a-8737-d723e0280302","山西省","临汾市","乡宁县","乡宁县昌宁镇张马村委",35.945813,110.771569,35.939600,110.759304,1
"1410002010B00271","0b86e186-b374-4e3f-87d9-c9a5f6d29ba9","山西省","临汾市","尧都区","临汾市青年路南",36.067440,111.524351,36.088044,111.512728,1
"1410022016B00209","220072ea-0246-4b65-9d91-abf37b2fc040","山西省","临汾市","尧都区","刘村镇北卧村309国道西侧",36.092557,111.429163,36.120424,111.445408,1
"1410812014B00302-1","35cd30ce-0324-4b0d-aa98-0c2b2b71d87a","山西省","临汾市","侯马市","合欢街东侧新田乡北郭马村",35.655001,111.400662,35.653220,111.385264,1
"1410272009B00042","08c3c5b8-f62e-415a-8254-34b61873faef","山西省","临汾市","浮山县","浮山县响水河镇西北陈村",35.944051,111.799675,35.938924,111.786200,1
"1410322014B00011","3766a61c-9799-43da-a960-73d8eb88efe9","山西省","临汾市","永和县","芝河镇药家湾村康谐路东旧桥北",36.750587,110.637210,36.744552,110.627848,1
"1410022008B00076","a34d4669-d68c-4d3c-a2f7-35eff371d2e1","山西省","临汾市","襄汾县","尧庙镇郭村西南、滨河南路东侧",36.021783,111.435132,36.058368,111.488448,1
"1410312011B00091","57f86a0c-1e5f-4587-ab69-946687d740c5","山西省","临汾市","隰县","隰县龙泉镇钻井队院内",36.712321,110.992263,36.694692,110.929896,1
"1410212010B00110-1","caa979f8-d512-492b-abd4-fadc17d8a344","山西省","临汾市","曲沃县","曲沃县城东新区",35.647327,111.482396,35.641232,111.469376,1
"1410272012B00088","4f20ed20-f39d-4eac-a43e-a3a7eaa2278a","山西省","临汾市","浮山县","浮山县尧天街东侧",35.974393,111.855385,35.954152,111.841648,1
"1410242009B00333","3cc3fb20-39fd-41aa-9205-e40fe615ba24CC","山西省","临汾市","洪洞县","大槐树镇窑上村",36.278257,111.690224,36.272452,111.677416,1
"1410822018B00010","4e2e06fd-3342-4120-ae70-b78be03e9fe6","山西省","临汾市","霍州市","旧108国道退沙段南侧",36.613614,111.682238,36.604340,111.702528,1
"1410002010B00058","a0b71f57-5f58-4088-9d28-2caba996785e","山西省","临汾市","尧都区","临汾市尧都区尧都路74号",36.070392,111.519369,36.063452,111.504088,1
"1410342009B00128","c29eec35-3c1c-497d-b09f-fa4709e6cfb3","山西省","临汾市","汾西县","汾西县新开路南侧",36.658782,111.569546,36.653212,111.557544,1
"1410222009B00028","b59776f1-a29d-405a-9622-0fa4efaedde4","山西省","临汾市","翼城县","红旗街中段唐尧南路东侧 ",35.739610,111.721877,35.739120,111.706064,1
"1410222013B00199","24a5298d-8513-46c7-b55e-fd31581b1812","山西省","临汾市","翼城县","南梁镇涧峡村",35.679845,111.769599,35.671788,111.752088,1
"1410022010B00278","7e20135a-edc3-42b4-acd5-a3d340c95ce8","山西省","临汾市","尧都区","尧庙镇伊村扬水站水渠西侧",36.050440,111.478405,36.044092,111.465600,1
"1410242010B00356","70703cdb-19e7-491d-bc38-198b0f542c32","山西省","临汾市","洪洞县","大槐树镇梗壁村",36.257005,111.704794,36.246220,111.695896,1
"1410822010B00017","e16c0aed-d533-436a-9134-9a4ef0b68345","山西省","临汾市","尧都区","鼓楼东街南侧",36.085716,111.527301,36.088044,111.512728,1
"1410812012A00439","0fe81f97-bea4-4a05-894f-3473e0fdce3e","山西省","临汾市","侯马市","张村办褚村",35.655063,111.317629,36.088044,111.512728,1
"1410212016B00259","a981d487-49f1-491d-ae48-39844ecc1420","山西省","临汾市","曲沃县","高显镇常家村",35.713170,111.460610,35.707100,111.447736,1
"1410822013B00055","60b2b644-6264-48d4-a0e5-ce7492e35cdf","山西省","临汾市","尧都区","南环路南侧",36.210394,111.561270,36.088044,111.512728,1
"1410022011B00021","993bb6f8-3238-4202-9a4f-384a675ad402","山西省","临汾市","尧都区","东城区华康路北侧",36.094567,111.577197,36.088720,111.564640,1
"1410002013B00230","7e6453c3-062b-4fc7-91b8-8a1c381573fc","山西省","临汾市","尧都区","河西新城高堆村东侧",36.137975,111.483774,36.131860,111.471752,1
"1410812014B00126","e1d439f7-089e-4e40-a2c4-aa4f2547d120","山西省","临汾市","侯马市","侯马市程王路北侧（南堡村）",35.628129,111.384512,35.614912,111.344704,1
"1410022011B00031","15e56f9f-1f37-4615-8d77-0b99ef345582","山西省","临汾市","尧都区","临钢路东侧、规划桥东街北侧",36.080157,111.608890,36.109340,111.501544,1
"1410242016B00017","3c38fa9c-7a1b-4f2a-9f48-064a127844c0","山西省","临汾市","洪洞县","洪洞县甘亭镇杨曲村",36.193843,111.615797,36.187768,111.603288,1
"1410262014B00028","c4116364-b812-43d9-9cab-461d5ce954bd","山西省","临汾市","安泽县","安泽县唐城镇三交村、上庄村",36.477599,112.117558,36.293412,112.119016,1
"1410812008B00019","88342083-67d4-4db5-aa50-6afe578a37d1","山西省","临汾市","侯马市","新田路北侧",35.627014,111.408185,35.618804,111.381480,1
"1410232016B00280","3b3db0ad-7c8c-4090-9124-5be6b230dc4f","山西省","临汾市","襄汾县","邓庄镇南梁村",35.948674,111.504535,35.942540,111.491696,1
"1410242016B00298","bbf4f818-6645-4b66-9e70-2b2cf6437c69","山西省","临汾市","洪洞县","洪洞县赵城镇东街村",36.389055,111.687657,36.383264,111.674824,1
"1410242014B00192","ab0a3b37-1cd8-452f-a349-e6e28d46a474","山西省","临汾市","洪洞县","洪洞县辛村乡北洪段村",36.274288,111.637002,36.268076,111.630336,1
"1410242013B00066","54415ae6-61ee-4c12-9731-42e8e8a02d56","山西省","临汾市","洪洞县","辛村乡南洪段村",36.266984,111.633128,36.261112,111.620488,1
