electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4406062013B65970","11bc16b1-d75a-463e-ac36-0186650882d6","广东省","佛山市","顺德区","佛山市顺德区伦教街道办事处三洲居委会新圩路观光巷1号",22.887933,113.279122,22.861430,113.268288,1
"4406062010B00985","4ffb6208-7d63-4370-b3c1-37f91b0be597","广东省","佛山市","顺德区","龙江镇陈涌居委会陈涌路龙聚一巷2号",22.854966,113.043469,22.849082,113.031400,1
"4406062010B56992","56c72a74-acdc-440f-80d6-908f8b5a2402","广东省","佛山市","顺德区","均安镇新华居委会华兴路三巷3号",22.718511,113.175680,22.717020,113.139800,1
"4406062010B56488","e2223c00-6083-442e-ac93-02d7b7f0df19","广东省","佛山市","顺德区","佛山市顺德区杏坛镇吕地居委会东街十二巷10 号",22.778794,113.166164,22.780140,113.156200,1
"4406052010B04288","d74fa11f-92d7-49eb-a788-78afaf6fdc39","广东省","佛山市","南海区","佛山市南海区桂城街道南二路18号",23.033427,113.206543,23.035620,113.142720,1
"4406072013B01398","f55bdcdd-06c1-4daa-b246-ae0b39b3ea65","广东省","佛山市","三水区","佛山市三水区南山镇沿涌西路以西、民乐一路以南",23.507481,112.864064,23.507762,112.855464,1
"4406052011B01242","5795ace4-734b-4610-a0ac-d98d26e13ac5","广东省","佛山市","南海区","佛山市南海区里水镇和顺金华西路44号",23.265050,113.140978,23.201010,113.158792,1
"4406062013B70705-1","201ca769-74d3-46d3-8ad6-1a4fb69dda98","广东省","佛山市","顺德区","佛山市顺德区大良街道新桂23-1号地块",22.847387,113.259717,22.836500,113.266384,1
"4406062013B68213","75667c00-30a9-4122-98df-d4d2ca242f8e","广东省","佛山市","顺德区","陈村镇赤花居委会吴家围南区五巷7号",22.973383,113.243544,22.984340,113.115920,1
"4406062015B90721-1","3c33bac4-ee6e-4a5a-af9a-cee7c79e94bc","广东省","佛山市","顺德区","顺德区龙江镇龙山居委会瑞苑工业路以西地块四",22.854414,113.047363,22.860546,113.041960,1
"4406062015B00325","16c47391-417d-4ca9-9961-99c955bce9ce","广东省","佛山市","顺德区","陈村镇锦龙社区居委会东平路三巷7号之一",22.969582,113.242311,22.962420,113.232320,1
"4406062015B01386","243d1fde-c91c-4e34-97cb-17a034346906","广东省","佛山市","顺德区"," 大良街道文秀社区居委会西后街一座2号四楼 ",22.846166,113.260612,22.845700,113.251424,1
