electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"1502002012B00428","c5ad1314-88e8-45b4-88b7-78df094d7fce","内蒙古","包头市","九原区","包头稀土高新区滨河新区",40.584457,109.912557,40.587008,109.917088,1
"1502002012B00438","045e8e72-195c-43b8-9fd4-d3917227e833","内蒙古","包头市","九原区","包头稀土高新区滨河新区",40.584457,109.912557,40.587008,109.917088,1
"1502222009B00279","39395293-731c-4c99-95b8-c824224c1360","内蒙古","包头市","固阳县","固阳县包白公路西",41.040163,110.066433,41.015460,110.052112,1
"1502222008B00037","4613b429-0c7b-4fa9-a30d-baa2a8cda72c","内蒙古","包头市","固阳县","固阳县金山镇阿拉塔街西侧",41.013634,110.050832,41.029048,110.058000,1
"1502212015B00065","1e66b034-bac4-4bae-9c56-44f26ebaf911","内蒙古","包头市","土默特右旗","萨拉齐镇小袄兑村，萨凉公路北侧，鑫隆佳苑一期南侧，东西两侧均为村庄",40.554099,110.565283,40.547160,110.552928,1
"1502002011B00579","593d85d7-1dac-4ad3-befe-de51aeab3e33","内蒙古","包头市","昆都仑区","昆区团结大街9号街坊",40.676440,109.832707,40.666148,109.804136,1
"1502052011B00421","b11f4157-b72f-4066-810a-a22074745a14","内蒙古","包头市","石拐区","石拐区五当召镇白草沟村",40.690250,110.261661,40.790616,110.307792,1
"1502052011B00447","45643c4d-3b6d-401c-87b0-72bebb867dce","内蒙古","包头市","石拐区","石拐区五当召镇白草沟村",40.690250,110.261661,40.790616,110.307792,1
"1502212014B00467","2b67609a-07a2-40bc-9f17-8175b6c31671","内蒙古","包头市","土默特右旗","明沙淖乡黄河大桥引道西侧",40.453224,110.506148,40.531132,110.234280,1
"1502002012B01862","d0121577-d35a-4513-8372-9aaa8ea87b68","内蒙古","包头市","青山区","青山区文化路南侧、自由路东侧（交叉路口东南角）",40.664361,109.897457,40.676040,109.857496,1
"1502052014B00018","112c97ac-1e10-4841-8c9f-7c0293f6c762","内蒙古","包头市","石拐区","石拐区大德恒办事处开州窑子村",40.678299,110.278381,40.695432,110.267400,1
"1502212008B00045","c950a49e-abe6-4915-9fc1-d5f857701ee8","内蒙古","包头市","土默特右旗","沟门镇110国道北侧",40.602064,110.665581,40.595528,110.512488,1
