electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4505212015B11470","61169424-963f-440a-98a0-365ca40245ac","广西壮族","北海市","合浦县","合浦县城“皇家一号”小区东侧处",21.667006,109.213439,21.658980,109.200784,1
"4505212013B03576","7e0b5b45-803a-4cf3-8c45-c0c97ff3975b","广西壮族","北海市","合浦县","廉州镇金田路2号（原平田村公所第六队）",21.664095,109.208998,21.698238,109.583240,1
"4505212014B07632","450559fa-1a41-4b66-83b4-1872dcec68f1","广西壮族","北海市","合浦县","党江镇兴江大道",21.662377,109.149308,21.650540,109.122008,1
"4505212014B07645","05bf7ec9-8f9f-4bff-ba16-699126200b19","广西壮族","北海市","合浦县","廉州镇东较场拆迁安置用地20号",21.666417,109.207055,21.673690,109.200616,1
"4505212013B01003","e738d1c6-016f-49db-9b6f-336c994517a4","广西壮族","北海市","合浦县","合浦县廉州郊区廉东王屋村",21.667006,109.213439,21.628380,109.174088,1
"4505212016B02337","f8f7f5bb-e1bc-4c13-a4c3-fbbe5e6774c9","广西壮族","北海市","合浦县","廉州镇文蔚坊17号",21.676075,109.194607,21.667500,109.196536,1
"4505212016B02972","e2b27c97-bebb-444e-8ffe-19ceaf2cc656","广西壮族","北海市","合浦县","廉州镇北河东路移民新村龙一组64号",21.666417,109.207055,21.442670,109.136240,1
"4505212008B00319","54112250-7878-4401-94ab-a7765d32cfb7","广西壮族","北海市","合浦县","平田市场（平田车路塘东区）44、8号区",21.661915,109.210275,21.653748,109.194800,1
"4505212012B02629","607b171a-9773-4fd2-8a1b-7365dbb2dee3","广西壮族","北海市","合浦县","廉州镇廉东大道三巷56号（原延安路31号）",21.669318,109.210994,21.665000,109.200344,1
"4505212012B02619","a17fc3cc-4a37-4c9f-ac5c-d051f145b487","广西壮族","北海市","白沙黎族自治县","白沙镇白沙开发区第二街第十号",19.201883,109.476285,21.703800,109.684896,1
"4505212008B00879","a09a7f99-b275-4101-a388-f64184974e52","广西壮族","北海市","合浦县","廉州镇廉风东路二巷8号",21.648273,109.210543,21.669416,109.208480,1
"4505212010B05420","0589b628-da0d-4c83-be66-1bef7791afce","广西壮族","北海市","合浦县","廉州镇车路塘居委平阳塘一组",21.657519,109.205464,21.637284,109.197664,1
"4505212009B07516","4a06a669-9048-4277-b5ee-0dab53657539C","广西壮族","北海市","合浦县","廉州镇延安路东较场小区172号",21.675289,109.214221,21.470478,109.077376,1
"4505212009B07066","3d6d250e-e996-4851-89d8-c03d88656c0bCC","广西壮族","北海市","合浦县","廉州镇城东区B-Ⅰ-17-8号",21.684581,109.227104,0.000000,0.000000,1
"4505002012B00532","a3fa6f53-2134-48db-984c-bd89f507ead4","广西壮族","北海市","银海区","银海区福成镇西村（北海竹林盐场）",21.464363,109.276588,21.461200,109.265848,1
"4505212015B12390","0ed77031-c93d-49f3-8cf6-542ffe7df4c4","广西壮族","北海市","合浦县","廉州镇城东新区23号",21.666417,109.207055,21.667500,109.196536,1
"4505002012B00621","2b7ff4da-edc3-4278-9289-e7413984d991","广西壮族","北海市","铁山港区","铁山港区南康镇朝阳大道北段",21.600423,109.454947,21.599170,109.442296,1
"4505002017B00527","f80e83c5-2444-43b7-a554-5b70fb0e3cdd","广西壮族","北海市","银海区","北海市广东以东、杭州路以南",21.438345,109.155515,21.434416,109.142704,1
"4505212015B11266","131f8eff-fde5-4c32-ba87-c4e0a3a57bcf","广西壮族","北海市","合浦县","廉州镇还珠南路小区9-2",21.661164,109.211776,21.667500,109.196536,1
"4505212013B04500","92dec672-0189-41a0-b08e-6bcd72850d76","广西壮族","北海市","合浦县","廉州镇定海南路（一中对面）",21.673118,109.204940,21.669150,109.194808,1
