electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"1401002010B01746","b8298af9-d3f0-49d6-88ea-5f33da9095a2","山西省","太原市","晋源区","晋祠路三段17号，董茹村以西、冶峪河以南",37.793343,112.501204,37.784504,112.489592,1
"1401052013B00127","fa6fa733-f3a4-4142-a18f-be8bf20b5058","山西省","太原市","小店区","太原经济技术开发区",37.741459,112.592634,37.734620,112.583744,1
"1401222013B00097","aabf5cb4-776d-4735-8739-b30ac6c09ddf","山西省","太原市","阳曲县","黄寨镇黄寨村",38.072543,112.676898,38.066060,112.658088,1
"1401212015B00149","a166f7dc-29b2-454a-8d56-f4b9f3d47c98","山西省","太原市","清徐县","清徐县马峪乡安家沟村",37.762745,112.336568,37.755684,112.330360,1
"1401002013B05358","d3a93981-7c36-4659-b360-cd505a218744","山西省","太原市","小店区","位于长风大街以北，狄村排污渠以东、西四路以西、太航小区以南",37.827563,112.580380,37.876244,112.495408,1
"1401002015B00058","84c15586-f0a6-4e86-9fff-6586696d4dc6","山西省","太原市","杏花岭区","山西省勘察设计研究院用地以北、敦化南路以西",37.889045,112.597569,37.882580,112.584808,1
"1401002013B05542","c3225c51-3026-44fc-9656-20ca9d072e10","山西省","太原市","晋源区","位于晋源区，东至南瓦窑村，南至武家寨村，西至五府营村，北至鹅归店村，",37.707897,112.524584,37.701952,112.504384,1
"1401002009B01024","19351c31-289f-44c5-bcde-d0d7bff50769CCC","山西省","太原市","尖草坪区","新兰路56号，新兰路以东，山西东方化工机械厂以西",37.969686,112.553346,37.988984,112.506992,1
"1401072013B00037","d549a924-9cc4-4022-b1ac-4d6f220969d5","山西省","太原市","杏花岭区","五龙口街以北、东山热源厂以南、太行路及30米绿化带以东、龙兴和顺用地以西",37.871023,112.604450,37.864700,112.596896,1
"1401222010B00049","b2cda6f2-21ff-409f-a245-1d7a778aafc1","山西省","太原市","阳曲县","县城新安东街",38.067472,112.688223,37.870044,112.544344,1
"1401052008B00179","a5b0e0bc-3711-4a16-afe4-4c79495feac0","山西省","太原市","小店区","太原高新技术开发区",37.809639,112.566783,37.870044,112.544344,1
"1401002015B00367","48b9e98a-7a91-439e-8e11-2035b1f8f887","山西省","太原市","小店区","位于南客站片区，四至：太榆路以东、许坦东街以南、铁路线以西",37.807207,112.619417,37.855592,112.465120,1
"1401002009B00298","b0906cc4-20bd-445a-a3f4-5099059e4b09","山西省","太原市","尖草坪区","尖草坪区柴村希望西街15号尖草坪区畜牧办以南、尖草坪区房管所以西、本单位用地以北、以东",37.942438,112.491444,37.936540,112.481408,1
"1401002014B07181","5d6a62ff-26a6-4260-80eb-f0ac55646caa","山西省","太原市","杏花岭区","赵庄新村，滨河东路以东、龙康街以南",37.878884,112.546272,37.870720,112.533216,1
"1401002009B00379","3b8ca990-daba-4630-8d6a-2c3708615a49CCC","山西省","太原市","万柏林区","和平南路以东、义井北街以南、义井北一条以西太化公司、裕仙酒楼以北",37.822750,112.513607,37.824600,112.502112,1
"1401002013B06125","774282c7-4eb7-4eb4-b5c6-467c7556bf43","山西省","太原市","杏花岭区","位于太原新绿洲商贸有限公司以西、以南，五龙口街以北，太原市晋太房地产开发公司以东",37.879026,112.597408,37.864700,112.596896,1
"1401222014B00368","10d86ca7-9c5b-422e-a76f-da9c4ea57604","山西省","太原市","阳曲县","黄寨镇城晋驿村",38.097637,112.720280,38.091100,112.707240,1
"1401222014B00092","674443c8-10b4-4f82-9d60-780083f6b004","山西省","太原市","清徐县","县城大运路302公里处",37.521620,112.466493,37.759592,112.647464,1
"1401222012B00197","95bd32f6-90f7-424b-8139-c51a2a99ee47","山西省","太原市","阳曲县","大盂镇李家沟村",38.169494,112.747758,38.163216,112.734584,1
"1401002016B00757","f454486b-e0af-4aed-b252-ce052d9bbf09","山西省","太原市","小店区","位于学府街以南、太行路以西、规划路以东、以北",37.813958,112.574684,37.807188,112.561480,1
"1401002014B06961","33e911a4-1a33-4ad6-8e78-eec7b2905aa2","山西省","太原市","杏花岭区","位于北河湾以东、太铁宿舍以南、省肿瘤医院以西、太原市物资回收利用总公司享堂分公司以北",37.891863,112.606073,37.885708,112.593360,1
"1401812011B00079","e9e3d357-b726-4265-b7ae-b1a3deed9601","山西省","太原市","古交市","古交市滨河南路北侧、污水处理厂南侧、东曲街道办事处东侧",37.924366,112.209973,37.902500,112.173248,1
"1401002014B07370","8759334f-7f60-4db8-b39d-31668760531e","山西省","太原市","万柏林区","玉门河以南，前进路以西",37.872475,112.526918,37.929300,112.484592,1
"1401222008B00078","175ed0cb-8ac7-442a-bb05-5f4f77bcad24","山西省","太原市","阳曲县","高村乡马坡村",38.147247,112.718074,37.994664,112.555848,1
"1401212014B00057","4f8e8449-7df6-4df7-82dc-a31ff5dcc29d","山西省","太原市","清徐县","清徐县东湖街办南营留工贸公司",37.613067,112.364558,37.594348,112.339320,1
"1401082016B00052","1bacbfee-6267-414f-b777-6ed7ee14ef13","山西省","太原市","尖草坪区","横河北街以东，阳兴南街以西",37.991719,112.575383,37.870044,112.544344,1
"1401212011B00066","ab865f9c-a507-4d65-a3ae-6bc9dfc17ea5","山西省","太原市","清徐县","清徐县徐沟镇南宜武村",37.519614,112.483598,37.512980,112.470520,1
