electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4111002016B00970","09096f0f-bd73-4477-8f2d-8df7a1992f9d","河南省","漯河市","源汇区","漯河市源汇区文化路小学2号家属楼601室",33.567819,114.038464,33.574000,113.978312,1
"4111002013B02956","ba723665-901b-4584-a77a-4335a8112f84","河南省","漯河市","郾城区","郾城区井冈山路舒漫沙田莱茵风景南区40号楼4单元308室",33.608974,114.004612,33.606000,113.986544,1
"4111222015B00321","0a34108b-ddbf-4cdf-aaa8-4ca283596816","河南省","漯河市","临颍县","新华渠东侧、豫鑫磷肥有限公司南侧",33.796305,113.958454,33.585000,114.038000,1
"4111222015A00640","10577bca-f668-4235-b679-03cb8ab3e000","河南省","漯河市","临颍县","产业集聚区颍川大道南侧",33.832339,113.949558,33.572972,114.119768,1
"4111002013B00907","d98e2a2c-a44b-42b5-a08b-3cb486b00fab","河南省","漯河市","郾城区","漯河三五一五皮革皮鞋厂29#楼101室",33.587711,114.023421,33.558304,114.043208,1
"4111002013B00914","7855a820-e105-424f-bb0e-bcedb31a0c37","河南省","漯河市","郾城区","祁山路中级人民法院2#家属楼604室",33.597661,114.025663,33.592448,114.013520,1
"4111222008B00056","20ff479e-ca93-4a53-829c-5503aa9318b2","河南省","漯河市","临颍县","铁西颍青路北侧",33.815861,113.935285,33.811772,113.922512,1
"4111002011B02095","0961dfd9-3fcd-4246-8322-2d765e0a2c3b","河南省","漯河市","源汇区","太行山路西侧",33.564922,114.012128,33.576128,113.998880,1
"4111002008B00103","89482165-aa16-4d15-a30a-04988a4f5f6b","河南省","漯河市","郾城区","长江路",33.576657,113.986504,33.572260,113.984592,1
"4111222013B00322-1","314e6c26-9f5f-4af0-8755-f81bb85231ae","河南省","漯河市","临颍县","颍川大道南侧、新城路东侧",33.829291,113.942595,33.810348,113.930296,1
"4111212013B00364","a0afede8-4cf7-483a-952c-8ca6f04cec7f","河南省","漯河市","舞阳县","县城南大街西侧",33.436453,113.605088,33.582992,114.010904,1
"4111002015B05045","6b15acbf-87f4-43f4-8bdb-1696132e6894","河南省","漯河市","郾城区","郾城区井冈山路北段沙田莱茵风景42E号楼2单元604室",33.611241,113.999642,33.606000,113.986544,1
"4111002017B07608","aef7baa2-654a-4da1-ab64-d7df18d1a878","河南省","漯河市","郾城区","漯河市郾城区老107国道西侧沙田莱茵风景35A#楼1单元102号",33.611241,113.999642,33.606000,113.986544,1
