electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4451222013B00207","408414b9-756d-4527-a730-e30cff7af501","广东省","潮州市","饶平县","饶平县黄冈镇南门居委可溪寮新四巷47号",23.672020,117.012021,23.668816,116.992944,1
"4451212014B00267-4","ac0cdde6-fabe-46d8-8f79-a421d002e57e","广东省","潮州市","潮安县","潮安区东山湖特色产业基地",23.498462,116.600214,23.651070,116.622552,1
"4451222010B01458","304c2e0a-2e73-457a-90d6-b7610078fb72","广东省","潮州市","饶平县","饶平县黄冈镇红光居委菜园下二横6号之一",23.679203,117.013964,23.668240,117.000848,1
"4451222010B01442","1b086ec0-9bce-464d-bedf-5b7f41f8f12a","广东省","潮州市","饶平县","饶平县黄冈镇上林居委水尾港西十三横1号",23.672020,117.012021,23.683350,116.993368,1
"4451222013B00276","7b2e2b69-b49d-4f05-b8c4-f9f3be01ef13","广东省","潮州市","饶平县","饶平县黄冈镇河南居委广场南中段七巷19号",23.846633,117.010131,23.668240,117.000848,1
"4451002009A00013","4dcf47ef-cf37-458d-90ff-a2af1d67e2e9","广东省","潮州市","湘桥区","笔架山后原东湖坑尾水库旁(东湖西路西侧)",23.668761,116.668768,23.666438,116.661144,1
"4451222015B01077","1f68941b-86d2-4abb-b4db-3fac97a89765","广东省","潮州市","饶平县","黄冈镇可溪寮新三巷75号",23.672572,117.004079,23.668816,116.992944,1
"4451222008B00020","9bc05c76-9de9-41c6-9dab-9ef4aaabfeea","广东省","潮州市","饶平县","黄冈镇居委门中山路四狮亭巷3号",23.674152,117.011631,23.672692,116.642944,1
"4451222011B00325","f9084f56-8f5c-4135-b639-b5d6243256e9","广东省","潮州市","饶平县","饶平县黄冈镇许厝园新区四横5号",23.672020,117.012021,23.668240,117.000848,1
"4451002012B00316","197e9314-45f1-4f19-a068-f0359f3f7512","广东省","潮州市","潮安县","潮州市区彩虹东路与南较西路交叉口西侧",23.656201,116.626065,23.659450,116.618608,1
