electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4509242009A00037","d982f7fb-dfb5-47e8-82eb-cff663f9d182","广西壮族","玉林市","兴业县","兴业县石南镇七团村牛麻垌",22.743479,109.883246,22.740956,109.872440,1
"4509812009A00517","610948f7-c231-40b5-a52e-05f8371a9f91C","广西壮族","玉林市","北流市","清湖路9号（原农机公司用地）",22.724020,110.359039,22.639062,110.160008,1
"4509222009B00286","b6a6b6e7-a715-4921-bd3e-e1a5e9628db6","广西壮族","玉林市","陆川县","陆川县城万丈村付龙塘队",22.313366,110.264092,22.311780,110.252224,1
"4509812010B00439","0dd54ce2-55d3-43fa-9163-d4f874d48baa","广西壮族","玉林市","北流市","北流市六靖镇六靖村",22.261757,110.541307,22.256850,110.529248,1
"4509232010B01015","bdd6667b-e385-4026-aa2e-737fc2d83861","广西壮族","玉林市","博白县","博白县顿谷镇博海路031号",22.163874,109.781937,22.137310,109.787136,1
"4509222017B00700","b24bfedf-678c-4124-bdb4-9bb7549baa55","广西壮族","玉林市","陆川县","陆川县米场镇米场新街公路边",22.433880,110.259255,22.403990,110.255080,1
"4509232015B00545","21e81918-c7da-4620-8224-8a8f29278add","广西壮族","玉林市","博白县","博白县博白镇人民南路五里庙(原县物资局煤场)",22.247114,109.985763,22.248910,109.975440,1
"4509002012A00138","09de861a-ed71-4050-b47a-bb97eef260c0","广西壮族","玉林市","玉州区","玉林市玉东新区玉东大道西北侧",22.662983,110.216160,22.650370,110.183760,1
"4509232009B00140","3c4aa140-f420-47f5-9360-f9114fe8a64f","广西壮族","玉林市","博白县","博白镇人民南路(马头岭)",22.235979,109.979111,22.221384,109.960720,1
"4509002008B00271","80de91b6-2270-409d-813a-dd0abbe49218","广西壮族","玉林市","玉州区","玉林市江南区上曲轭塘村西侧，玉林市江南区南流江南侧、金港路西侧",22.601278,110.090173,0.000000,0.000000,1
"4509222008B00072","fefd1fe2-61dd-49bb-9750-74adef48d760","广西壮族","玉林市","陆川县","陆川县城三峰中路",22.316410,110.266826,22.313146,110.255816,1
"4509812008B00498","d21b9a5e-dbdb-4623-bcfd-4193d8b3d9cb","广西壮族","玉林市","北流市","六靖镇镇南村北宝二级公路西侧",22.277006,110.563674,22.274130,110.552840,1
"4509242011B00150","8bea8bbd-99d1-4b6c-8a83-55a8800bb479","广西壮族","玉林市","兴业县","兴业县大平山工业区（大平山镇大苏村路口）",22.665734,110.000559,22.661868,109.996768,1
"4509212012B00029","9a5c7d33-648e-4ce9-bdd0-2f13d534ce86","广西壮族","玉林市","北流市","容州镇平坡村",22.599010,110.266495,22.422958,110.198600,1
"4509002012A00097","dae22340-2705-4ed1-b772-7105a9d511e2","广西壮族","玉林市","玉州区","玉林市玉东新区阳光路与金榜路交叉口西北侧",22.662983,110.216160,22.650370,110.183760,1
"4509232013B00475","2faa575c-4cc0-41ae-894a-9ac401eb290f","广西壮族","玉林市","博白县","博白县英桥镇桥东路",21.931108,110.041447,21.901200,110.074240,1
"4509812016B00265","06589c27-139b-4279-af10-6e1df5718160","广西壮族","玉林市","北流市","城北区二环北路北面（原虎威公司用地）",22.732667,110.362483,22.729200,110.350544,1
"4509812017A00730","4bc5233d-6879-4242-ac28-71f6e7729e7c","广西壮族","玉林市","北流市","塘岸镇长塘村",22.639664,110.325097,22.636620,110.314104,1
"4509242011B00118","c00557b9-7284-428d-9583-d59d2be1c772","广西壮族","玉林市","兴业县","兴业县大平山工业区（大平山镇大苏村路口）",22.665734,110.000559,22.661868,109.996768,1
"4509232010B00097","89a690f2-9886-44b6-8cc0-d8be7abc4739","广西壮族","玉林市","博白县","博白县文地工业园",22.278675,109.982553,21.944008,110.191976,1
"4509232010B00086","fcbf0bf5-f327-4566-93ee-14290da9fa2bC","广西壮族","玉林市","博白县","博白镇城东工业园16号地",22.284831,110.007993,22.271128,109.986872,1
"4509222014B00519","1fbc5745-afb6-4668-bc63-0838fe509ab6","广西壮族","玉林市","陆川县","陆川县温泉镇中屯村",22.309686,110.249380,22.304272,110.243688,1
"4509002014B00370","5316c9af-46fc-4a30-8bcb-df007778f558","广西壮族","玉林市","玉州区","玉林经济开发区，纵二路与横四路交叉口东南侧",22.649041,110.205171,22.643734,110.160160,1
"4509002014B00190","b7d7c7ec-3659-4ada-8217-246d73d898ee","广西壮族","玉林市","玉州区","南江镇岭塘村",22.598077,110.188612,22.591308,110.181504,1
"4509812016B00304","456389c2-6bf8-49e3-bb2b-0806ab64cbca","广西壮族","玉林市","玉州区","市人民医院三门诊所西面",22.659831,110.188453,22.707750,110.339072,1
"4509002014A00650","dd5a7f68-ada0-4cb5-9d09-dc432cfb3125","广西壮族","玉林市","玉州区","玉东新区文体路南侧、玉东第一小学东北侧",22.668836,110.200828,22.650370,110.183760,1
"4509232010B00331","d5cb29ba-f2ee-4609-b2ff-b2fdebfff92f","广西壮族","玉林市","博白县","宁潭镇兴宁路068号",22.026647,110.137423,22.022700,110.128384,1
"4509222009B00212","4905befe-7bf8-4a92-a8a5-784172065f08C","广西壮族","玉林市","陆川县","陆川县城通政路北、政府大门西",22.327222,110.270456,22.044446,110.226304,1
"4509812013B00516","e44b4d28-6ab5-479d-a050-b8b8282ad1cb","广西壮族","玉林市","北流市","北流市岑兴高速公路引道与民乐至西埌公路交汇东南面",22.793099,110.318144,22.792028,110.320280,1
"4509002010B00458","9cfb2df8-002b-4495-afe3-ca70313e6fcd","广西壮族","玉林市","玉州区","玉林市福绵管理区福绵镇天河西路两侧地块三",22.579188,109.999899,22.609514,110.031752,1
"4509002016B00196","2316c009-6d07-447f-970c-4053559f7c0b","广西壮族","玉林市","玉州区","玉林市人民东路735号",22.639744,110.163580,22.641200,110.166992,1
"4509232010B00914","fbae8afa-9e5e-4b1b-8b21-0a7a3c96f698","广西壮族","玉林市","博白县","博白镇博龙花园城(粮油批发市场)",22.297754,110.004915,22.264420,109.975616,1
"4509812009B00279","4d8d80ec-7a60-45f4-8a00-af99bebd4d7fC","广西壮族","玉林市","北流市","北流市北流镇甘村玉容一级公路边",22.698696,110.326616,22.695658,110.315584,1
"4509222016B00634","ec7f88f8-3e88-402d-88c2-83a0c04f774f","广西壮族","玉林市","陆川县","陆川县横山镇稔坡村地块B06-05",22.213222,110.158104,22.237960,110.160976,1
"4509222016B00611","d80f2f4e-dd65-457c-be0e-94abc084e420","广西壮族","玉林市","陆川县","陆川县良田镇良田街地块北B-2-01",22.048349,110.233763,22.045662,110.222760,1
"4509222016B00526","59ce9aea-9bae-48f5-a6b0-572344b68caf","广西壮族","玉林市","陆川县","陆川县珊罗镇六燕村A－1地块",22.567473,110.186658,22.563496,110.185856,1
"4509232010B00734","92ae4fd1-1322-46c1-830b-1b39dbca5503","广西壮族","玉林市","博白县","博白县那卜镇东路019号",21.869384,109.918267,21.852820,109.916800,1
"4509812013B00409","25f8f13c-2d39-40de-9dce-78761a6a3725","广西壮族","玉林市","北流市","北流市城区新芝路0082号",22.711767,110.358120,22.709294,110.346776,1
"4509222014B00209","b281cbe7-1d27-4032-bfbc-07d6614293d7","广西壮族","玉林市","陆川县","陆川县温泉镇三峰东路以南",22.316296,110.277880,22.311818,110.266880,1
"4509242014B00222","7968cb1e-36a9-4047-a251-bc82af1c9b63","广西壮族","玉林市","兴业县","兴业县玉贵路东侧",22.745809,109.892943,22.739394,109.870960,1
"4509002011A00609","ce55f64e-cc33-4efc-b021-fcf669cac757","广西壮族","玉林市","玉州区","玉林市玉福路南面、玉公公路西面",22.609015,110.096343,22.270254,109.770304,1
"4509242016B00091","29d5aff1-3e2a-4279-baa7-4a17e8876418","广西壮族","玉林市","兴业县","兴业县沙塘镇镇区",22.930944,109.892931,22.923734,109.863592,1
"4509242014B00111","40b1519e-2001-4b1a-8c02-c43ede2f923e","广西壮族","玉林市","兴业县","兴业县城隍镇工业园区",22.631077,109.736709,22.602930,109.739704,1
"4509222014B00136-2","6bce8f64-8347-4a96-b913-c3d684b3b445","广西壮族","玉林市","陆川县","陆川县",22.327222,110.270456,22.323965,110.259757,1
"4509232011B00457","bf4cda4c-7c34-4dab-a809-4f2637982717","广西壮族","玉林市","博白县","博白县城区城东鹤木岭",22.278675,109.982553,22.276004,109.971992,1
