electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"1303002013B00635","98d601a6-9bd7-4ccf-a99f-e34d7c76c35d","河北省","秦皇岛市","海港区","开发区西区碧海道以南、祖山路以东",39.924487,119.471064,39.801572,119.436264,1
"1303212013B00854","55f0571d-8485-4338-afaf-9e2cda218433","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县肖营子镇温泉村",40.284811,118.830287,40.201976,118.824088,1
"1303002012B01727","c69a5fe1-5850-41d5-8ed4-7d84651fe9b7","河北省","秦皇岛市","海港区","海港区开滦路两侧及现状解放里、缸砖里、煤场小区等",39.932736,119.616064,39.925628,119.603816,1
"1303002012B02097","15078777-663d-41a2-8fe8-d1573cb97ea6","河北省","秦皇岛市","山海关区","山海关区关城西路以西、网通公司以北、古城西侧",40.006825,119.759973,40.003748,119.747400,1
"1303002012B02074","83d5bb69-2f4c-443e-b085-d873a483e545","河北省","秦皇岛市","海港区","海港区和平大街南侧原秦皇岛玻璃工业研究设计院",39.940106,119.585741,39.953352,119.601840,1
"1303042016B00045","ec0d1b35-7261-410c-b247-6303273b4048","河北省","秦皇岛市","北戴河区","戴河一号路以东、戴河二号路以西、规划支路九以南",39.820914,119.427568,39.813288,119.414816,1
"1303212012B00229","1a567f0e-c211-40d8-ab08-26801c7a108b","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县双山子镇双山子村",40.373728,119.205770,40.327960,119.170200,1
"1303242013B00691-1","1c7d4162-f562-44b1-a6b4-a67433132ee7","河北省","秦皇岛市","卢龙县","卢龙县石门镇武山路东侧、规划路西侧、云居大街北侧",39.783233,118.853027,39.735592,118.848320,1
"1303032013A00243","537e85c7-72ba-4a33-9c7d-8a752f8d32bc","河北省","秦皇岛市","山海关区","石河一期开发地块周边",40.002310,119.748637,39.934316,119.594880,1
"1303222013B00018-1","8b7ecff2-849b-4e20-8339-63cc976c1bc6","河北省","秦皇岛市","海港区","规划东山路西侧、东沙河支流南侧",39.924480,119.633506,40.400936,118.953248,1
"1303242008B00220-1","f73226cc-75e5-46f1-89a8-cb76c8e04ccdA","河北省","秦皇岛市","卢龙县","卢龙县城自强路西侧",39.900212,118.901345,39.893196,118.888936,1
"1303242014B00077","641506cb-4b07-4ef8-8ff5-95b450060b80","河北省","秦皇岛市","卢龙县","卢龙县县城龙城路东侧、规划支路北侧",39.908038,118.900712,39.885512,118.883760,1
"1303002017B01020","3ef76902-934d-4cbe-a004-f71faebc29a0","河北省","秦皇岛市","昌黎县","滨海新大道D3段以西，锦绣二路以东，前程四街以南，前程大街以北",39.715731,119.330369,39.934316,119.594880,1
"1303002010B00620","1c227e26-e035-420a-b0bc-d62f23371756","河北省","秦皇岛市","海港区","开发区珠江道以东",39.931774,119.541406,39.923932,119.550512,1
"1303242017A00405","a0a6035d-4761-49f1-9c49-1892922a62bd","河北省","秦皇岛市","卢龙县","卢龙县石门镇阳山区域",39.783233,118.853027,39.840908,118.939832,1
"1303242017A00275","98c7a365-2f9c-4ea4-938a-a68e66b43c38","河北省","秦皇岛市","卢龙县","卢龙县石门镇阳山区域",39.783233,118.853027,39.840908,118.939832,1
"1303242014B00174-2","786abf84-b9ce-41cd-93e9-e1ad0bc5257f","河北省","秦皇岛市","卢龙县","卢龙县城泰和路西侧",39.897958,118.899489,39.891880,118.861976,1
"1303002008B01258","de9c17f6-9a21-444d-a740-f137392480fe","河北省","秦皇岛市","海港区","海港区",39.940413,119.617475,39.933338,119.604749,1
"1303222011B00437","75c77cc7-82a2-4442-9397-44f3319d796e","河北省","秦皇岛市","昌黎县","昌黎县朱各庄镇小樊各庄村",39.726144,118.832237,39.760796,118.782224,1
"1303242011B00255","0d2c4c2b-f6f6-4da0-b60a-c0aec20aafeb","河北省","秦皇岛市","卢龙县","石门镇205国道南侧，武山路（原石门街路）东侧",39.783233,118.853027,39.731264,118.844656,1
"1303212011B00063","7bc14313-f89a-46b7-ace5-e2df5fd53a46","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县马圈子镇杨丈子村",40.489657,119.072877,40.406236,118.944008,1
"1303212011B00082","3f2d18b1-ea1e-4028-a85a-c2ef232a0449","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县祖山镇牛心山村",40.233978,119.445420,40.225092,119.430104,1
"1303002011B00156","780f3459-2368-49a8-b1fb-1a0657e35c9c","河北省","秦皇岛市","山海关区","横三路以北、纵四路以东、横一路以南，疏港路以西",40.031456,119.830554,39.934316,119.594880,1
"1303002015B00058","e47033f4-03ea-41b9-b7c6-22627952c160","河北省","秦皇岛市","海港区","海港区文化路368号",39.954862,119.607311,39.947912,119.595008,1
"1303002009B00549","d63943e1-dbad-472c-9e7b-5f0b617e0268CC","河北省","秦皇岛市","海港区","北港大街以南、民族北路以西",39.982040,119.583863,39.993968,119.599128,1
"1303212010B00655","9837e9b0-113c-49aa-9e34-2115c0607fc1","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县青龙镇湾杖子村",40.441001,119.002343,40.434376,118.993152,1
"1303002008B01900","db69f657-a422-4da9-be13-6804e50c3b2e","河北省","秦皇岛市","海港区","海港区",39.940413,119.617475,39.933338,119.604749,1
"1303232014B00411","187ef6ca-328f-4f05-baa1-0f1ed91b6141","河北省","秦皇岛市","抚宁县","南戴河一小区",39.775364,119.395365,39.733344,119.344552,1
"1303002010B00218","4cf38a2d-7a59-4875-9e50-9d8b4f1323cb","河北省","秦皇岛市","海港区","海港区海阳路109号",39.940701,119.600296,39.937996,119.610096,1
"1303022013B00050","7d2bee71-bd56-472a-81bb-c89a07d20b3d","河北省","秦皇岛市","海港区","北部工业区耀华南路以北、无极灯产业化项目以东、一重机械项目以南",39.941748,119.608531,39.962700,119.565392,1
"1303222009B00249","2007b2b1-3fa2-4e56-b34e-e374bb22be2a","河北省","秦皇岛市","昌黎县","昌黎县两山乡河西张各庄村、昌抚公路西侧",39.794995,119.213092,39.787948,119.200344,1
"1303232016B00285","da1068a7-613a-42e3-970a-8a08c60df194","河北省","秦皇岛市","抚宁县","金山大街北侧，富强路东侧",39.880401,119.256280,39.873252,119.243568,1
"1303212011B00237","66ed6ae2-031b-4291-acda-f7e4d9216861","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县青龙镇三杈榆树村",40.413822,118.966119,40.404632,118.964904,1
"1303212011B00588","9d25f3e3-8a63-4ec0-b668-da4a2d1f3701","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县双山子镇双山子村",40.373728,119.205770,40.327960,119.170200,1
"1303222014A00725","d3eb73b4-b777-467e-8044-7cda103e4b12","河北省","秦皇岛市","昌黎县","刘台庄镇小滩东村",39.555710,119.203103,39.508156,119.158496,1
"1303222010B00580-2","78d57b38-24c5-4ffd-bd18-fd316a37a687","河北省","秦皇岛市","昌黎县","碣阳大街南、源影寺路东侧、规划支路西侧",39.713982,119.165535,39.712548,119.157136,1
"1303222013B01022","a7c0afff-10e0-4976-af08-b20023852b66","河北省","秦皇岛市","昌黎县","十里铺乡灵芝顶村东、昌卢公路东侧",39.757219,119.110485,39.848260,119.516048,1
"1303212013B00081","872d8240-3b49-4441-9465-f3f068e5b5a2","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县朱丈子乡朱杖子村",40.366878,119.066184,40.360112,119.052992,1
"1303032013A00319","e82d5dc5-daa9-47b4-9698-1968cc6ce092","河北省","秦皇岛市","山海关区","关门口",40.021750,119.773207,40.011416,119.762816,1
"1303002008B01372","929611da-9eb0-4d98-bc82-c493ab66bedf","河北省","秦皇岛市","海港区","海港区海阳路",39.953887,119.575459,39.945612,119.590152,1
"1303002010B01387","f990bd8c-a217-4c18-9f6d-d9f5b03e0c72","河北省","秦皇岛市","海港区","海港区北港镇缪庄村",40.021917,119.610981,39.976752,119.550008,1
"1303222015B00093","f43e5c0c-eda7-43e0-a00a-fc9598052dd3","河北省","秦皇岛市","昌黎县","燕山路以西、金海大街西延伸段以南",39.710048,119.169388,39.696508,119.150584,1
"1303232011B00042","1cb501cf-e4d5-4aa6-916d-365574b2b8d7","河北省","秦皇岛市","抚宁县","秦青公路西侧石门寨镇政府南侧",40.096284,119.614433,39.969392,119.544560,1
"1303002009B00709","2c4ebc56-5c18-4a85-80d4-82b09ee1d0c6","河北省","秦皇岛市","海港区","海港区北部工业区",39.940413,119.617475,39.971308,119.575504,1
"1303002013B00078","9ac617d1-0187-4964-9c73-ebb7d72d6bb8","河北省","秦皇岛市","海港区","文体路10号",39.920862,119.576881,39.914268,119.553144,1
"1303002013B01213-1","5780e78c-d289-4585-8154-4f5eddb7f444","河北省","秦皇岛市","海港区","北部工业区民族北路以东、北港大街以北",39.991935,119.612246,39.993968,119.599128,1
"1303002009B00277","d62dc6fb-0cb7-4329-b1d4-38aee2958aca","河北省","秦皇岛市","海港区","红旗路262号",39.950560,119.594830,39.942108,119.582720,1
"1303212008B00208","f6bfe91a-19a0-4cef-8c4e-5ee991d4e4c0","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县凤凰山乡碾子沟村",40.357043,119.395742,40.331060,119.400496,1
"1303222008B00084","ba6ca90c-7a90-4e3b-b889-c8b8c04ddb08","河北省","秦皇岛市","昌黎县","二街兴昌里",39.718699,119.153555,39.710600,119.138672,1
"1303002013B01168","c8c91bb2-3af5-47c4-afb1-bf7ac9e84468","河北省","秦皇岛市","海港区","开发区西区渤海道以南、生金湖路以西",39.933533,119.541003,39.933992,119.601208,1
"1303242015B00105","38f7b262-4c59-47e3-af01-542d1063cace","河北省","秦皇岛市","卢龙县","卢龙县北环路北侧、东环路北延西侧",39.897958,118.899489,39.891880,118.861976,1
"1303222014B00126","eb60122c-aca5-475f-b9ee-3514587c2a92","河北省","秦皇岛市","昌黎县","昌黄公路北侧、葛条港村路东侧",39.710819,119.234635,39.704112,119.227616,1
"1303002010B00582","522171e2-6193-4f4e-85c3-0db0bcc4c0e2","河北省","秦皇岛市","海港区","开发区峨眉山路以西",39.933533,119.541003,39.937692,119.523800,1
"1303232011B00177","d913f91e-98d5-4dcd-9d0a-a3e792f83db7","河北省","秦皇岛市","抚宁县","茶棚乡曹东庄村",39.941124,119.173891,39.910880,119.158432,1
"1303222013B00447","ab65560a-c287-4ac9-8191-dcab2af1605f","河北省","秦皇岛市","昌黎县","两山乡后两山村北侧、青乐公路西侧",39.755419,119.205875,39.748256,119.193120,1
"1303212013B00882","85441bdb-a4cd-4a24-a04f-ff8b5f7b9d7e","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县大巫岚镇核桃沟村",40.444674,119.266756,40.437120,119.254120,1
"1303212013B00896","1a8b3dae-d350-4790-9f1c-8fc7bf5fa26c","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县娄丈子镇丁丈子村",40.344190,118.786882,40.403464,118.941672,1
"1303212012B00077","0defcf74-6af6-4778-adfe-71df384b80a5","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县青龙镇金源北街东侧",40.410262,118.961513,40.406236,118.944008,1
"1303242014B00150","40065206-a96f-45be-b49d-7a4568540b47","河北省","秦皇岛市","卢龙县","卢龙县蛤泊乡安燕公路东侧",39.774556,119.019323,39.891880,118.861976,1
"1303212013B00648-2","143c4d17-71f4-4fad-b143-59e9d2f5c90e","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县逃军山村",40.423256,118.913816,40.415812,118.901504,1
"1303212012B00100-2","b47fd7e5-f2d5-4cc0-a5b8-2ab13b55cab3","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县青龙镇前庄村",40.417351,118.996569,40.407676,118.989536,1
"1303022018B00242","166d86b8-c596-4db9-927a-39c774c53a6d","河北省","秦皇岛市","海港区","兴民街防护绿地以北、规划路以西、规划路以南",39.941748,119.608531,39.955480,119.571800,1
"1303242014B00112","c6d16a09-d21f-4fa6-926f-656dcc88bac4","河北省","秦皇岛市","卢龙县","卢龙县石门镇秦西工业园内规划路西侧",39.783233,118.853027,39.729292,118.845400,1
"1303242017A00460","e7219d1b-15f3-47b9-a084-6884e767c807","河北省","秦皇岛市","卢龙县","卢龙县永旺大街北侧、肥子路西侧",39.905074,118.897206,39.891880,118.861976,1
"1303222015B00134","0aafc16d-8b3b-471f-882e-ccffb200203f","河北省","秦皇岛市","昌黎县","靖安镇陈庄子村、蛇刘公路东侧",39.610549,118.899575,39.834256,118.853608,1
"1303002015A00395","be131194-8013-4c97-a525-f759bfa5f3ca","河北省","秦皇岛市","海港区","海港区车站路以北、站西路以西",39.935648,119.603636,39.927528,119.591296,1
"1303212012B00347","2fb9f547-b14a-4b41-90e6-cf858333f66e","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县大巫岚镇罗杖子村",40.424779,119.228964,40.421588,119.224224,1
"1303002010B01604","4e59de78-1891-4a5f-aeb2-eeec474f7fca","河北省","秦皇岛市","海港区","民族路6号",39.941913,119.614852,39.934316,119.594880,1
"1303002013B01306","3b1bc20d-d274-4f5e-a1f5-04432e0e2de2","河北省","秦皇岛市","山海关区","山海关区关城东路东",40.013078,119.777181,40.008200,119.767040,1
"1303002010B01193","73f0b27c-4003-45e9-bb58-ed2bd42997cb","河北省","秦皇岛市","海港区","开发区黄河道以北",39.944196,119.538396,39.939008,119.526368,1
"1303222011B00053","6f7b1515-6845-4d84-ae05-9be5985fc09f","河北省","秦皇岛市","海港区","昌黄公路南侧、原西王庄小区地块",39.941748,119.608531,39.684248,119.249400,1
"1303002010B00865","3ab3f290-2528-47c1-9857-79e34cdc76de","河北省","秦皇岛市","海港区","海港区东港路250号",39.939807,119.631946,39.915920,119.619072,1
"1303002008A01556","b5b16355-9f43-4ac1-b191-4626507911ca","河北省","秦皇岛市","海港区","经文路（河北大街至文生街）",39.930165,119.560771,39.929728,119.601808,1
"1303002008B01172","5ddb109e-1f46-43f7-b067-66bbece9e4f2","河北省","秦皇岛市","海港区","海港区",39.940413,119.617475,39.933338,119.604749,1
"1303222012B00014","93b0ae83-3b4d-4923-9b35-0de573fde9e0","河北省","秦皇岛市","昌黎县","八里庄村南侧、八里庄小学北侧、规划支路西侧",39.730706,119.207288,39.724800,119.201016,1
"1303232012B00427","0aa9ae15-27c5-470b-ae02-3c0604fb611e","河北省","秦皇岛市","抚宁县","抚宁县抚宁镇",39.894914,119.243994,39.884672,119.230160,1
"1303222012B00455","9874fc87-c557-40bd-bd37-47bf9671a707","河北省","秦皇岛市","昌黎县","昌黎县荒佃庄镇荒佃庄村东",39.526919,119.078954,39.528820,119.080328,1
"1303222010B00497","31e5dd38-d63d-45ff-9707-20b3cdf2b30f","河北省","秦皇岛市","昌黎县","大蒲河镇大蒲河村西昌黄公路北侧",39.719315,119.303178,39.679808,119.289584,1
"1303222009B00653","9cc1af8b-f9e1-4160-a1a6-38547bc6c1e9","河北省","秦皇岛市","昌黎县","团林乡赤洋口三村",39.654263,119.280248,39.647912,119.273864,1
"1303222009B00306","7a082ceb-f282-4fad-a6c0-6f2ba4774618","河北省","秦皇岛市","昌黎县","杏树园村",39.742172,119.161828,39.740340,119.149016,1
"1303002009B00607","cd7d58ab-b2b6-4812-b622-e7a9c80b601d","河北省","秦皇岛市","海港区","西港区",39.941748,119.608531,39.934316,119.594880,1
"1303222009B00324","c5aa91f8-1521-471a-aa8b-4da306e45d1b","河北省","秦皇岛市","昌黎县","四街昌金里",39.710095,119.185635,39.701300,119.173112,1
"1303042016B00062","72956240-ce92-4cc5-8cd8-8cc0659896ac","河北省","秦皇岛市","北戴河区","站南大街以南、戴河二号路以东、戴河次干路三以西",39.856868,119.435705,39.849348,119.413800,1
"1303242011B00123","2df9350b-5a4c-495e-9493-89ac5b2de209","河北省","秦皇岛市","卢龙县","肥子路东侧、永盛大街南侧",39.904009,118.892099,39.934316,119.594880,1
"1303232008B00095","a8c36b09-0a1e-4c50-a531-306160187dfd","河北省","秦皇岛市","抚宁县","抚宁县石门寨镇",40.083416,119.613124,40.120812,119.584904,1
"1303232010B00036","199b058e-f12a-45a3-bbbd-b0a7d267d6e7CC","河北省","秦皇岛市","抚宁县","抚宁县抚宁镇",39.894914,119.243994,39.884672,119.230160,1
"1303042011A00151","d7fe3c50-faa5-47ea-b0a1-a1b2858b3b67","河北省","秦皇岛市","北戴河区","海北路以东",39.839432,119.427932,39.832824,119.416288,1
"1303002013B00316","77d12b35-a4d1-4048-9d48-35165ccca888","河北省","秦皇岛市","海港区","开发区西区龙海道以北",39.933533,119.541003,39.923284,119.457592,1
"1303222012A00285","475afdbc-1381-4e26-a715-566222e43bb4","河北省","秦皇岛市","昌黎县","昌黎县大浦河镇小蒲河村西、昌黄公路北侧",39.766433,119.286367,39.684568,119.250552,1
"1303222014B00306","a1556bc5-9e34-4b58-8e75-7e9be90770dc","河北省","秦皇岛市","昌黎县","马坨店乡马坨店村、高速连接线北侧、昌新公路东侧",39.609431,119.056536,39.612684,119.043408,1
"1303002012B02268-1","3f5a2e73-dc20-440e-9897-3efd72f88c57","河北省","秦皇岛市","海港区","海港区法云寺西路以东、205国道以北(原南大寺村旧改)",39.894629,119.508056,39.888472,119.494264,1
"1303212015B00203","7743738d-2a1f-4ec1-b99c-4e3f3664b3c8","河北省","秦皇岛市","青龙满族自治县","青龙镇广茶山村",40.399119,119.026070,40.395156,119.007008,1
"1303212011B00243","5d3ba328-7f26-4f94-93a8-04df27c586dd","河北省","秦皇岛市","抚宁县","青龙镇迎宾路中段改造一期北侧、服务南街东西两侧",39.894484,119.254909,39.954268,119.587096,1
"1303212011B00227","21cbd84a-4930-4ca1-ad22-7254689855d7","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县青龙镇燕山路东段路北",40.415136,118.975848,40.404372,118.944528,1
"1303002012B01719","afdb5320-f141-4ae9-978e-e1c92c1e1611","河北省","秦皇岛市","海港区","海港区开滦路两侧及现状解放里、缸砖里、煤场小区等",39.932736,119.616064,39.925628,119.603816,1
"1303002008B02395","0414ffcc-92e2-4ac1-9428-2f163e5af36c","河北省","秦皇岛市","海港区","河北大街西段",39.920667,119.565963,39.910204,119.546808,1
"1303002012A02163","c5c4abe1-a04f-439f-bc94-0bb0a4ddda86","河北省","秦皇岛市","海港区","西环路以西、垃圾中转站以北",39.938847,119.556290,39.934004,119.544128,1
"1303002008B02310","55d31e93-9e31-45be-b333-46e93636eae0","河北省","秦皇岛市","海港区","海港区东港路东侧",39.947082,119.635881,39.968680,119.629896,1
"1303212012B00087","28c81edb-5781-4d90-81c5-a5a6dccb4846","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县青龙镇三杈榆树村、大丈子村",40.413822,118.966119,40.406668,118.953968,1
"1303222016B00590","f8d11912-7fd5-4724-8c73-e62732acaa4c","河北省","秦皇岛市","抚宁县","北戴河新区赤洋口片区，滨海新大道西侧、赤洋路北侧、文博街南侧",39.769830,119.395923,39.647912,119.273864,1
"1303212009B00031","b72fccf7-ff75-49a3-ad9d-c52570e7570f","河北省","秦皇岛市","青龙满族自治县","青龙满族自治县干沟乡干沟村",40.503366,119.515869,40.495560,119.503400,1
"1303222013B00661","a762b098-dfd3-4999-9552-650bdb683baf","河北省","秦皇岛市","昌黎县","张官庄村、昌黄公路南侧、规划东外环路东侧",39.721920,119.196079,39.701848,119.205344,1
"1303002008B00903","2ff38d38-c275-40d0-9fe5-a0bfbc48f158","河北省","秦皇岛市","海港区","东港路西侧",39.947082,119.635881,39.936368,119.621816,1
"1303002008B01655","8bb031ab-cfbf-49cb-9c10-567604eaf480","河北省","秦皇岛市","海港区","东港区",39.941748,119.608531,39.934313,119.594878,1
"1303002008B00186","0fe560fb-b379-483c-bb7a-d41f2eaa4db1","河北省","秦皇岛市","海港区","戊已港区",39.941748,119.608531,39.934316,119.594880,1
"1303002008B00078","6c94623d-0a45-4508-b791-9d6540515cf1","河北省","秦皇岛市","海港区","东港区",39.941748,119.608531,39.934313,119.594878,1
"1303002008B01126","2b0f71da-4997-49f9-8299-e430007a351e","河北省","秦皇岛市","海港区","光明路",39.927521,119.606921,39.920188,119.593560,1
"1303002008B02130","1cbf0041-7285-4e7f-a99f-73fdc9dbff65","河北省","秦皇岛市","海港区","海港区",39.940413,119.617475,39.933338,119.604749,1
"1303002008B01076","0f6fbf5c-9c14-4ec5-ae23-401dfa2aafbb","河北省","秦皇岛市","海港区","海港区",39.940413,119.617475,39.933338,119.604749,1
"1303002008B01117","c252a0a2-dfec-4dc8-82c0-e639eecd1fa0","河北省","秦皇岛市","海港区","海港区",39.940413,119.617475,39.933338,119.604749,1
"1303222014B00831","516efd51-d516-4225-bc90-77a991e9b04c","河北省","秦皇岛市","昌黎县","昌黎工业园区新开口大街北侧、笔锋山路西侧",39.588563,119.294052,39.733332,119.176120,1
"1303222014B00985","61aa1be7-73a7-4ed0-913e-ef91d5c158c9","河北省","秦皇岛市","卢龙县","安山镇后石庄205国道北",39.754782,118.956566,39.713752,118.991344,1
