electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4310212010B01180","af98188b-99c0-47da-b88e-5a0b0083c879","湖南省","郴州市","桂阳县","桂阳县城关镇环城西路培才岭",25.756627,112.737488,25.740432,112.724168,1
"4310002018B01366","d0387684-58d3-4faf-887f-84e91f58920b","湖南省","郴州市","北湖区","郴州市开发区涌泉小区22栋801房",25.771802,113.017194,25.769478,113.004216,1
"4310222013B00147","c1be2a86-7391-41a7-8d76-f2d2f575d870","湖南省","郴州市","宜章县","岩泉镇居民组",25.187055,112.912188,25.183820,112.900576,1
"4310232016B00427","e7c7c6e4-8ab9-4086-b488-6227e3775d47","湖南省","郴州市","永兴县","永兴县柏林工业园",26.132968,113.122533,26.132706,113.109784,1
"4310222014B03017","4064c74d-b19a-4f0c-84ca-b7e1cc921b6b","湖南省","郴州市","宜章县","玉溪镇文明南路（环保局内）",25.386999,112.948970,25.776210,113.034288,1
"4310212015B02006","0abe2172-53de-4fbd-81f5-e0130095b3d8","湖南省","郴州市","桂阳县","桂阳县鹿峰街道金叶路百花村",25.715637,112.739792,25.731860,112.726624,1
"4310222013B00109","abff8f79-4d20-4244-9e01-2b16e415c739","湖南省","郴州市","宜章县","城关镇文明南路万仁店（社保站）",25.386999,112.948970,25.386746,112.938352,1
"4310812009B01525","86d9cf34-7138-4212-8d12-d4b6a8175393","湖南省","郴州市","资兴市","资兴市三都镇周源山煤矿",26.020719,113.341314,26.034740,113.268088,1
"4310812009B01501","b0224e78-d579-41b6-bf13-363fe14f23c9","湖南省","郴州市","资兴市","资兴市三都镇周源山煤矿",26.020719,113.341314,26.034740,113.268088,1
"4310812016B02186","c2653996-8717-4166-9545-60014a670986","湖南省","郴州市","资兴市","资兴市晋宁路市第一人民医院11栋",25.981643,113.243344,25.978300,113.237480,1
"4310222016B00297","d5b6e0a8-85ad-4793-9f41-931af6c596b9","湖南省","郴州市","宜章县","城关镇文明南路267号",25.391647,112.952080,25.403910,112.946760,1
"4310232016B00266","8dd19279-62e8-494b-8a88-dc6ed280578e","湖南省","郴州市","永兴县","永兴县便江镇人民路",26.127221,113.118476,26.120430,113.116896,1
"4310222016B00619","03fb8339-c58f-4d20-80d0-164d90ecbe13","湖南省","郴州市","宜章县","玉溪镇曹排村地段、地税局后面",25.397817,112.967229,25.397076,112.952264,1
"4310262012B00146","d120945d-6c1f-4a0d-ba7e-730f59cd39c7","湖南省","郴州市","汝城县","汝城县濠头圩",25.556057,113.691545,25.718660,113.810808,1
"4310262012B00181","37007a31-f2e1-47cd-bcb8-4a53381ebdd0","湖南省","郴州市","北湖区","濠头圩",25.776683,113.021460,25.718660,113.810808,1
"4310212013B01888","a6cf4c52-4e2f-45c5-9c6d-e71014564b60","湖南省","郴州市","桂阳县","桂阳县鹿峰街道向阳路34号",25.740918,112.740895,25.731860,112.726624,1
"4310222013B00827","ee309385-ba95-4293-be00-99c282a34506","湖南省","郴州市","宜章县","城关镇文明南路",25.386999,112.948970,25.384170,112.937768,1
"4310262014B00296","4ea31fcc-5cf9-48cb-a648-f8cc421b390a","湖南省","郴州市","汝城县","汝城县三星工业园工业大道以南、隆韵五金饰品有限公司以西",25.479404,113.683416,25.476470,113.671560,1
"4310232012B01336","42a1823d-36ca-4952-89cd-a9fc917e078d","湖南省","郴州市","永兴县","永兴县城关镇康绪村麻冲组（永安大道侧）",26.136172,113.092669,26.125320,113.090280,1
"4310222010B01415","791e4030-ae79-4b69-9a13-ddfbc54b74a5","湖南省","郴州市","桂阳县","城关镇城西街",25.756627,112.737488,25.774572,113.011104,1
"4310252012B00049","a36cbdef-6006-492d-8a08-bd479c7553dc","湖南省","郴州市","临武县","临武县香花岭镇粮站大米车间",25.470374,112.577805,25.467110,112.566200,1
"4310812009B01705","395a6366-8571-41ca-bd89-e44daa939866","湖南省","郴州市","资兴市","资兴经济开发区罗围安置区",25.933635,113.241014,25.975690,113.221008,1
"4310212009B00876","97af356e-78b4-488b-8ce4-3e07e494f6c2","湖南省","郴州市","桂阳县","桂阳县城关镇蓉峰街40号",25.859544,112.596366,25.773200,112.736864,1
"4310222009B01683","e3ed6900-1868-4cf9-abc8-f5004cfe121a","湖南省","郴州市","宜章县","城关镇文明南路",25.386999,112.948970,25.384170,112.937768,1
"4310262011B00208","7fcd1710-2ac9-4806-95eb-ca5b67196580","湖南省","郴州市","汝城县","汝城县新区（九龙大道以东、神农路以南、颜家路以北）",25.538666,113.703391,25.531678,113.697264,1
"4310812014B04198","cfc202e6-2cac-4cdf-bba3-497967feb620","湖南省","郴州市","资兴市","资兴市建材大市场宏福新村F6栋",25.967923,113.243824,25.965580,113.231584,1
"4310212014B04500","df6bd82f-f085-400f-b397-2f5b885e892a","湖南省","郴州市","桂阳县","桂阳县方元村桂嘉高等级公路南侧",25.664618,112.672515,25.736270,112.736056,1
"4310002013B00732","e5ec2035-2a86-48d5-aade-35aa2d037ae9","湖南省","郴州市","苏仙区","郴州市曹家坪",25.796992,113.049691,25.429722,112.900808,1
