electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4207002015B00470","8bd12dd2-1100-4a70-bc0b-41a7ba14199a","湖北省","鄂州市","华容区","葛店开发区秀海东路以东",30.543001,114.684398,30.541900,114.676224,1
"4207002015B00500","b6df903d-b1ae-408b-805f-12f1b5754b6e","湖北省","鄂州市","华容区","葛店开发区莲花大道以西",30.543001,114.684398,30.541900,114.676224,1
"4207002012B00792-1","abeadd83-a5ac-4eb3-a0ed-1c1215d72efa","湖北省","鄂州市","华容区","葛店开发区邓平村、姚湖村",30.543001,114.684398,30.541900,114.676224,1
"4207002013B00418","c7025ebd-7682-444f-98a1-9c78a4c35af0","湖北省","鄂州市","华容区","葛店开发区陈镇村",30.543001,114.684398,30.541900,114.676224,1
"4207002008B01378","63398493-0217-4c04-8525-5e40dce89494","湖北省","鄂州市","鄂城区","杜山村",30.403517,114.818857,30.396510,114.815392,1
"4207002011B01798-1","cf6f103f-82d6-4808-a06b-c34c5f697135","湖北省","鄂州市","华容区","梧桐湖新区下王湾",30.385693,114.597685,30.330906,114.601960,1
"4207002012B00918","33c6176a-d78b-4422-85ea-b592caf818eb","湖北省","鄂州市","鄂城区","花湖开发区滨港西路北侧",30.266499,115.036226,30.393540,114.889904,1
"4207002010B00757","cc970d90-ba50-43c0-b3c4-a7ea8900778f","湖北省","鄂州市","鄂城区","凤凰街办菜园头村6组",30.404363,114.917364,30.398400,114.885656,1
"4207002010B00776","917277c4-a006-4676-a57d-071f49962143","湖北省","鄂州市","鄂城区","江广路",30.411769,114.886964,30.393540,114.889904,1
"4207002010B01191","7537d97b-ef48-49e7-8e48-12c974db3e7b","湖北省","鄂州市","华容区","葛店开发区熊湾村",30.543001,114.684398,30.541900,114.676224,1
"4207002010A00987","81639ac8-e4ea-49ea-8367-10444022611e","湖北省","鄂州市","华容区","华容区庙岭镇脉岭桐岭村北岱山南侧山脚",30.457006,114.604250,30.453356,114.592808,1
"4207002012B01131","fbeefdc9-3075-4eca-b32b-8a7558756d5b","湖北省","鄂州市","华容区","庙岭镇大屋村葛庙路南侧地块",30.444731,114.648056,30.537572,114.665152,1
"4207002008B00346","41ee16f4-4e0c-43b5-aa83-3846740038c9","湖北省","鄂州市","华容区","华容镇凉亭村",30.542575,114.734480,30.541124,114.721352,1
"4207002011B00318","81637d39-469a-4a31-87e0-7e1b07d75c82","湖北省","鄂州市","华容区","葛店开发区创业大道西侧",30.543001,114.684398,30.541900,114.676224,1
"4207002011B00928","adf7b175-621d-487c-adba-60a0d3bae891","湖北省","鄂州市","华容区","华容镇316国道南侧",30.547795,114.677954,30.541710,114.650912,1
"4207002008B01223","d92afff8-7dc5-4d1d-9f03-69d255486d57","湖北省","鄂州市","鄂城区","桐城村三组",30.324700,114.872887,30.393540,114.889904,1
"4207002009B01537","7cb44079-6459-4ec3-ad0b-586cc59c3263C","湖北省","鄂州市","华容区","葛店开发区创业大道东侧",30.543001,114.684398,30.541900,114.676224,1
"4207002009B00605","6f2aa7ef-d44e-4fd4-a321-4be3b4f5230f","湖北省","鄂州市","鄂城区","江碧路泽林段西段",30.384073,114.875441,30.339980,114.864504,1
"4207002008B00444","37365ebf-18bb-4915-9867-67ec4b70dc74","湖北省","鄂州市","鄂城区","文星大道中段科技大楼",30.403517,114.896546,30.393540,114.889904,1
"4207002008B00255","815bafe2-69ee-4458-a342-0f7cca024613","湖北省","鄂州市","华容区","葛店镇太武村",30.527441,114.675996,30.524332,114.664272,1
"4207002013B00936","28537d77-6715-4ef9-900e-90a83ff4be4a","湖北省","鄂州市","鄂城区","葛山大道南侧，江碧路东侧",30.356778,114.916511,30.354014,114.892472,1
"4207002009B00260","47945615-76ba-4fec-9a1e-8de537737642","湖北省","鄂州市","华容区","葛店镇秀海村",30.512944,114.669150,30.513232,114.666368,1
"4207002011B00371","2c60ffea-9c83-4720-8f1a-2e00cd23c04d","湖北省","鄂州市","华容区","葛店镇姚湖村、张铁村",30.553493,114.675793,30.550380,114.664088,1
"4207002010B02346","5cacbfe2-9172-41f9-95e8-802f25b145d8","湖北省","鄂州市","鄂城区","花湖金鸡桥东南侧",30.273839,115.033156,30.259800,115.025424,1
"4207002010A02366","affd9893-4904-4e59-bb6b-a7681a52ed34","湖北省","鄂州市","鄂城区","鄂城区洪港6组",30.382484,114.897997,30.379482,114.886352,1
"4207002012B01786","cbec04b0-4756-4314-9094-0fac0c8abc2a","湖北省","鄂州市","华容区","葛店开发区北四号路东侧",30.543001,114.684398,30.541900,114.676224,1
