electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"1529222013B00412","34efee11-6032-4178-9d5d-ecc2ef8adb25","内蒙古","阿拉善盟","阿拉善右旗","巴丹吉林镇新建路南侧、阿拉腾路西侧",39.219186,101.683403,39.207984,101.663424,1
"1529222013B00381","d60ae302-fe2b-4164-a11a-875bef75b58e","内蒙古","阿拉善盟","阿拉善右旗","巴丹吉林镇体育路东侧、蒙中北侧",39.214656,101.671843,39.207984,101.663424,1
"1529212008B00073","496e3f94-a136-45ce-9ddc-4d7d98a2a3d0","内蒙古","阿拉善盟","阿拉善左旗","阿左旗嘉尔嘎勒赛汉镇巴兴图嘎查",37.969028,105.376526,37.953816,105.655392,1
"1529232013B00235","4c69de7b-b191-4a78-8541-dc11c367d984","内蒙古","阿拉善盟","额济纳旗","额济纳旗达镇南环二路南、S312省道以东",41.943314,101.045407,41.960260,101.058744,1
"1529212012B00699","23b5c50e-5803-4c4c-9345-eb55784aa98e","内蒙古","阿拉善盟","阿拉善左旗","敖伦布拉格镇富林路西、吉磴路北",40.507970,105.923047,40.520132,106.435168,1
"1529212012B00715","6d99e3eb-1bc9-4164-9815-ab483f18079a","内蒙古","阿拉善盟","阿拉善左旗","敖伦布拉格镇福泉路西、吉磴路北",40.507970,105.923047,40.520132,106.435168,1
"1529212012B00797","ad9ba381-50f9-47c3-8bfa-a813411bd02c","内蒙古","阿拉善盟","阿拉善左旗","敖伦布拉格镇富泉路西",40.507970,105.923047,40.520132,106.435168,1
"1529002009B00148","8070e37a-8a51-4d86-8895-beabc3e53f4f","内蒙古","阿拉善盟","阿拉善左旗","内蒙古阿拉善经济开发区创业路东侧",39.440307,106.723107,39.420572,106.650840,1
"1529212012B01797","4939a116-e787-4495-961c-ba70eb88be95","内蒙古","阿拉善盟","阿拉善左旗","腾格里工业园区",38.858276,105.735377,37.596632,105.015256,1
"1529002012B02057","06ef8258-c2f3-46dd-856c-ff71b2fe076f","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特新区雅布赖西路北侧、吉兰泰西路南侧",38.851584,105.715376,38.837140,105.675000,1
"1529002009B00262","0382504c-f376-4aa5-b355-d37ff27d13b8","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特镇吉兰泰路南",38.839172,105.675442,38.842824,105.697872,1
"1529212018B00926","b9166a24-0663-4b76-a696-3262477b9745","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特镇通古勒格淖尔嘎查",38.723355,105.137860,38.716428,105.127528,1
"1529212018B01297","8280d1f7-5183-441c-8977-e642e3df27de","内蒙古","阿拉善盟","阿拉善左旗","阿左旗巴彦浩特镇通古淖尔嘎查、特莫图嘎查",38.860345,105.710094,39.816168,104.590664,1
"1529212010B01295","491ab975-256f-47a2-bae0-8219afcbe8fe","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特镇北环路北侧、乌巴公路西侧",38.839172,105.675442,38.836296,105.669840,1
"1529212010B00653","ddf91971-0d4b-4e03-aa37-8c56aa0c265d","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特镇新城东区吉兰泰路南侧、会展二路东辅路东侧",38.839172,105.675442,38.842824,105.697872,1
"1529232013B00165","36c8f175-3790-47c6-a6a8-fd70c4be331b","内蒙古","阿拉善盟","额济纳旗","额济纳旗达镇航天路以东、军民街以南",41.963725,101.063406,41.936464,101.049336,1
"1529212010B00034","5f9084a7-03f9-422b-90de-271b8e8ea545","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特镇南环路南侧",38.839172,105.675442,38.836296,105.669840,1
"1529212011B00153","86c4ac05-cfe6-480b-a206-d1d3ec25cb3c","内蒙古","阿拉善盟","阿拉善左旗","阿左旗敖伦布拉格镇富泉西路",40.507970,105.923047,38.836332,105.678688,1
"1529002008B00092","ce946a7d-9eef-4010-8578-b919941c3ba5","内蒙古","阿拉善盟","阿拉善左旗","巴镇新城东区会展二路与雅布赖路交汇处东南角",38.845543,105.723538,38.834420,105.673360,1
"1529212012B00605","69331be5-49f9-498c-9616-8e96cb3217ab","内蒙古","阿拉善盟","阿拉善左旗"," 葡萄墩工业园区中大道以西、纬一路以南",37.664302,105.169012,37.661600,105.153616,1
"1529232015B00368-1","dd670730-0e9e-44fa-bfda-79b453c238c0","内蒙古","阿拉善盟","阿拉善左旗","达镇北环路以北，砂石路（至达镇蔬菜大棚基地）以西",38.868353,105.703065,41.960240,101.059024,1
"1529212018B01007","b0a17928-0b6d-48eb-8f79-bd65d465d3b9","内蒙古","阿拉善盟","阿拉善左旗","吉兰泰镇石材园区",39.762170,105.765089,39.755300,105.754128,1
"1529232012B02254","47ef1cce-5929-44ac-a18d-6c71f7fd1c72","内蒙古","阿拉善盟","额济纳旗","额济纳旗达镇航天路以东，南环路以南",40.963150,100.226255,41.936464,101.049336,1
"1529212014B00921-2","dd41b67d-cb53-4984-a09d-7813ec3863cf","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特镇后西花园路以北、乌日斯路南",38.839172,105.675442,38.836296,105.669840,1
"1529002011B01151-1","df56cdd5-c23d-409a-a984-69864574199a","内蒙古","阿拉善盟","阿拉善左旗","巴彦浩特南环路南侧、东环路西侧（传媒中心对面）",38.836360,105.737644,38.836652,105.700912,1
"1529222014B00245","6cadc6e1-178d-4212-9789-0441d4372954","内蒙古","阿拉善盟","阿拉善右旗","巴彦高勒苏木乌兰塔塔拉嘎查",38.794711,101.696820,38.788944,101.690184,1
