electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4402332009B00032","318fef46-6ff4-4119-8043-c676e645d601","广东省","韶关市","新丰县","新丰县马头镇马头街",24.129077,114.331223,24.125800,114.319760,1
"4402332009B00077","83bbc268-c7db-4d57-b917-19454fee6f6b","广东省","韶关市","新丰县","新丰县马头镇马头街",24.129077,114.331223,24.125800,114.319760,1
"4402052018B00079","2c477da0-545c-4190-8769-85395a57597f","广东省","韶关市","曲江区","韶关市曲江区小坑镇汤湖村",24.713546,113.831120,24.710830,113.819368,1
"4402242010B01178","ad697789-6756-4a6f-b1ab-9295ad0a8089","广东省","韶关市","仁化县","仁化县城口镇城群村",25.324966,113.747487,25.321616,113.735672,1
"4402002015B02317","6a7a039e-6495-449d-8f19-bdaa39f52ef8","广东省","韶关市","武江区","韶关市武江区芙蓉新城XL0206-03号",24.787337,113.591479,24.785420,113.579600,1
"4402242009B00536","5fc09fdd-8332-4ab0-89fc-b7d4115f60d2","广东省","韶关市","仁化县","仁化县城富民新村17号",25.092288,113.755443,25.088236,113.743880,1
"4402002015B00026","97ad74a3-8ecf-46b7-a034-8a8c4714dd89","广东省","韶关市","浈江区","韶关市浈江区十里亭镇白石坑190号",24.835041,113.566266,24.834178,113.554880,1
"4402242015B00038","1373d70d-6a0c-46e5-bcc2-f772042ca0c2","广东省","韶关市","仁化县","仁化县建设路高坪村1号",25.096087,113.746981,25.091938,113.734704,1
"4402242011B00368","5b1e7b23-a357-4763-88d0-14b54eaf96d7","广东省","韶关市","仁化县","仁化县长江镇锦江村刘家祠组",25.337090,113.936176,25.334388,113.924552,1
"4402242008B00228","59bd09a5-c8c3-40fb-9a8e-1d638eab2e6c","广东省","韶关市","仁化县","仁化县周田镇韶南北路28号",24.972262,113.832358,24.970800,113.819360,1
"4402242008B00408","983b781d-dedb-4f3c-bc87-f011b529d9d2","广东省","韶关市","仁化县","仁化县周田镇月岭街",24.970851,113.829712,25.053310,113.701016,1
"4402242012B01108","2e3ce3d1-d5f4-45cd-bdbc-58f5af19cc9a","广东省","韶关市","仁化县","仁化县闻韶镇",25.143085,113.898506,25.139830,113.887328,1
"4402052010B00248","7d4e2bc6-1452-47b4-bb07-d97af179488d","广东省","韶关市","曲江区","韶关市曲江区马坝镇工业大道",24.676552,113.522608,24.673110,113.511632,1
"4402052014B00307","9df07441-c9a0-4dfc-b923-41db768ed73b","广东省","韶关市","曲江区","韶关市曲江区白土工业园A1区",24.684248,113.516547,24.757744,113.820440,1
"4402292014B00018","a0371242-4fa8-4b72-bb73-c7e58c6031df","广东省","韶关市","翁源县","翁源县龙仙镇环城北路",24.367297,114.144769,24.362954,114.134864,1
"4402222013B00096","21b8c8fc-6bf0-41dd-ac74-4ae3ccc87697","广东省","韶关市","始兴县","始兴县永安大道与城北路交汇处东北侧",24.962458,114.075983,24.956950,114.056776,1
"4402222010B00033","7e2629d7-e28f-4820-88dd-815ba0704bed","广东省","韶关市","始兴县","始兴县太平镇江口河北工业区",25.033219,114.010301,24.956670,114.067440,1
"4402242012B01639-1","310405d2-3770-495b-a46d-fd38f93afcc2","广东省","韶关市","仁化县","仁化县周田镇较坑村、大桥镇亲联村",24.958198,113.782332,24.954834,113.770576,1
"4402242010B00694","f068d68a-0ee6-4944-86ba-6fa4bc1b7e55","广东省","韶关市","仁化县","仁化县城丹霞街道大岭村",25.086961,113.720528,25.084456,113.748592,1
"4402822013B00285","002a9462-5ffe-4d3c-aa29-65eecf5dcda7","广东省","韶关市","南雄市","南雄市雄州镇林荫东路4号A栋705房",25.117526,114.321969,25.120664,114.311200,1
"4402822011B00025-1","8ad8284f-3a6f-4eff-ab47-291debfa7fa6","广东省","韶关市","南雄市","南雄市珠玑工业园",25.105050,114.280121,25.099200,114.272112,1
"4402242008B00357","3209338d-a96e-4461-88dd-e1fe0ec7a5d9","广东省","韶关市","仁化县","仁化县扶溪镇解放路",25.223496,113.865756,25.221868,113.853896,1
"4402242012B01138","c715f050-9941-4479-92b5-881b3de0d2f6","广东省","韶关市","仁化县","仁化县丹霞新城内B地块",25.091180,113.751232,25.087770,113.739432,1
"4402242010B01425","00327172-1a11-4261-bd4d-cc3108512de2","广东省","韶关市","仁化县","仁化县城建设路65号",25.095533,113.745781,25.092382,113.733984,1
"4402812009B00052","21985b19-9bfc-43ce-a217-e70429ae9b68","广东省","韶关市","乐昌市","乐昌市坪石镇群众路138号",25.286683,113.067097,25.183640,113.065400,1
"4402812009B00027","802a75e6-75a6-42da-88ba-98744c440e46","广东省","韶关市","乐昌市","乐昌市坪石镇群众路三巷3号",25.290082,113.065218,25.183840,113.065664,1
"4402812009B00098","65496a6c-3299-47ea-962d-065d23d2b450","广东省","韶关市","乐昌市","乐昌市坪石镇群众路旁",25.290082,113.065218,25.179130,113.065096,1
"4402812010B00822","92f01c2c-f5dc-4937-9e3c-b8306e7e91b0","广东省","韶关市","乐昌市","乐昌市乐城镇红星街三巷35号",25.138745,113.354183,25.134530,113.341168,1
"4402822011B00967","37bd9215-5776-42c4-b5ce-3a9cd48ceeb9","广东省","韶关市","南雄市","南雄市雄州镇雄州公园东村",25.109232,114.318779,25.111008,114.309448,1
"4402812012B01876","00a36216-9489-4a2d-9280-643ecdc9c857","广东省","韶关市","乐昌市","乐昌市廊田镇东乡路15号",25.162165,113.473036,25.158942,113.461224,1
"4402822015B00130","c392f8ca-be7f-4e39-b92a-44dcc4dbcbe1","广东省","韶关市","南雄市","南雄市雄州街道建材五金综合大市场地块二",25.107875,114.360330,25.121034,114.308416,1
"4402822016B00719","4809413d-2188-4e7a-8557-606e14000a95","广东省","韶关市","南雄市","南雄市环城东路57号内集资楼803",25.129393,114.325087,25.127530,114.315232,1
"4402242016B00204","32097c8d-dd3b-43e5-b1f0-11f8378061fb","广东省","韶关市","仁化县","仁化县城口镇城群村委江头埂A地块",25.139380,113.947222,25.321616,113.735672,1
"4402242011B01281","45e4a514-b651-45ab-9f32-6af6dc18c699","广东省","韶关市","仁化县","仁化县董塘镇仁塘路",25.084910,113.647293,25.081888,113.638096,1
"4402822017B03534","0be80dcc-6e2c-40de-af89-309d0630af4d","广东省","韶关市","南雄市","乌迳镇乌迳圩人民路",25.274202,114.607744,25.262186,114.599808,1
"4402822017B03555","25743a53-6561-4f9f-abea-a7bc4c39ed6a","广东省","韶关市","南雄市","乌迳镇乌迳圩花园路",25.274202,114.607744,25.262186,114.599808,1
"4402292013B00556","6c281bfb-33f0-47e3-b16c-ef1be50d1c2f","广东省","韶关市","翁源县","翁源县龙仙镇田心村",24.335170,114.138732,24.353012,114.124976,1
"4402222011B00063","7274c7b2-4aa4-4546-bec1-d7ce22257b25","广东省","韶关市","始兴县","司前镇原粮所",24.717357,114.098998,24.813318,113.592048,1
"4402002015B00047-1","06c49dbd-7975-4696-9fe3-7d4d954e9bb2","广东省","韶关市","武江区","韶关市莞韶产业转移园莞韶大厦西侧",24.775770,113.521099,24.772334,113.509280,1
"4402242014B00234","4009acc6-488d-413a-a3bb-9381ea9a6d89","广东省","韶关市","仁化县","仁化县周田镇有色金属循环经济产业基地XZA－6地块",24.973874,113.830918,24.972240,113.822952,1
"4402822008B00042-1","ba8978a7-9a29-486e-9e64-089f967de736","广东省","韶关市","南雄市","南雄市原爱民路2号地税局办公楼",25.124271,114.320457,25.111820,114.307216,1
"4402812010B00108","944c6fe0-14a3-44dc-a765-ff2c9cdee424C","广东省","韶关市","乐昌市","乐昌市长来镇墟坪",25.085619,113.401626,25.084672,113.385464,1
"4402052014B00055-1","50c62f84-499c-422b-b08f-3f6b0a73c259","广东省","韶关市","曲江区","韶关市曲江区马坝镇龙头寨",24.681258,113.541434,24.677988,113.529680,1
"4402222014B00037","fdc83ce5-12da-45a8-9235-dfc088fd9e22","广东省","韶关市","浈江区","县制笔工业园金亿利二期东南角韶赣铁路旁",24.815881,113.603527,24.932530,113.418928,1
"4402002015B00039","20ea3451-f1ea-4d3a-8e1e-49aa231a125d","广东省","韶关市","武江区","韶关市浈江区莞韶产业园HG-1-2A地块",24.775121,113.520834,24.807510,113.605752,1
"4402222011B00127","ceb895c9-9638-4f7c-be4c-8c565de28fb0","广东省","韶关市","始兴县","始兴县国道323线东湖坪段东侧制笔研发制造基地B-3号",24.958558,114.068567,24.971870,114.034040,1
"4402242012B01369","f550dd4f-a673-4730-aa37-28f77d4a2f2c","广东省","韶关市","仁化县","仁化县董塘镇凡塘路",25.083753,113.641645,25.082406,113.632504,1
"4402222009B00158","8d8e839a-a0b4-4537-9332-5c1ab4d9fa3d","广东省","韶关市","始兴县","太平镇原通用厂和铁合金厂",25.033219,114.010301,24.813318,113.592048,1
"4402222014B00226","42eeb551-08c7-4858-8ebe-0d7ea8743a98","广东省","韶关市","始兴县","始兴县建滔东侧A地块",24.958558,114.068567,24.963790,114.031728,1
"4402292016B00165","534de9f3-bef2-49ff-abe8-2c28307264ff","广东省","韶关市","翁源县","翁源县翁城商务中心区WCSW03-24-01地块",24.356594,114.136427,24.374500,113.822224,1
"4402292013B00412","9da61216-d26f-4f38-9f3c-9b4fdb5340b3","广东省","韶关市","翁源县","周陂镇老街",24.315235,113.977565,24.249918,114.026240,1
"4402332010B00136","874e0a40-af44-4cd7-bfe2-49a70f8183ed","广东省","韶关市","新丰县","马头镇马头街",24.129077,114.331223,24.813318,113.592048,1
"4402822013B00024","fb942a06-8a79-4144-9658-173ad371d980","广东省","韶关市","乐昌市","雄州镇水南麦岭南路22号702",25.290134,113.061555,25.230216,113.964056,1
"4402242013B00084","d7ef187c-32c9-40ad-95c3-04a0bb1bf2e5","广东省","韶关市","仁化县","红山镇新山村小典组",25.240240,113.598690,24.813318,113.592048,1
"4402242009B00076","73244dcc-640c-41c1-9a39-1760bca09a62","广东省","韶关市","仁化县","丹霞街道办岭田村",25.087945,113.760360,25.093730,113.718408,1
"4402812011B01486","190c9fc5-976f-45d5-b82a-32545076a2bc","广东省","韶关市","乐昌市","乐昌市乐城镇邝家勒",25.131980,113.359250,25.136600,113.351224,1
