electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4202222010B01207","afd273ca-5127-426a-95fc-3a166610c997","湖北省","黄石市","阳新县","兴国镇八斗垅小区",29.848638,115.254134,29.843316,115.202264,1
"4202222011B01079","239a7d33-d95e-4989-81e8-dac65b29943a","湖北省","黄石市","阳新县","兴国镇五马坊",29.848638,115.254134,29.832850,115.210880,1
"4202812016B00306","731f32d5-8edc-4c6b-936e-33c9f55f1ca0","湖北省","黄石市","大冶市","A7路以东宝山路以西鹏程大道以北",30.151128,115.008983,30.201964,115.033520,1
"4202222012B00779","6c431528-5464-4c02-aaab-8140a9ac5e8e","湖北省","黄石市","阳新县","龙港镇下卢湖小区",29.666832,114.927363,29.927644,114.847360,1
"4202812015B01552","3d122643-3a39-4b75-baca-8c88727c8970","湖北省","黄石市","大冶市","东风路南侧富家山水厂",30.103816,114.976113,30.201964,115.033520,1
"4202002010B02160","d477946b-458d-4e07-8834-1c5e1201e4a7","湖北省","黄石市","下陆区","档案馆以北",30.205208,115.045533,30.201964,115.033520,1
"4202002010B02122","6efafcf1-b3b1-455a-8b6a-d3a25620e42f","湖北省","黄石市","黄石港区","黄石港区沈下路158号",30.231016,115.074123,30.225210,115.060600,1
"4202002010B02702","c4bd81c5-d856-415e-b029-40253463920d","湖北省","黄石市","黄石港区","天津路17号",30.223284,115.095331,30.219320,115.083440,1
"4202222011B00558","7a430d35-8542-4c8f-960b-bf83c35933f1","湖北省","黄石市","阳新县","黄石市新港（物流）工业园区（韦源口镇韦山村、东湖村）",30.135601,115.262178,30.149500,115.256944,1
"4202222011B00549","2101a8ce-49e5-43f3-afe1-f3f15de7d263","湖北省","黄石市","阳新县","黄石市新港（物流）工业园区（韦源口镇东湖村）",30.153290,115.267640,30.149500,115.256944,1
"4202222015B00905","c52997ba-e7ba-46c2-9d30-fef6a8f5c1a6","湖北省","黄石市","阳新县","阳新经济开发区东山村",29.880273,115.169407,29.876810,115.157480,1
"4202002016B00156","1cd4c995-46b6-4503-b5c3-68d7fc8e1bda","湖北省","黄石市","黄石港区","黄石港区磁湖巷60-67号",30.233754,115.082139,30.228402,115.068480,1
"4202812011B00929","aedd0d6b-52ad-4833-a968-5835a1602617","湖北省","黄石市","西塞山区","黄金山新区A14路以西、B13路以南地块",30.189302,115.098093,30.201964,115.033520,1
