electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"3401222010B01017","de2b7a53-2f05-4cc8-a077-0d1407ca05ba","安徽省","合肥市","肥东县","肥东县经济开发区祥和路西侧",31.889535,117.436136,31.881242,117.424176,1
"3401212015B01575","3cbdd453-5da8-493a-8377-7d253491f495","安徽省","合肥市","长丰县","双凤开发区",31.991296,117.242381,32.032616,117.254976,1
"3401212015B01514","363745aa-3289-4bc7-ac13-7a1a88753700","安徽省","合肥市","长丰县","双墩镇",32.051383,117.240122,32.008018,117.250576,1
"3401212014A01540","6a8a00dd-d000-4fb8-8390-fb80464274c9","安徽省","合肥市","长丰县","长丰县双墩镇",32.051383,117.240122,32.009732,117.259032,1
"3401002014B01226","e5f21e3b-be0e-46c4-948c-22ee7d7faba0","安徽省","合肥市","蜀山区","合肥市高新区创新大道与磨子潭路交口东北角NA2-1地块",31.833298,117.189883,31.856290,117.098536,1
"3401212015B01910","7046cb5a-66b5-4902-8100-948eb5847895","安徽省","合肥市","长丰县","双凤开发区",31.991296,117.242381,32.032616,117.254976,1
"3401222015B00426","74e99b8e-2a24-4284-8922-a34f30ab61be","安徽省","合肥市","肥东县","撮镇镇合马路南",31.817135,117.485905,31.851390,117.545480,1
"3401002015B01807","26f3880e-4f12-4335-83d9-82af4cab7808","安徽省","合肥市","蜀山区","合肥市蜀山产业园花峰路与振兴路交口东北角",31.863415,117.189772,31.861470,117.169704,1
"3401232014B00270","41760f31-67ca-487a-aa81-2cae8f6dc2d7","安徽省","合肥市","肥西县","严店乡",31.617137,117.318247,31.632380,117.202536,1
"3401002009B04285","49bd3b91-4482-49aa-a6fd-cfe23aaf9cebC","安徽省","合肥市","瑶海区","铜陵北路与新汴河路交口东南角",31.924373,117.335583,31.905560,117.323888,1
"3401222016B02279","f374c414-3845-4b9b-830f-aabcb0ae9c2c","安徽省","合肥市","蜀山区","肥东经开区龙脊山路东侧",31.826578,117.233443,31.882770,117.434776,1
"3401222012B00632","9f67b848-deb5-44d1-a9c3-f9f7a6118f22","安徽省","合肥市","瑶海区","撮镇镇淮南铁路南、东风大道西",31.860213,117.423740,31.845590,117.411600,1
"3401232008B00239","5f003309-42c0-4e6d-bbc3-e39eea40f92d","安徽省","合肥市","肥西县","桃花镇",31.771536,117.157251,31.778360,117.214000,1
"3401222015A01485","09a2c146-a020-4de7-8ba2-0296629dc788","安徽省","合肥市","肥东县","肥东县撮镇镇四顶山路与众欢路交口",31.774392,117.498083,31.770702,117.486080,1
"3401232008B00228","5cf9a844-442d-4ca6-8229-f3788c915f26","安徽省","合肥市","肥西县","桃花镇",31.771536,117.157251,31.778360,117.214000,1
"3401002008B00295","8E1E51B03D0149CDBEAB028EE0929570","安徽省","合肥市","蜀山区","齐云路",31.797709,117.225498,31.793508,117.213936,1
"3401002008B00045","ff377126-421d-4b50-a04e-678724564e04","安徽省","合肥市","蜀山区","纬D路北",31.826578,117.233443,31.822454,117.222312,1
"3401232013B03375","ae51a3cf-3e1f-47a8-8f1d-c84a46558c6f","安徽省","合肥市","肥西县","官亭镇长油路西侧",31.845171,116.791072,31.860950,117.232016,1
"3401002009B01408","cda94ff1-7f3c-416b-b271-d05defde49b2","安徽省","合肥市","瑶海区","新站区",31.886765,117.326987,31.876340,117.302376,1
"3401002009B01428","c74728a7-df8c-456b-8869-825bc774bb38","安徽省","合肥市","庐阳区","阜阳北路",31.961258,117.275262,31.894770,117.280520,1
"3401002014B01681","8d7f5d99-abbe-4ed7-a16d-15859c63e884","安徽省","合肥市","包河区","合肥市包河区花园大道以南、宁夏路以西",31.779220,117.348943,31.774874,117.349232,1
"3401002009B02395","c2ff8acf-ede1-4322-862f-cdde4d79e0aaC","安徽省","合肥市","蜀山区","高新区海棠路以南，金桂路以西AS-16地块",31.827396,117.195004,31.819614,117.188440,1
"3401222008B00389","da4b8063-93e2-41ab-bb31-fc4ccc72853a","安徽省","合肥市","肥东县","撮镇镇唐安居委会",31.835372,117.424334,31.664360,117.700400,1
"3401212008B00180","04de32f8-d616-459f-bae9-78862b1b6551","安徽省","合肥市","长丰县","双凤开发区",31.991296,117.242381,32.032616,117.254976,1
"3401222008A00508","8e0987af-3e69-4aa5-80b1-f2ae9edd8fd1","安徽省","合肥市","肥东县","合肥循环经济示范园境内",31.809502,117.497090,31.822400,117.474696,1
"3401002010B06676","16aed5d1-d47c-4cad-b2b2-a6972e6ee371","安徽省","合肥市","瑶海区","昌盛路以南",31.889090,117.317642,31.330008,117.089448,1
"3401212016B01676","faf86a2a-9ad9-4679-8d4e-06625223cce6","安徽省","合肥市","长丰县","双凤开发区",31.991296,117.242381,32.032616,117.254976,1
"3401232015B00716","0f656da5-30f0-4c2c-82e2-8cc2d10981e4","安徽省","合肥市","肥西县","严店乡",31.617137,117.318247,31.632380,117.202536,1
"3401222012B00175","624075cc-eaab-4e25-bd86-daa4222295f6","安徽省","合肥市","肥东县","肥东县桥头集镇小韩村",31.776483,117.545526,31.770820,117.538968,1
"3401002009B00418","a4df2af7-7f76-4dda-b9a1-7253ec1ba0e6","安徽省","合肥市","包河区","包河工业区沈阳路南",31.797785,117.332141,31.775200,117.316840,1
"3401002015B00327","879f4435-3875-4596-9e54-cb7903417840","安徽省","合肥市","包河区","合肥市包河区安凯汽车股份东花园大道北",31.799293,117.316576,31.801280,117.359072,1
"3401232017B01003","72d47057-37c3-4a81-8422-a2318709dd67","安徽省","合肥市","肥西县","柏堰科技园",31.801087,117.190623,31.799500,117.161200,1
"3401002015B00069","e6f59cdb-2564-4f67-be7b-946c4eac9abe","安徽省","合肥市","瑶海区","合肥市庐阳区临泉路以南、凤凰山路以东",31.892927,117.299590,31.882548,117.239920,1
"3401222013A00358","86e5d1ea-648a-4ff4-9ea5-5d6c9c88b6a9","安徽省","合肥市","肥东县","肥东县经开区包公大道北",31.897348,117.419219,31.893196,117.411952,1
"3401222008B00165","4caf38b9-cffc-482b-b74b-4cb3aa69c170","安徽省","合肥市","肥东县","肥东新城经济开发区团结路南侧",31.826451,117.463493,31.878004,117.429704,1
"3401222016B01764","ccd1bac0-cb77-433b-96e3-1a738afe2e8d","安徽省","合肥市","瑶海区","肥东县撮镇镇瑶岗路与东风大道交口西南角",31.860213,117.423740,31.845590,117.411600,1
"3401222012B00728","b23a73d8-5e47-4a28-a0ac-1e44b1c7edf6","安徽省","合肥市","肥东县","撮镇镇唐安社区",31.838399,117.408140,31.830490,117.396664,1
"3401222012B00715","4c26ff4f-0421-40d2-ae0c-ca152ddcdda7","安徽省","合肥市","肥东县","撮镇镇建华社区",31.838399,117.408140,31.823840,117.379792,1
"3401212014B01685","dfcb2996-7eab-40d8-bb86-2d3bef9f5c75","安徽省","合肥市","长丰县","双墩镇",32.051383,117.240122,32.008018,117.250576,1
"3401002010B00288","83ae1dc8-14d8-472c-b044-5fcacd3c4502C","安徽省","合肥市","瑶海区","徽州大道215号",31.860652,117.338590,31.843810,117.277416,1
"3401002009B04557","9a714847-8388-4488-ab50-18eb6f0e398b","安徽省","合肥市","瑶海区","明光路与胜利路交口",31.875767,117.311443,31.868600,117.300152,1
"3401222018B01376","f89ed612-503d-4f29-8c7f-bdb72a8baace","安徽省","合肥市","瑶海区","肥东经开区新安江路北侧",31.865908,117.373491,31.882770,117.434776,1
"3401232013B00012","15b9baed-2ba7-4c80-ae35-199df582d830","安徽省","合肥市","蜀山区","桃花工业园",31.770728,117.213464,31.758420,117.197600,1
"3401232016B01066","deb79d95-9c6c-4a59-b014-cfa3586a8dac","安徽省","合肥市","蜀山区","桃花工业园",31.770728,117.213464,31.758420,117.197600,1
"3401222016B02057","a394f4f7-958e-49d7-96c7-c4aa52e16bae","安徽省","合肥市","肥东县","肥东县店埠镇石塘路与经一路交口西北角",31.861792,117.530608,31.884180,117.474440,1
"3401232016B01038","813f7b37-f6fd-4361-9197-019dbe075437","安徽省","合肥市","肥西县","严店乡",31.617137,117.318247,31.632380,117.202536,1
"3401002010B00144","01c9db33-848e-449b-a8ea-242689fc3187","安徽省","合肥市","包河区","包河工业区延安路北、重庆路西",31.797785,117.332141,31.775200,117.316840,1
"3401232012B01786","3fab2f39-2ecd-4f9a-9e28-98de1903661c","安徽省","合肥市","肥西县","柏堰科技园",31.801087,117.190623,31.799500,117.161200,1
"3401232012B02466","bba52c6d-41cb-44d6-a661-d28fa4c62fb0","安徽省","合肥市","肥西县","合肥市肥西县桃花工业园",31.740114,117.257067,31.785000,117.139640,1
"3401002012B03353","82a3d3e8-ab72-470c-a57b-61c9caf47add","安徽省","合肥市","肥西县","合肥高新区文曲路与燕子河路交口东北角（KC2-4）地块",31.837523,117.142245,31.833120,117.130176,1
"3401002012B03200","462768fd-a002-4b5d-befd-0abb9405b583","安徽省","合肥市","庐阳区","合肥市庐阳区蒙城北路以西，规划耀远路以南",31.927630,117.280914,31.879640,117.272272,1
"3401002010B00248","4e1e645b-55df-4c58-90b4-0faacae8ac1c","安徽省","合肥市","包河区","祁门路122号",31.817757,117.305943,31.822454,117.222312,1
"3401222011B00581","7e5b19fa-cacf-4815-9f92-1ed1043a4e5d","安徽省","合肥市","肥东县","合肥循环经济示范园",31.809502,117.497090,31.822400,117.474696,1
"3401222011B00608","67295f18-8508-464c-b552-6a865a8b8088","安徽省","合肥市","肥东县","肥东县经开区横大路北",31.864903,117.450428,31.860870,117.438168,1
"3401232013B03040","322faf71-4b0f-44d8-a05c-8f1b4b866ea9","安徽省","合肥市","肥西县","小庙镇工业聚集区新民路东侧",31.851136,117.069258,31.874720,117.399144,1
"3401222010B00757","ddda20cf-3ae4-4fa7-a885-c2c479bc4d86","安徽省","合肥市","肥东县","撮镇镇店忠路东侧",31.830165,117.490846,31.837482,117.468760,1
"3401222010B00726","88979ff3-d69f-4255-a151-e610b030453f","安徽省","合肥市","肥东县","撮镇镇店忠路东侧",31.830165,117.490846,31.837482,117.468760,1
"3401212014B00012","460e9c4f-f4c6-4dcd-a63f-fb4ee4f7e052","安徽省","合肥市","长丰县","双凤开发区",31.991296,117.242381,32.032616,117.254976,1
"3401002014B01517","08674649-af70-47bb-b8ec-0319a57bff29","安徽省","合肥市","长丰县","合肥市新站区东方大道以北、卧龙路以东",31.957284,117.359400,31.952672,117.348000,1
"3401232011B00179","b10da4da-4e57-4fa7-bcd2-6f9e55016a47","安徽省","合肥市","肥西县","高刘镇莲荷路与海棠路交口",31.942164,116.945676,31.819614,117.188440,1
"3401002009B01869-2","2d6fbe36-9ae3-4a6f-8266-fde542651129AA","安徽省","合肥市","庐阳区","庐阳工业区内",31.946028,117.279042,31.926200,117.266632,1
"3401002009B01458","9be9a96b-0f14-47e7-85bb-6f6e76d09a0a","安徽省","合肥市","庐阳区","庐阳工业区内",31.946028,117.279042,31.926200,117.266632,1
"3401222012B00676","dc4011fc-a155-4481-9232-fb38a50f43ee","安徽省","合肥市","肥东县","店埠镇西山驿居委会",31.835470,117.588381,31.829700,117.582456,1
"3401222014A00017","ac3655c5-c838-4bba-ac30-738079cb1a16","安徽省","合肥市","肥东县","合肥循环经济示范园境内",31.809502,117.497090,31.822400,117.474696,1
"3401232010B01486","8d487381-5f26-4c3e-bae2-88d7a37840bf","安徽省","合肥市","蜀山区","桃花工业园",31.770728,117.213464,31.758420,117.197600,1
