electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"2203822010B01875","448ae25e-449d-4061-8621-9bf73306764b","吉林省","四平市","双辽市","双辽市辽东街",43.524527,123.509438,43.531880,123.538616,1
"2203812016B00757","17dfee6f-0244-4b54-a613-9aa11935a8b6","吉林省","四平市","公主岭市","公主岭市朝阳坡镇街道",43.601238,124.725517,43.560152,124.833096,1
"2203812014B00922","9830b75c-29ab-4453-8f30-6ef39c549295","吉林省","四平市","公主岭市","公主岭市杨大城子镇街道",43.946428,124.438546,43.936792,124.429496,1
"2203812014B00984","0bb10666-ca0e-41f5-a1f0-5e43d161a718","吉林省","四平市","公主岭市","公主岭市杨大城子镇街道",43.946428,124.438546,43.936792,124.429496,1
"2203812012B00432","03d72bfe-b849-4613-a4f2-af0d6e4b247a","吉林省","四平市","公主岭市","公主岭市苇子沟乡向前村1屯",43.505731,124.809111,43.502272,124.816744,1
"2203002015A00106","9ed9d163-8477-44f4-a9f1-2a7e19d7927d","吉林省","四平市","铁东区","四平市铁东区南环城路南侧",43.167994,124.416483,43.160176,124.403672,1
"2203232013B00507","909b7061-d340-4846-be77-5bf0f508e2bd","吉林省","四平市","伊通满族自治县","伊丹镇西岭村部东，九开公路道南",43.366466,125.330610,43.427408,125.411136,1
"2203822014B00178","06d380f8-5d13-4d67-888e-f3aa755b127f","吉林省","四平市","双辽市","双辽市红旗街",43.597680,123.639723,43.580188,123.610032,1
"2203222011B00777","a78b1988-f99a-4962-ad8c-bb307fd1beee","吉林省","四平市","梨树县","梨树县榆树台镇",43.482190,124.296726,43.476160,124.309088,1
"2203222009B00197","716622df-6e88-418d-8ff0-84b1fef19e1e","吉林省","四平市","梨树县","郭家店镇",43.357762,124.588848,43.349300,124.576552,1
"2203222013B00598","e969be1a-f505-4c46-b5e5-d6cc2d530b05","吉林省","四平市","梨树县","梨树镇健美街南、中兴大路西",43.309968,124.358444,43.420300,124.301280,1
"2203222013B00610","0d1f3552-f80c-450e-99e9-8e2639569064","吉林省","四平市","梨树县","梨树县梨树镇",43.309968,124.358444,43.295312,124.334168,1
"2203812016B00859","36512603-d59b-481a-b71e-b18bd6d7d4aa","吉林省","四平市","公主岭市","公主岭市杨大城子镇街道",43.946428,124.438546,43.936792,124.429496,1
"2203812010B00108","1fc01683-17c5-4d77-ae45-8f46fe1b5c06","吉林省","四平市","公主岭市","吉林公主岭经济开发区",43.510833,124.829449,43.700128,125.016416,1
"2203812015B01665","bf8827c2-4590-46bc-b2f0-245b5bf91bf4","吉林省","四平市","公主岭市","公主岭市十屋镇街道",43.813145,124.244617,43.787120,124.237528,1
"2203812015B01655","a8a9c1d2-15bb-4f07-a139-dbb3bbbaf828","吉林省","四平市","公主岭市","公主岭市十屋镇街道",43.813145,124.244617,43.787120,124.237528,1
"2203002013B00710","9b012ef8-94ff-49cd-b8e1-93d73295737b","吉林省","四平市","铁东区","铁西区紫气大路北侧、西郊街东侧",43.161543,124.394475,43.170576,124.330472,1
"2203232014B01218","08b4e626-e2b0-42d8-a3d3-ff05bf4a159b","吉林省","四平市","伊通满族自治县","大孤山镇街道",43.298402,125.193895,43.303820,125.127192,1
"2203232014B01262","107a472b-03b0-4b83-bea7-41ead4573727","吉林省","四平市","伊通满族自治县","大孤山镇街道",43.298402,125.193895,43.303820,125.127192,1
"2203232014B01282","6c988dc8-9e12-4b25-8591-1632d07d053e","吉林省","四平市","伊通满族自治县","大孤山镇街道",43.298402,125.193895,43.303820,125.127192,1
"2203232014B01318","e1d6a206-4962-48bb-bd59-3666a49a2973","吉林省","四平市","伊通满族自治县","大孤山镇街道",43.298402,125.193895,43.303820,125.127192,1
"2203812009B00779","21415c36-d050-45ee-b2da-e5a4fdec0e75","吉林省","四平市","公主岭市","吉林公主岭经济开发区",43.510833,124.829449,43.700128,125.016416,1
"2203812009B00786","2b5b8e3a-005e-4091-adb9-d314a625dc49","吉林省","四平市","公主岭市","吉林公主岭经济开发区",43.510833,124.829449,43.700128,125.016416,1
"2203812015B01214","5d80b6c6-8e1a-4dff-9025-bc8db6229d2c","吉林省","四平市","公主岭市","公主岭市大榆树镇街道",43.707917,124.668143,43.726172,124.669056,1
"2203002013B00127","855f474d-3358-4ec1-a58b-97bd32322af1","吉林省","四平市","铁西区","四平市铁西区英雄大街北侧",43.181082,124.361787,43.168332,124.356496,1
"2203232018B00759","aca713dd-7951-4d03-bd6c-dbe1e04401f3","吉林省","四平市","铁西区","新乌苏大街西侧",43.171994,124.356482,43.351140,125.298656,1
"2203222016A00306","5f5141f1-f2a8-4bb3-9ea2-ceeb3b6e6778","吉林省","四平市","梨树县","梨树镇滨河街南侧、中兴大路西侧",43.309968,124.358444,43.903940,123.600704,1
"2203002018A00176","0c8b89da-75c5-42d8-94d6-db5409d5ce57","吉林省","四平市","铁东区","四平市铁东区平东大路901号",43.158546,124.394099,43.135560,124.377432,1
"2203002013B00428","737af7e8-b0f5-43df-b499-4b404510a15a","吉林省","四平市","铁东区","四平市铁东区东南生态新城内",43.146097,124.426157,43.132408,124.417712,1
"2203812015B00582","163f74ea-f12e-47f1-b84a-d428be06f645","吉林省","四平市","铁西区","吉林省原种繁殖场",43.171994,124.356482,43.163920,124.344232,1
"2203002010B00278","e9060dd3-d1bc-4dca-9485-606f6d154c96","吉林省","四平市","铁东区","铁东区北河东路北侧",43.188342,124.394385,43.179944,124.381600,1
