electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4302002009B00859","4757aade-7077-4a71-98aa-03c2840c71f9","湖南省","株洲市","荷塘区","荷塘区金钩山路",27.866145,113.190140,27.860676,113.175576,1
"4302812009B00121","d10c74c2-fb7d-4356-b814-842aff9d9003","湖南省","株洲市","醴陵市","泉湖村",27.659311,113.519699,27.655276,113.507336,1
"4302252009B00746","24d71499-306d-4173-872c-45dac01744b8","湖南省","株洲市","天元区","西后街私房",27.833568,113.140471,27.831848,113.127120,1
"4302252008B00880","cd0df5f9-b628-489e-92da-21b410101419","湖南省","株洲市","天元区","老市场处置",27.833568,113.140471,27.831848,113.127120,1
"4302232008B00015","fc6e9314-f487-41c1-9f0a-7bbdb557bef4","湖南省","株洲市","攸县","攸县黄丰桥镇",27.274088,113.756436,27.265770,113.696704,1
"4302242015B00093","e4a405ed-5edf-4dc7-8326-636047f3c6dd","湖南省","株洲市","茶陵县","茶陵县公园路",26.792661,113.551599,26.789910,113.539528,1
"4302242015B00109","9b15ed5b-a7ce-48e3-b9f1-6826aa7e8d77","湖南省","株洲市","茶陵县","茶陵县金山街",26.785820,113.544078,26.782970,113.532496,1
"4302212015B00029","6c77f998-72c2-41ac-9c3e-1729800104b8","湖南省","株洲市","株洲县","株洲县渌口镇南塘居委会石子塘",27.730932,113.196465,27.712000,113.138616,1
"4302242015B00233","8c112390-2eec-4942-927c-97366affde3b","湖南省","株洲市","茶陵县","秩堂镇小田村",26.859403,113.849480,26.864096,113.845872,1
"4302812008B00110-4","ad2ccc32-fbfa-49b6-bd26-fcf41d09a98d","湖南省","株洲市","醴陵市","姜湾下正街13号",27.670201,113.501508,27.831848,113.127120,1
"4302232016B00368","bf93c0fc-eb16-41f0-8611-dde230db2df7","湖南省","株洲市","石峰区","东城新区迎宾大道南侧",27.938495,113.170979,27.015742,113.376456,1
"4302232016B00359","acdefc22-cbd0-4fc4-9017-c93dbcee95c1","湖南省","株洲市","石峰区","东城新区迎宾大道南侧",27.938495,113.170979,27.015742,113.376456,1
"4302002010B00345","08ec99cf-ec6b-4de4-8e8b-b6a77d0d58f4","湖南省","株洲市","芦淞区","芦淞区荷叶冲",27.791509,113.158419,27.824378,113.161544,1
"4302812009B00071","e09200c7-22c4-4f1f-a6ab-0effce8e6f77","湖南省","株洲市","醴陵市","五里牌村",27.672776,113.502000,27.669920,113.489840,1
"4302232012A00486","78f684ea-a739-48db-8087-ea884a5f0c3a","湖南省","株洲市","攸县","网岭镇洞井社区",27.232590,113.446033,27.232700,113.451216,1
"4302212013B00470","dd91588f-e6a9-41de-b8c6-c1ddfaacee20","湖南省","株洲市","株洲县","株洲县渌口镇象石村",27.757399,113.143061,27.753684,113.123144,1
"4302812016B00195","345fb149-5e01-4c92-9109-42f6d372eefe","湖南省","株洲市","醴陵市","国瓷街道办事处石子岭村",27.686208,113.481003,27.679178,113.470848,1
"4302812015B00701","697aad44-9ddb-4f69-ab80-5beb327c81e3","湖南省","株洲市","醴陵市","来龙门办事处中心街1号",27.659798,113.505593,27.831848,113.127120,1
"4302812015B00669","9e492718-34d1-4c64-be5f-ae87d23ba2bd","湖南省","株洲市","醴陵市","阳三办事处渌江大道",27.665371,113.546419,27.831848,113.127120,1
"4302002010B00150","fdd4c2f7-1555-4eab-ad83-f3f8552812e6","湖南省","株洲市","天元区","天元区滨江南路南侧",27.807377,113.146481,27.815530,113.139192,1
"4302002010B00188","6abb0986-aca8-4c05-adc0-8a44f11a462f","湖南省","株洲市","天元区","天元区珠江南路",27.817572,113.131751,27.811802,113.120144,1
"4302002015B01477-1","e343e7d9-83ef-40fa-ab29-52a70ac5502b","湖南省","株洲市","天元区","株洲市天元区湘芸路西侧",27.838737,113.072576,27.831354,113.077704,1
"4302232010B01712","b5c411b0-0557-4aa9-850e-d63edc55377d","湖南省","株洲市","炎陵县","新市镇南街居委会",26.491382,113.782929,27.831848,113.127120,1
"4302812009B00198","8453430d-475b-445e-a991-0c250187aa9a","湖南省","株洲市","醴陵市","珊田村、马脑村",27.686023,113.523761,27.683000,113.511752,1
"4302212011B00950-2","447120b3-1bdf-4260-9818-bb9cacc53d3f","湖南省","株洲市","株洲县","渌口镇黄金东路",27.715707,113.154781,27.712410,113.141552,1
"4302812008B00317","0d7baf1b-8050-4f19-afb3-81af3366e2aa","湖南省","株洲市","醴陵市","中山南路95号",27.653921,113.510516,27.650930,113.498496,1
"4302252009B00126","c052467d-fc64-404c-909b-81fc21eef141","湖南省","株洲市","天元区","东山检察院处置地",27.833568,113.140471,27.843930,113.165552,1
"4302002009B00217","220f88c9-19e5-45e0-b540-fb27a9644bbf","湖南省","株洲市","石峰区","株洲市石峰区李家冲一村14栋",27.866417,113.131778,27.878700,113.111976,1
"4302232010B01883","248ab72d-cebe-42ce-a701-e75baa67db28","湖南省","株洲市","攸县","城关镇望岳东路边",27.001960,113.357461,26.999518,113.346360,1
"4302812016B00450","413e5f7a-5b66-48c3-b82d-46d65c158f18","湖南省","株洲市","醴陵市","来龙门办事处清潭村",27.714978,113.573053,27.714418,113.566104,1
"4302212013B00277","3c7de971-ebfa-4ea4-bb8e-5cfad2aede19","湖南省","株洲市","株洲县","芦淞区姚家坝乡",27.770514,113.339912,27.847178,113.315104,1
