electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"4418002013B01317","57816301-425d-420b-b278-b7c9aedb3b83","广东省","清远市","清城区","清远市新城东六号区A座26号楼",23.690365,113.052637,23.673368,113.050552,1
"4418822010B03463","95aef61c-9874-4efc-b145-e85d80075a16","广东省","清远市","连州市","连州市中山南路通庄巷1号",24.780614,112.390227,24.777960,112.375408,1
"4418232009B00050","e56c0761-81f4-4577-9c07-7b5c6ff073ae","广东省","清远市","阳山县","阳山县七拱镇塘坪村",24.306369,112.598246,24.300170,112.585448,1
"4418212009B00453","adc54ecb-7492-4afc-a49e-8dfbb0c6893a","广东省","清远市","佛冈县","佛冈县汤塘镇新区",23.755925,113.553104,23.881946,113.526448,1
"4418022009B01926","7e7c31aa-f9de-4656-ae5f-6031144e9c5b","广东省","清远市","清城区","清远市清城区东城街青云居委会聚龙街供电仓库",23.719719,113.049108,23.714500,113.039776,1
"4418022009B02004","6351b7a3-cff8-48c8-9768-f7b404571fc0","广东省","清远市","清城区","清远市清城区桥北路104号凤城变电站",23.722442,113.043399,23.718650,113.031616,1
"4418022009B01989","dfb341d4-ba7b-4b74-bcec-62e04470911c","广东省","清远市","清城区","清城区曙光一路右四巷1座一号",23.719007,113.043538,23.603260,113.070248,1
"4418002015B01626-1","88dcd7ec-b09a-4097-afed-a4429c77f305","广东省","清远市","清城区","清远市清城区东城街办莲塘村委会辖区范围内",23.665831,113.215740,23.717862,113.055216,1
"4418812015B00175-2","5bc67dfd-d5d0-4cc6-9ab6-3487617941db","广东省","清远市","英德市","广东顺德清远（英德）经济合作区片区一规划四十米路北（四至见红线图）",24.191939,113.421443,24.179000,113.413696,1
"4418822015B00229","acbd3b20-0166-4ba9-a68b-ecd6b0db73a2","广东省","清远市","连州市","连州镇北湖路136号东区第15栋4座1梯601房",24.790721,112.382067,24.787340,112.370696,1
"4418822015B01448","654df9de-82e2-446a-bf9c-ea2bba6143f9","广东省","清远市","连州市","连州镇中山南路144号后栋402房",24.780579,112.387650,23.684480,113.050680,1
"4418812008B00602","80b545fc-ccca-415f-8276-48c44ebe649d","广东省","清远市","英德市","英德市英城君玉街东",24.188440,113.406185,24.188660,113.394368,1
"4418822016B00845","1ceb8ca4-1a05-40f7-b9da-9d2f223164b2","广东省","清远市","连州市","连州市高塘街57号",24.781400,112.392084,24.783250,112.372056,1
"4418812011B00066-1","0227f180-c520-4fd0-9c18-7d57003a1bcf","广东省","清远市","英德市","英城浈阳湖周边C地块",24.181020,113.408183,24.185770,113.379040,1
"4418272014B00064","917636dd-9449-4d9a-b31f-f6bbcccdb44c","广东省","清远市","清新区","清新区太平镇龙湾村委会清四公路旁",23.680433,112.888339,23.677692,112.876656,1
"4418822012B01486","254d64fb-4404-43d8-a23f-441350fbc8d9","广东省","清远市","连州市","连州市东陂镇东陂大市场N298-1号地",25.002088,112.331127,24.999230,112.298880,1
"4418272014B01011","1bd6fe93-5481-4d2e-8fbc-08becd5524ce","广东省","清远市","清新区","清远市清新区禾云镇佛山禅城（清新）产业转移工业园",23.922689,112.929398,23.919272,112.917888,1
