electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"6402212008B00135-1","44596972-c953-40e6-bc7e-fc63fc3e8081A","宁夏回族","石嘴山市","平罗县","渠口乡新桥村中心路西侧",38.879849,106.594019,38.926960,106.251680,1
"6402212011B01066","4921eb8b-4be5-4564-8eeb-ebe93d1c8acb","宁夏回族","石嘴山市","平罗县","宁夏精细化工基地兴工路北侧",39.083991,106.918271,39.060392,106.916880,1
"6402002012B02084","9881d2e0-279a-4ee5-add0-c7a716c9c24c","宁夏回族","石嘴山市","惠农区","石嘴山工业园区中央大道东、二道沟南",39.306941,106.783228,39.273012,106.746984,1
"6402212015B00436","476fbeca-432b-4328-b147-e43ca08ee866","宁夏回族","石嘴山市","大武口区","未利用地东侧、经二路西侧、平西碳素南侧、园区南辅线北侧；",38.989683,106.390600,38.906300,106.444296,1
"6402212011B00978","d139ea48-8434-4da0-ba40-5eed66ab8f75","宁夏回族","石嘴山市","平罗县","平罗县崇岗镇110国道北侧",38.916847,106.257798,38.893732,106.263584,1
"6402212014A00046","27e9646a-bc7b-4e65-b539-b948983c1317","宁夏回族","石嘴山市","平罗县","前进农场内，文化路北侧，沙湖大道西侧",38.849216,106.384508,38.841032,106.371592,1
"6402212010B00899","cb4b4068-e1ff-4f76-a64f-865a6b6b0dd5","宁夏回族","石嘴山市","平罗县","平罗县玉皇阁大道北侧、西环路西侧",38.917837,106.527970,38.772376,106.418832,1
"6402212013B00670","37c292a4-3217-442f-b858-02521c2a1760","宁夏回族","石嘴山市","平罗县","平罗县城滨大道南侧，农田东侧",38.856586,106.601200,38.913700,106.518856,1
"6402212009B00058","613bb83b-e577-455b-8e25-b6a06b59aeee","宁夏回族","石嘴山市","惠农区","109国道以东",39.107144,106.689474,38.983244,106.378080,1
"6402212010B01348","f3850ad3-add1-4c17-91b7-e16c215a1e31","宁夏回族","石嘴山市","平罗县","平罗县轻工业园区中央大道东侧、建设路北侧",38.853496,106.388707,38.891260,106.536720,1
"6402002011B00478","2fd7cb07-db1b-424a-b01b-ce2d376ecca0","宁夏回族","石嘴山市","大武口区","大武口区沙湖大道以北，归韭沟以南，环湖路以西，世纪大道以东",38.931881,106.379438,38.980184,106.418608,1
"6402212010B00798","3a57dee5-fc95-4b0d-bec4-84b52bbc8d8a","宁夏回族","石嘴山市","平罗县","平罗县城萧公大街以西、人民西路以南、民族大街以东（县城规划区内2#地块）",38.922447,106.540116,38.912188,106.528808,1
"6402212010B01418","ff2f4779-7222-48a9-b92a-1707bc13cfe4","宁夏回族","石嘴山市","平罗县","平罗县城玉皇阁大道南侧、西环路西侧",38.917837,106.527970,38.911256,106.520808,1
"6402002010B00257","ae5c3273-5bee-48bb-9009-93aa2053e18b","宁夏回族","石嘴山市","大武口区","星光大道以南、西环路延伸段以西、二厂铁路专线以东",39.040490,106.358752,38.970388,106.278968,1
"6402212010B01355","147bcec9-d0d0-47a0-b6b5-a6d4c915fa32","宁夏回族","石嘴山市","平罗县","平罗县崇岗镇工业园区",38.899693,106.274609,38.873400,106.183256,1
"6402002010B00996","ad44a65f-54c3-44c1-a471-34677d2f8f53","宁夏回族","石嘴山市","惠农区","惠农区红果子工业集聚区兰山园以南",39.176029,106.670511,39.133580,106.707264,1
"6402212010B00665","384f52a8-ddd5-4789-b91c-afad116078e1","宁夏回族","石嘴山市","大武口区","平罗县太沙工业园区四号路北侧、广场路南侧",38.965258,106.473848,38.891260,106.536720,1
"6402002016B00852","26e0ace0-d066-405f-9743-4fbd9a365bd3","宁夏回族","石嘴山市","平罗县","惠农区礼和乡简滨路以北、红礼路以南、第七排水沟以东",39.065124,106.749546,39.086592,106.845120,1
"6402212011B01215","f5b0c3c9-1801-492a-9a4d-87f6105d6516","宁夏回族","石嘴山市","平罗县","宁夏精细化工基地红乐路北侧",39.083991,106.918271,39.060392,106.916880,1
