electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,flag
"6209022010B00145","71de9bf8-924b-414f-9ad1-12c60e3ffa0c","甘肃省","酒泉市","肃州区","清水镇清水村六组南侧",39.369457,99.051055,39.356828,99.046768,1
"6209822015B00025","075c3a19-2118-4b9c-ba40-4105133abf0b","甘肃省","酒泉市","瓜州县","215国道南侧、秦家湾道路西侧戈壁",40.796940,95.206795,39.737112,98.493920,1
"6209002012B00118","c38e41b4-f22b-4a61-a3e0-49d2ebc55575","甘肃省","酒泉市","肃州区","新城区飞天路交阳关路西北角",39.761802,98.465667,39.761104,98.428552,1
"6209002013B00117","e8178383-a6b5-408c-9545-6a3ca3da6681","甘肃省","酒泉市","肃州区","新城区二期风电大道南侧、文体路西侧",39.750309,98.491456,40.137936,94.674472,1
"6209222016B00150","9607e82c-c25a-40a1-abd3-bb0dec102d56","甘肃省","酒泉市","肃北蒙古族自治县","高铁沿线布隆吉至红柳河",41.034499,96.437164,40.529504,96.542728,1
"6209212011B00226","55f3ef3a-78e5-49b9-8f46-fda581ade854","甘肃省","酒泉市","金塔县","金塔县金鑫工业区",39.990029,98.908368,39.951528,98.892368,1
"6209242015B00098","56ebb073-6aa1-4deb-aea8-c761b2d9064d","甘肃省","酒泉市","肃州区","北防风林带北侧、马厩东侧",39.738469,98.500685,39.731704,98.493280,1
"6209022015B00339","42d46bf0-037e-4d5c-b26c-cfa08be0b7ee","甘肃省","酒泉市","肃州区","总寨工业园区",39.738469,98.500685,39.645648,98.663048,1
"6209022015B00298","016491bd-3cc0-4bd4-8f75-22ddb17b8b47","甘肃省","酒泉市","肃州区","总寨工业园区",39.738469,98.500685,39.645648,98.663048,1
"6209212014B00028","32a31d15-2d4f-4949-b088-17e9a31cc24d","甘肃省","酒泉市","金塔县","金塔县金鑫工业区建材园",39.990029,98.908368,39.951528,98.892368,1
"6209222008B00115","7eb43e23-dcfa-4f79-a7df-c4129a02ea78","甘肃省","酒泉市","瓜州县","渊泉镇公园街以北、南大街以西",40.524170,95.788949,39.739532,98.509368,1
"6209822011B00178-1","564f5604-2d59-4656-8e32-b8e77c14120b","甘肃省","酒泉市","敦煌市","原敦煌市面粉厂大门西北侧",40.147867,94.668527,40.150864,94.664544,1
"6209222015B00510","1bd91d06-fcf8-44ea-a8dd-77acb86b1bd9","甘肃省","酒泉市","瓜州县","广至乡新堡村主干道路南侧、广至水管所东侧",40.522116,95.812064,40.410152,95.571984,1
"6209812008B00161","b24c73a6-1433-46a1-993a-141c9daafb09","甘肃省","酒泉市","玉门市","永宁路南侧，铁人路西侧",40.291910,97.044444,40.286668,97.038976,1
"6209222013B00069","4474a035-6803-492c-98f6-41f4bbc4da24","甘肃省","酒泉市","肃南裕固族自治县","柳沟物流园",39.395363,98.619450,39.778192,97.368496,1
